# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05586
# Species         : Cossypha_albicapillus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 124.80 mm
# Secondary1       : 103.50 mm
# Kipps Distance   : 20.00 mm
# Hand-Wing Index  : 16.20
# Tail Length      : 131.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.206
# Pointedness Index: 0.1603
# Efficiency Index : 0.0260
# Wing Loading Proxy: 0.0092
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1963  at x/c = 0.2728
# Max f/c          : 0.0598  at x/c = 0.3518
# Est. Reynolds    : 2.21e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009085
0.99866605  0.00021607
0.99781725  0.00037543
0.99684004  0.00056866
0.99572982  0.00079547
0.99448260  0.00105557
0.99309496  0.00134865
0.99156405  0.00167439
0.98988752  0.00203245
0.98806350  0.00242248
0.98609063  0.00284412
0.98396797  0.00329700
0.98169497  0.00378072
0.97927153  0.00429490
0.97669788  0.00483912
0.97397462  0.00541297
0.97110266  0.00601602
0.96808325  0.00664785
0.96491789  0.00730800
0.96160838  0.00799602
0.95815676  0.00871145
0.95456531  0.00945383
0.95083650  0.01022269
0.94697305  0.01101754
0.94297781  0.01183789
0.93885384  0.01268325
0.93460433  0.01355313
0.93023262  0.01444703
0.92574219  0.01536442
0.92113662  0.01630481
0.91641958  0.01726768
0.91159485  0.01825250
0.90666630  0.01925875
0.90163783  0.02028590
0.89651342  0.02133343
0.89129711  0.02240081
0.88599296  0.02348749
0.88060506  0.02459294
0.87513753  0.02571663
0.86959450  0.02685801
0.86398009  0.02801655
0.85829844  0.02919169
0.85255367  0.03038291
0.84674988  0.03158965
0.84089115  0.03281137
0.83498153  0.03404753
0.82902504  0.03529758
0.82302566  0.03656099
0.81698733  0.03783721
0.81091392  0.03912570
0.80480926  0.04042591
0.79867714  0.04173732
0.79252125  0.04305938
0.78634526  0.04439156
0.78015273  0.04573331
0.77394717  0.04708412
0.76773201  0.04844344
0.76151061  0.04981076
0.75528624  0.05118554
0.74906211  0.05256727
0.74284131  0.05395541
0.73662687  0.05534946
0.73042174  0.05674891
0.72422876  0.05815322
0.71805070  0.05956191
0.71189023  0.06097447
0.70574992  0.06239039
0.69963227  0.06380917
0.69353967  0.06523033
0.68747443  0.06665337
0.68143876  0.06807780
0.67543477  0.06950315
0.66946449  0.07092894
0.66352985  0.07235468
0.65763269  0.07377992
0.65177476  0.07520418
0.64595770  0.07662701
0.64018309  0.07804795
0.63445239  0.07946655
0.62876699  0.08088236
0.62312817  0.08229494
0.61753715  0.08370385
0.61199504  0.08510867
0.60650288  0.08650895
