# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05848
# Species         : Sheppardia_poensis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 69.30 mm
# Secondary1       : 66.10 mm
# Kipps Distance   : 12.00 mm
# Hand-Wing Index  : 15.30
# Tail Length      : 47.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.048
# Pointedness Index: 0.1732
# Efficiency Index : 0.0265
# Wing Loading Proxy: 0.0223
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2023  at x/c = 0.2732
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.04e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009107
0.99866608  0.00021698
0.99781736  0.00037747
0.99684030  0.00057229
0.99573032  0.00080116
0.99448345  0.00106379
0.99309629  0.00135987
0.99156598  0.00168909
0.98989021  0.00205111
0.98806713  0.00244558
0.98609536  0.00287215
0.98397397  0.00333045
0.98170245  0.00382008
0.97928068  0.00434067
0.97670890  0.00489179
0.97398771  0.00547305
0.97111804  0.00608401
0.96810113  0.00672424
0.96493848  0.00739330
0.96163190  0.00809074
0.95818342  0.00881610
0.95459532  0.00956891
0.95087009  0.01034870
0.94701040  0.01115499
0.94301915  0.01198728
0.93889936  0.01284510
0.93465424  0.01372793
0.93028712  0.01463527
0.92580147  0.01556662
0.92120085  0.01652146
0.91648896  0.01749927
0.91166955  0.01849953
0.90674648  0.01952172
0.90172367  0.02056529
0.89660507  0.02162972
0.89139473  0.02271448
0.88609668  0.02381902
0.88071502  0.02494280
0.87525387  0.02608529
0.86971733  0.02724593
0.86410953  0.02842418
0.85843460  0.02961950
0.85269665  0.03083133
0.84689977  0.03205913
0.84104804  0.03330234
0.83514550  0.03456042
0.82919616  0.03583281
0.82320400  0.03711898
0.81717293  0.03841836
0.81110684  0.03973041
0.80500954  0.04105458
0.79888482  0.04239032
0.79273636  0.04373710
0.78656781  0.04509435
0.78038274  0.04646155
0.77418464  0.04783815
0.76797696  0.04922362
0.76176302  0.05061740
0.75554610  0.05201898
0.74932940  0.05342781
0.74311601  0.05484337
0.73690895  0.05626512
0.73071116  0.05769256
0.72452548  0.05912514
0.71835467  0.06056236
0.71220140  0.06200370
0.70606823  0.06344865
0.69995766  0.06489670
0.69387208  0.06634735
0.68781377  0.06780009
0.68178496  0.06925442
0.67578775  0.07070986
0.66982417  0.07216591
0.66389613  0.07362209
0.65800548  0.07507792
0.65215396  0.07653293
0.64634321  0.07798663
0.64057480  0.07943856
0.63485020  0.08088826
0.62917078  0.08233527
0.62353783  0.08377914
0.61795257  0.08521942
0.61241609  0.08665565
0.60692943  0.08808742
0.60149354  0.08951427
0.59610927  0.09093579
0.59077740  0.09235154
0.58549863  0.09376111
0.58027357  0.09516408
0.57510277  0.09656006
0.56998668  0.09794862
0.56492569  0.09932939
0.55992011  0.10070195
0.55497018  0.10206594
0.55007607  0.10342096
0.54523788  0.10476664
0.54045565  0.10610262
0.53572935  0.10742852
0.53105886  0.10874399
0.52644405  0.11004868
0.52188469  0.11134223
0.51738049  0.11262431
0.51293114  0.11389458
0.50853624  0.11515271
0.50419535  0.11639837
0.49990797  0.11763125
0.49567357  0.11885104
0.49149156  0.12005742
0.48736130  0.12125010
0.48328210  0.12242879
0.47925327  0.12359318
0.47527402  0.12474300
0.47134356  0.12587798
0.46746107  0.12699783
0.46362566  0.12810229
0.45983644  0.12919111
0.45609247  0.13026403
0.45239280  0.13132080
0.44873643  0.13236117
0.44512235  0.13338492
0.44154951  0.13439181
0.43801687  0.13538162
0.43452335  0.13635412
0.43106783  0.13730911
0.42764921  0.13824638
0.42426637  0.13916572
0.42091814  0.14006694
0.41760339  0.14094985
0.41432095  0.14181427
0.41106963  0.14266001
0.40784828  0.14348692
0.40465569  0.14429480
0.40149068  0.14508352
0.39835206  0.14585291
0.39523865  0.14660282
0.39214924  0.14733310
0.38908266  0.14804363
0.38603771  0.14873426
0.38301323  0.14940487
0.38000803  0.15005534
0.37702096  0.15068554
0.37405086  0.15129537
0.37109658  0.15188473
0.36815700  0.15245350
0.36523100  0.15300161
0.36231747  0.15352895
0.35941532  0.15403544
0.35652348  0.15452101
0.35364090  0.15498558
0.35076654  0.15542908
0.34789938  0.15585144
0.34503844  0.15625262
0.34218274  0.15663254
0.33933133  0.15699117
0.33648329  0.15732847
0.33363771  0.15764438
0.33079373  0.15793889
0.32795050  0.15821195
0.32510719  0.15846354
0.32226301  0.15869365
0.31941721  0.15890225
0.31656905  0.15908934
0.31371782  0.15925491
0.31086287  0.15939895
0.30800354  0.15952147
0.30513924  0.15962248
0.30226938  0.15970198
0.29939344  0.15975999
0.29651090  0.15979652
0.29362129  0.15981160
0.29072417  0.15980526
0.28781915  0.15977752
0.28490586  0.15972841
0.28198397  0.15965799
0.27905318  0.15956627
0.27611324  0.15945331
0.27316394  0.15931916
0.27020507  0.15916387
0.26723651  0.15898748
0.26425814  0.15879006
0.26126989  0.15857166
0.25827172  0.15833235
0.25526364  0.15807219
0.25224568  0.15779126
0.24921794  0.15748961
0.24618050  0.15716732
0.24313354  0.15682447
0.24007724  0.15646114
0.23701181  0.15607739
0.23393752  0.15567332
0.23085468  0.15524900
0.22776359  0.15480453
0.22466464  0.15433997
0.22155823  0.15385544
0.21844478  0.15335100
0.21532478  0.15282675
0.21219871  0.15228278
0.20906711  0.15171918
0.20593056  0.15113605
0.20278964  0.15053348
0.19964499  0.14991155
0.19649726  0.14927037
0.19334714  0.14861002
0.19019535  0.14793060
0.18704262  0.14723220
0.18388972  0.14651492
0.18073745  0.14577885
0.17758663  0.14502408
0.17443809  0.14425070
