# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05851
# Species         : Sholicola_albiventris
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 75.20 mm
# Secondary1       : 67.40 mm
# Kipps Distance   : 8.60 mm
# Hand-Wing Index  : 11.20
# Tail Length      : 63.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.116
# Pointedness Index: 0.1144
# Efficiency Index : 0.0128
# Wing Loading Proxy: 0.0175
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2068  at x/c = 0.2757
# Max f/c          : 0.0607  at x/c = 0.3518
# Est. Reynolds    : 1.15e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009132
0.99866624  0.00021798
0.99781788  0.00037972
0.99684150  0.00057629
0.99573261  0.00080740
0.99448732  0.00107277
0.99310230  0.00137209
0.99157479  0.00170504
0.98990249  0.00207127
0.98808362  0.00247045
0.98611686  0.00290221
0.98400132  0.00336618
0.98173651  0.00386197
0.97932234  0.00438919
0.97675908  0.00494742
0.97404736  0.00553626
0.97118811  0.00615527
0.96818258  0.00680402
0.96503229  0.00748206
0.96173905  0.00818894
0.95830488  0.00892419
0.95473206  0.00968735
0.95102307  0.01047793
0.94718059  0.01129545
0.94320748  0.01213942
0.93910677  0.01300935
0.93488164  0.01390472
0.93053540  0.01482503
0.92607150  0.01576976
0.92149350  0.01673840
0.91680504  0.01773042
0.91200987  0.01874529
0.90711181  0.01978248
0.90211474  0.02084146
0.89702262  0.02192168
0.89183944  0.02302261
0.88656921  0.02414369
0.88121599  0.02528439
0.87578387  0.02644415
0.87027693  0.02762242
0.86469926  0.02881865
0.85905495  0.03003229
0.85334808  0.03126277
0.84758272  0.03250955
0.84176289  0.03377207
0.83589262  0.03504976
0.82997588  0.03634208
0.82401661  0.03764847
0.81801870  0.03896836
0.81198600  0.04030121
0.80592229  0.04164645
0.79983131  0.04300353
0.79371674  0.04437191
0.78758218  0.04575102
0.78143117  0.04714031
0.77526718  0.04853925
0.76909361  0.04994727
0.76291378  0.05136383
0.75673093  0.05278840
0.75054822  0.05422042
0.74436872  0.05565937
0.73819544  0.05710470
0.73203127  0.05855588
0.72587905  0.06001238
0.71974149  0.06147368
0.71362126  0.06293925
0.70752089  0.06440857
0.70144286  0.06588112
0.69538952  0.06735640
0.68936317  0.06883388
0.68336599  0.07031307
0.67740007  0.07179346
0.67146741  0.07327455
0.66556994  0.07475585
0.65970946  0.07623688
0.65388770  0.07771714
0.64810630  0.07919615
0.64236681  0.08067344
0.63667069  0.08214854
0.63101929  0.08362097
0.62541391  0.08509028
0.61985572  0.08655601
0.61434584  0.08801771
0.60888529  0.08947492
0.60347500  0.09092721
0.59811583  0.09237413
0.59280854  0.09381527
0.58755384  0.09525017
0.58235232  0.09667844
0.57720453  0.09809965
0.57211091  0.09951338
0.56707187  0.10091924
0.56208770  0.10231682
0.55715864  0.10370573
0.55228486  0.10508558
0.54746646  0.10645598
0.54270348  0.10781656
0.53799589  0.10916695
0.53334358  0.11050678
0.52874640  0.11183569
0.52420414  0.11315332
0.51971652  0.11445933
0.51528321  0.11575336
0.51090382  0.11703510
0.50657793  0.11830419
0.50230503  0.11956033
0.49808460  0.12080318
0.49391605  0.12203244
0.48979875  0.12324780
0.48573203  0.12444895
0.48171517  0.12563560
0.47774742  0.12680747
0.47382799  0.12796425
0.46995605  0.12910569
0.46613074  0.13023151
0.46235116  0.13134144
0.45861639  0.13243522
0.45492547  0.13351260
0.45127743  0.13457333
0.44767126  0.13561717
0.44410592  0.13664388
0.44058037  0.13765324
0.43709354  0.13864502
0.43364433  0.13961900
0.43023164  0.14057498
0.42685435  0.14151274
0.42351133  0.14243209
0.42020142  0.14333283
0.41692348  0.14421478
0.41367634  0.14507775
0.41045883  0.14592157
0.40726977  0.14674607
0.40410798  0.14755108
0.40097228  0.14833645
0.39786150  0.14910202
0.39477444  0.14984765
0.39170993  0.15057319
0.38866680  0.15127851
0.38564387  0.15196349
0.38263998  0.15262799
0.37965397  0.15327190
0.37668470  0.15389511
0.37373103  0.15449751
0.37079184  0.15507899
0.36786601  0.15563947
0.36495245  0.15617886
0.36205008  0.15669706
0.35915782  0.15719400
0.35627464  0.15766960
0.35339950  0.15812380
0.35053139  0.15855653
0.34766933  0.15896773
0.34481234  0.15935735
0.34195949  0.15972535
0.33910985  0.16007167
0.33626253  0.16039629
0.33341666  0.16069917
0.33057140  0.16098027
0.32772592  0.16123958
0.32487945  0.16147708
0.32203121  0.16169276
0.31918049  0.16188660
0.31632657  0.16205860
0.31346880  0.16220877
0.31060653  0.16233709
0.30773917  0.16244360
0.30486613  0.16252829
0.30198688  0.16259118
0.29910090  0.16263230
0.29620774  0.16265167
0.29330695  0.16264932
0.29039814  0.16262529
0.28748092  0.16257961
0.28455498  0.16251231
0.28162002  0.16242346
