# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06084
# Species         : Pachycephala_aurea
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 87.80 mm
# Secondary1       : 74.90 mm
# Kipps Distance   : 13.30 mm
# Hand-Wing Index  : 15.10
# Tail Length      : 62.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.172
# Pointedness Index: 0.1515
# Efficiency Index : 0.0229
# Wing Loading Proxy: 0.0189
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2006  at x/c = 0.2735
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.40e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009102
0.99866609  0.00021677
0.99781739  0.00037700
0.99684036  0.00057146
0.99573043  0.00079985
0.99448364  0.00106190
0.99309658  0.00135728
0.99156641  0.00168569
0.98989081  0.00204679
0.98806793  0.00244022
0.98609640  0.00286562
0.98397530  0.00332263
0.98170411  0.00381086
0.97928271  0.00432992
0.97671135  0.00487939
0.97399062  0.00545887
0.97112146  0.00606793
0.96810510  0.00670612
0.96494306  0.00737302
0.96163713  0.00806817
0.95818935  0.00879110
0.95460199  0.00954136
0.95087755  0.01031846
0.94701871  0.01112193
0.94302834  0.01195128
0.93890948  0.01280601
0.93466534  0.01368562
0.93029924  0.01458962
0.92581464  0.01551748
0.92121513  0.01646870
0.91650438  0.01744276
0.91168616  0.01843913
0.90676431  0.01945730
0.90174275  0.02049672
0.89662545  0.02155687
0.89141642  0.02263721
0.88611973  0.02373720
0.88073947  0.02485631
0.87527973  0.02599399
0.86974463  0.02714969
0.86413831  0.02832288
0.85846488  0.02951301
0.85272844  0.03071952
0.84693310  0.03194188
0.84108293  0.03317953
0.83518197  0.03443192
0.82923423  0.03569852
0.82324367  0.03697876
0.81721423  0.03827210
0.81114977  0.03957800
0.80505412  0.04089590
0.79893105  0.04222527
0.79278426  0.04356556
0.78661737  0.04491623
0.78043398  0.04627673
0.77423756  0.04764653
0.76803155  0.04902509
0.76181930  0.05041188
0.75560406  0.05180636
0.74938904  0.05320801
0.74317732  0.05461629
0.73697194  0.05603068
0.73077582  0.05745066
0.72459180  0.05887571
0.71842265  0.06030532
0.71227103  0.06173897
0.70613950  0.06317615
0.70003057  0.06461637
0.69394660  0.06605910
0.68788992  0.06750387
0.68186271  0.06895017
0.67586709  0.07039751
0.66990508  0.07184541
0.66397861  0.07329339
0.65808952  0.07474097
0.65223954  0.07618766
0.64643032  0.07763302
0.64066342  0.07907656
0.63494032  0.08051784
0.62926239  0.08195639
0.62363092  0.08339176
0.61804712  0.08482352
0.61251209  0.08625122
0.60702687  0.08767441
0.60159239  0.08909268
0.59620953  0.09050560
0.59087906  0.09191275
0.58560167  0.09331370
0.58037799  0.09470806
0.57520854  0.09609541
0.57009380  0.09747535
0.56503415  0.09884750
0.56002990  0.10021147
0.55508129  0.10156686
0.55018850  0.10291331
0.54535162  0.10425044
0.54057069  0.10557788
0.53584567  0.10689528
0.53117648  0.10820227
0.52656295  0.10949851
0.52200487  0.11078366
0.51750195  0.11205737
0.51305388  0.11331931
0.50866026  0.11456916
0.50432065  0.11580660
0.50003455  0.11703131
0.49580144  0.11824297
0.49162072  0.11944130
0.48749175  0.12062598
0.48341386  0.12179673
0.47938634  0.12295326
0.47540841  0.12409529
0.47147929  0.12522255
0.46759815  0.12633477
0.46376410  0.12743168
0.45997625  0.12851302
0.45623368  0.12957856
0.45253542  0.13062803
0.44888048  0.13166121
0.44526785  0.13267786
0.44169649  0.13367774
0.43816534  0.13466065
0.43467334  0.13562635
0.43121937  0.13657465
0.42780233  0.13750534
0.42442109  0.13841822
0.42107450  0.13931309
0.41776142  0.14018977
0.41448067  0.14104808
0.41123109  0.14188784
0.40801151  0.14270888
0.40482073  0.14351104
0.40165756  0.14429416
0.39852083  0.14505808
0.39540934  0.14580267
0.39232190  0.14652776
0.38925732  0.14723324
0.38621443  0.14791897
0.38319204  0.14858482
0.38018899  0.14923067
0.37720410  0.14985642
0.37423623  0.15046194
0.37128424  0.15104714
0.36834699  0.15161193
0.36542337  0.15215619
0.36251226  0.15267986
0.35961259  0.15318284
0.35672328  0.15366506
0.35384328  0.15412644
0.35097155  0.15456692
0.34810707  0.15498645
0.34524887  0.15538495
0.34239595  0.15576238
0.33954737  0.15611869
0.33670221  0.15645384
0.33385957  0.15676779
0.33101858  0.15706051
0.32817837  0.15733197
0.32533815  0.15758214
0.32249711  0.15781102
0.31965448  0.15801858
0.31680955  0.15820481
0.31396160  0.15836972
0.31110996  0.15851329
0.30825399  0.15863553
0.30539309  0.15873645
0.30252668  0.15881606
0.29965421  0.15887437
0.29677519  0.15891141
0.29388914  0.15892720
0.29099561  0.15892176
0.28809421  0.15889513
0.28518457  0.15884733
0.28226636  0.15877842
0.27933927  0.15868843
0.27640306  0.15857740
0.27345750  0.15844538
0.27050240  0.15829243
0.26753762  0.15811859
0.26456304  0.15792394
0.26157858  0.15770851
0.25858422  0.15747239
0.25557995  0.15721563
0.25256580  0.15693831
0.24954185  0.15664049
0.24650821  0.15632224
0.24346502  0.15598365
0.24041248  0.15562479
0.23735080  0.15524574
0.23428024  0.15484658
0.23120108  0.15442739
0.22811366  0.15398826
0.22501833  0.15352928
0.22191550  0.15305053
0.21880559  0.15255209
0.21568907  0.15203407
0.21256643  0.15149655
0.20943821  0.15093962
0.20630497  0.15036338
0.20316729  0.14976791
