# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06134
# Species         : Cicinnurus_respublica
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 95.60 mm
# Secondary1       : 80.60 mm
# Kipps Distance   : 15.00 mm
# Hand-Wing Index  : 15.70
# Tail Length      : 35.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.186
# Pointedness Index: 0.1569
# Efficiency Index : 0.0246
# Wing Loading Proxy: 0.0339
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1982  at x/c = 0.2731
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.82e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009092
0.99866606  0.00021638
0.99781731  0.00037612
0.99684018  0.00056988
0.99573010  0.00079739
0.99448307  0.00105834
0.99309570  0.00135243
0.99156513  0.00167934
0.98988901  0.00203873
0.98806552  0.00243025
0.98609326  0.00285354
0.98397130  0.00330822
0.98169913  0.00379392
0.97927661  0.00431023
0.97670400  0.00485675
0.97398189  0.00543306
0.97111121  0.00603874
0.96809318  0.00667335
0.96492933  0.00733645
0.96162145  0.00802758
0.95817157  0.00874630
0.95458198  0.00949212
0.95085516  0.01026458
0.94699380  0.01106319
0.94300078  0.01188747
0.93887913  0.01273693
0.93463206  0.01361106
0.93026290  0.01450936
0.92577512  0.01543133
0.92117230  0.01637645
0.91645812  0.01734420
0.91163635  0.01833406
0.90671085  0.01934551
0.90168552  0.02037802
0.89656434  0.02143105
0.89135134  0.02250408
0.88605059  0.02359657
0.88066616  0.02470798
0.87520217  0.02583777
0.86966274  0.02698540
0.86405201  0.02815032
0.85837409  0.02933200
0.85263311  0.03052988
0.84683316  0.03174343
0.84097832  0.03297209
0.83507264  0.03421533
0.82912013  0.03547259
0.82312476  0.03674333
0.81709046  0.03802701
0.81102112  0.03932308
0.80492056  0.04063101
0.79879255  0.04195024
0.79264080  0.04328024
0.78646894  0.04462047
0.78028057  0.04597039
0.77407916  0.04732946
0.76786816  0.04869717
0.76165092  0.05007296
0.75543070  0.05145632
0.74921070  0.05284671
0.74299403  0.05424362
0.73678371  0.05564653
0.73058267  0.05705491
0.72439377  0.05846825
0.71821976  0.05988604
0.71206330  0.06130778
0.70592699  0.06273295
0.69981330  0.06416106
0.69372463  0.06559160
0.68766327  0.06702409
0.68163144  0.06845804
0.67563126  0.06989296
0.66966474  0.07132836
0.66373381  0.07276378
0.65784031  0.07419873
0.65198599  0.07563275
0.64617249  0.07706537
0.64040138  0.07849614
0.63467413  0.07992460
0.62899212  0.08135030
0.62335664  0.08277279
0.61776890  0.08419164
0.61223000  0.08560640
0.60674099  0.08701664
0.60130280  0.08842195
0.59591629  0.08982189
0.59058226  0.09121606
0.58530138  0.09260404
0.58007429  0.09398542
0.57490152  0.09535982
0.56978353  0.09672682
0.56472071  0.09808605
0.55971338  0.09943711
0.55476177  0.10077964
0.54986605  0.10211325
0.54502633  0.10343759
0.54024265  0.10475228
0.53551496  0.10605697
0.53084317  0.10735132
0.52622714  0.10863497
0.52166663  0.10990758
0.51716137  0.11116883
0.51271103  0.11241839
0.50831523  0.11365592
0.50397351  0.11488112
0.49968540  0.11609368
0.49545034  0.11729328
0.49126775  0.11847963
0.48713700  0.11965244
0.48305741  0.12081142
0.47902825  0.12195628
0.47504878  0.12308675
0.47111818  0.12420257
0.46723562  0.12530345
0.46340025  0.12638915
0.45961115  0.12745942
0.45586739  0.12851400
0.45216801  0.12955265
0.44851202  0.13057514
0.44489841  0.13158124
0.44132615  0.13257073
0.43779416  0.13354338
0.43430138  0.13449898
0.43084670  0.13543733
0.42742901  0.13635822
0.42404717  0.13726146
0.42070006  0.13814686
0.41738651  0.13901423
0.41410536  0.13986341
0.41085543  0.14069420
0.40763555  0.14150646
0.40444452  0.14230000
0.40128118  0.14307469
0.39814431  0.14383037
0.39503274  0.14456689
0.39194527  0.14528411
0.38888071  0.14598190
0.38583788  0.14666014
0.38281561  0.14731870
0.37981271  0.14795745
0.37682803  0.14857630
0.37386042  0.14917513
0.37090872  0.14975384
0.36797180  0.15031233
0.36504855  0.15085052
0.36213786  0.15136831
0.35923864  0.15186563
0.35634983  0.15234241
0.35347035  0.15279856
0.35059919  0.15323402
0.34773531  0.15364874
0.34487774  0.15404266
0.34202549  0.15441573
0.33917762  0.15476789
0.33633320  0.15509912
0.33349132  0.15540937
0.33065112  0.15569861
0.32781175  0.15596682
0.32497238  0.15621397
0.32213222  0.15644004
0.31929051  0.15664502
0.31644652  0.15682891
0.31359953  0.15699169
0.31074889  0.15713336
0.30789395  0.15725394
0.30503410  0.15735342
0.30216876  0.15743181
0.29929739  0.15748914
0.29641950  0.15752543
0.29353459  0.15754069
0.29064224  0.15753495
0.28774204  0.15750825
0.28483363  0.15746062
0.28191666  0.15739209
0.27899085  0.15730271
0.27605594  0.15719252
0.27311169  0.15706157
0.27015794  0.15690992
0.26719453  0.15673760
0.26422134  0.15654469
0.26123830  0.15633123
0.25824538  0.15609730
0.25524257  0.15584296
0.25222991  0.15556828
0.24920748  0.15527331
0.24617538  0.15495815
0.24313377  0.15462286
0.24008282  0.15426751
0.23702275  0.15389220
0.23395383  0.15349699
0.23087635  0.15308196
0.22779063  0.15264722
0.22469703  0.15219282
0.22159595  0.15171887
0.21848783  0.15122546
0.21537312  0.15071266
0.21225233  0.15018057
0.20912598  0.14962927
0.20599463  0.14905887
0.20285889  0.14846945
0.19971937  0.14786110
0.19657673  0.14723391
0.19343164  0.14658798
0.19028482  0.14592340
0.18713701  0.14524025
0.18398897  0.14453863
0.18084149  0.14381864
0.17769537  0.14308035
0.17455147  0.14232386
0.17141064  0.14154925
0.16827375  0.14075662
0.16514172  0.13994604
0.16201545  0.13911760
0.15889589  0.13827138
0.15578399  0.13740746
0.15268073  0.13652592
0.14958707  0.13562683
0.14650403  0.13471026
0.14343261  0.13377629
0.14037381  0.13282499
0.13732868  0.13185641
0.13429824  0.13087062
0.13128354  0.12986767
0.12828560  0.12884762
0.12530549  0.12781053
0.12234424  0.12675643
0.11940290  0.12568537
0.11648251  0.12459739
0.11358411  0.12349253
0.11070873  0.12237080
0.10785741  0.12123225
0.10503116  0.12007688
0.10223098  0.11890471
0.09945788  0.11771576
0.09671282  0.11651002
0.09399679  0.11528751
0.09131072  0.11404820
0.08865555  0.11279209
0.08603219  0.11151917
0.08344151  0.11022939
0.08088440  0.10892275
0.07836167  0.10759920
0.07587415  0.10625869
0.07342262  0.10490118
0.07100781  0.10352662
0.06863047  0.10213493
0.06629126  0.10072606
0.06399084  0.09929992
0.06172983  0.09785643
0.05950880  0.09639551
0.05732828  0.09491705
0.05518878  0.09342096
0.05309075  0.09190712
0.05103461  0.09037541
0.04902071  0.08882572
0.04704940  0.08725790
0.04512093  0.08567183
0.04323555  0.08406735
0.04139344  0.08244431
0.03959474  0.08080256
0.03783954  0.07914193
0.03612786  0.07746225
0.03445972  0.07576335
0.03283504  0.07404503
0.03125372  0.07230710
0.02971561  0.07054938
0.02822050  0.06877166
0.02676814  0.06697374
0.02535823  0.06515540
0.02399043  0.06331643
0.02266434  0.06145661
0.02137954  0.05957571
0.02013555  0.05767352
0.01893185  0.05574979
0.01776789  0.05380430
0.01664309  0.05183681
0.01555681  0.04984709
0.01450842  0.04783489
0.01349722  0.04579999
0.01252252  0.04374215
0.01158360  0.04166112
0.01067971  0.03955668
0.00981011  0.03742860
0.00897405  0.03527664
0.00817077  0.03310059
0.00739951  0.03090022
0.00665955  0.02867532
0.00595017  0.02642570
