# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06204
# Species         : Melaniparus_pallidiventris
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 79.00 mm
# Secondary1       : 65.20 mm
# Kipps Distance   : 13.80 mm
# Hand-Wing Index  : 17.50
# Tail Length      : 61.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.212
# Pointedness Index: 0.1747
# Efficiency Index : 0.0306
# Wing Loading Proxy: 0.0198
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1985  at x/c = 0.2721
# Max f/c          : 0.0597  at x/c = 0.3467
# Est. Reynolds    : 1.22e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009088
0.99866600  0.00021621
0.99781709  0.00037575
0.99683966  0.00056924
0.99572909  0.00079640
0.99448137  0.00105693
0.99309306  0.00135054
0.99156126  0.00167690
0.98988362  0.00203568
0.98805827  0.00242653
0.98608382  0.00284910
0.98395929  0.00330301
0.98168418  0.00378789
0.97925832  0.00430333
0.97668197  0.00484894
0.97395570  0.00542431
0.97108045  0.00602900
0.96805742  0.00666259
0.96488815  0.00732464
0.96157441  0.00801470
0.95811825  0.00873231
0.95452195  0.00947701
0.95078800  0.01024832
0.94691909  0.01104577
0.94291809  0.01186887
0.93878807  0.01271713
0.93453223  0.01359005
0.93015390  0.01448714
0.92565657  0.01540789
0.92104383  0.01635178
0.91631936  0.01731831
0.91148695  0.01830695
0.90655046  0.01931717
0.90151383  0.02034846
0.89638103  0.02140029
0.89115611  0.02247211
0.88584314  0.02356341
0.88044622  0.02467363
0.87496948  0.02580225
0.86941707  0.02694873
0.86379311  0.02811251
0.85810175  0.02929307
0.85234712  0.03048986
0.84653334  0.03170232
0.84066449  0.03292993
0.83474464  0.03417213
0.82877782  0.03542839
0.82276801  0.03669815
0.81671916  0.03798087
0.81063517  0.03927602
0.80451987  0.04058304
0.79837704  0.04190140
0.79221042  0.04323056
0.78602365  0.04456998
0.77982032  0.04591912
0.77360395  0.04727746
0.76737798  0.04864445
0.76114577  0.05001957
0.75491060  0.05140228
0.74867569  0.05279207
0.74244415  0.05418841
0.73621901  0.05559078
0.73000323  0.05699866
0.72379965  0.05841153
0.71761105  0.05982890
0.71144011  0.06125024
0.70528941  0.06267505
0.69916146  0.06410284
0.69305865  0.06553310
0.68698329  0.06696535
0.68093760  0.06839908
0.67492371  0.06983382
0.66894363  0.07126909
0.66299932  0.07270440
0.65709262  0.07413928
0.65122526  0.07557327
0.64539892  0.07700589
0.63961516  0.07843670
0.63387546  0.07986522
0.62818120  0.08129102
0.62253367  0.08271365
0.61693410  0.08413266
0.61138359  0.08554761
0.60588318  0.08695809
0.60043382  0.08836365
0.59503638  0.08976389
0.58969164  0.09115837
0.58440029  0.09254669
0.57916296  0.09392845
0.57398018  0.09530324
0.56885243  0.09667067
