# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06465
# Species         : Passerculus_henslowii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 54.70 mm
# Secondary1       : 45.80 mm
# Kipps Distance   : 8.50 mm
# Hand-Wing Index  : 15.60
# Tail Length      : 49.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.194
# Pointedness Index: 0.1554
# Efficiency Index : 0.0242
# Wing Loading Proxy: 0.0239
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2022  at x/c = 0.2732
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009106
0.99866607  0.00021692
0.99781732  0.00037735
0.99684021  0.00057208
0.99573015  0.00080084
0.99448316  0.00106333
0.99309585  0.00135925
0.99156534  0.00168829
0.98988931  0.00205010
0.98806592  0.00244434
0.98609378  0.00287066
0.98397197  0.00332868
0.98169996  0.00381801
0.97927763  0.00433828
0.97670522  0.00488907
0.97398335  0.00546996
0.97111292  0.00608054
0.96809517  0.00672037
0.96493162  0.00738901
0.96162406  0.00808600
0.95817454  0.00881090
0.95458532  0.00956323
0.95085889  0.01034252
0.94699795  0.01114829
0.94300537  0.01198005
0.93888419  0.01283732
0.93463761  0.01371958
0.93026896  0.01462634
0.92578171  0.01555709
0.92117944  0.01651132
0.91646583  0.01748850
0.91164465  0.01848811
0.90671976  0.01950963
0.90169506  0.02055253
0.89657453  0.02161628
0.89136219  0.02270033
0.88606211  0.02380416
0.88067837  0.02492721
0.87521509  0.02606896
0.86967639  0.02722885
0.86406639  0.02840634
0.85838923  0.02960088
0.85264900  0.03081192
0.84684982  0.03203893
0.84099576  0.03328133
0.83509086  0.03453860
0.82913914  0.03581017
0.82314458  0.03709550
0.81711109  0.03839404
0.81104256  0.03970524
0.80494282  0.04102855
0.79881564  0.04236343
0.79266471  0.04370933
0.78649369  0.04506571
0.78030614  0.04643203
0.77410557  0.04780774
0.76789540  0.04919230
0.76167899  0.05058519
0.75545960  0.05198586
0.74924043  0.05339378
0.74302459  0.05480842
0.73681509  0.05622926
0.73061487  0.05765577
0.72442679  0.05908743
0.71825358  0.06052372
0.71209794  0.06196414
0.70596242  0.06340815
0.69984952  0.06485527
0.69376164  0.06630498
0.68770106  0.06775678
0.68167001  0.06921017
0.67567058  0.07066467
0.66970482  0.07211979
0.66377464  0.07357503
0.65788187  0.07502992
0.65202828  0.07648399
0.64621550  0.07793675
0.64044510  0.07938775
0.63471854  0.08083652
0.62903721  0.08228260
0.62340241  0.08372554
0.61781532  0.08516489
0.61227708  0.08660020
0.60678870  0.08803104
0.60135113  0.08945698
0.59596524  0.09087758
0.59063181  0.09229242
0.58535152  0.09370109
0.58012500  0.09510316
0.57495279  0.09649824
0.56983535  0.09788591
0.56477307  0.09926579
0.55976626  0.10063747
0.55481516  0.10200058
0.54991995  0.10335474
0.54508071  0.10469956
0.54029749  0.10603467
0.53557026  0.10735972
0.53089892  0.10867435
0.52628332  0.10997820
0.52172323  0.11127092
0.51721837  0.11255218
0.51276843  0.11382164
0.50837301  0.11507896
0.50403166  0.11632383
0.49974390  0.11755592
0.49550919  0.11877493
0.49132693  0.11998054
0.48719650  0.12117246
0.48311721  0.12235039
0.47908835  0.12351404
0.47510916  0.12466313
0.47117883  0.12579738
0.46729654  0.12691652
0.46346141  0.12802028
0.45967255  0.12910841
0.45592902  0.13018064
0.45222986  0.13123674
0.44857408  0.13227646
0.44496067  0.13329956
0.44138859  0.13430581
0.43785678  0.13529500
0.43436416  0.13626689
0.43090964  0.13722128
0.42749210  0.13815796
0.42411041  0.13907672
0.42076343  0.13997738
0.41745000  0.14085974
0.41416897  0.14172363
0.41091915  0.14256885
0.40769936  0.14339524
0.40450844  0.14420264
0.40134517  0.14499087
0.39820839  0.14575980
0.39509688  0.14650925
0.39200948  0.14723910
0.38894498  0.14794921
0.38590220  0.14863943
0.38287998  0.14930965
0.37987712  0.14995974
0.37689248  0.15058959
0.37392489  0.15119908
0.37097321  0.15178811
0.36803631  0.15235658
0.36511308  0.15290439
0.36220240  0.15343146
0.35930319  0.15393770
0.35641437  0.15442303
0.35353489  0.15488737
0.35066372  0.15533067
0.34779983  0.15575285
0.34494224  0.15615386
0.34208997  0.15653365
0.33924208  0.15689216
0.33639763  0.15722935
0.33355572  0.15754518
0.33071549  0.15783962
0.32787608  0.15811264
0.32503667  0.15836422
0.32219647  0.15859433
0.31935471  0.15880296
0.31651067  0.15899010
0.31366364  0.15915575
0.31081294  0.15929989
0.30795794  0.15942253
0.30509803  0.15952369
0.30223263  0.15960336
0.29936120  0.15966157
0.29648323  0.15969833
0.29359825  0.15971366
0.29070583  0.15970760
0.28780555  0.15968017
0.28489706  0.15963140
0.28198001  0.15956134
0.27905411  0.15947002
0.27611911  0.15935749
0.27317477  0.15922380
0.27022092  0.15906899
0.26725741  0.15889313
0.26428412  0.15869626
0.26130098  0.15847845
0.25830795  0.15823977
0.25530502  0.15798027
0.25229225  0.15770002
0.24926970  0.15739911
0.24623747  0.15707759
0.24319573  0.15673554
0.24014464  0.15637305
0.23708444  0.15599019
0.23401538  0.15558705
0.23093774  0.15516370
0.22785187  0.15472023
0.22475811  0.15425672
0.22165687  0.15377328
0.21854857  0.15326998
0.21543369  0.15274691
0.21231271  0.15220417
0.20918617  0.15164185
0.20605463  0.15106004
0.20291869  0.15045883
0.19977895  0.14983833
0.19663609  0.14919861
0.19349078  0.14853978
0.19034373  0.14786194
0.18719568  0.14716516
0.18404738  0.14644956
0.18089964  0.14571521
0.17775326  0.14496222
