# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06490
# Species         : Pselliophorus_tibialis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 79.80 mm
# Secondary1       : 70.40 mm
# Kipps Distance   : 9.40 mm
# Hand-Wing Index  : 11.70
# Tail Length      : 86.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.134
# Pointedness Index: 0.1178
# Efficiency Index : 0.0138
# Wing Loading Proxy: 0.0132
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2057  at x/c = 0.2754
# Max f/c          : 0.0606  at x/c = 0.3518
# Est. Reynolds    : 1.24e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009127
0.99866622  0.00021778
0.99781781  0.00037928
0.99684135  0.00057551
0.99573233  0.00080618
0.99448685  0.00107102
0.99310157  0.00136970
0.99157371  0.00170190
0.98990099  0.00206730
0.98808161  0.00246554
0.98611424  0.00289627
0.98399798  0.00335910
0.98173235  0.00385365
0.97931726  0.00437952
0.97675296  0.00493632
0.97404009  0.00552362
0.97117957  0.00614099
0.96817265  0.00678799
0.96502085  0.00746419
0.96172598  0.00816912
0.95829007  0.00890233
0.95471538  0.00966335
0.95100441  0.01045168
0.94715984  0.01126687
0.94318451  0.01210840
0.93908148  0.01297578
0.93485391  0.01386852
0.93050513  0.01478609
0.92603857  0.01572800
0.92145781  0.01669371
0.91676649  0.01768271
0.91196836  0.01869447
0.90706725  0.01972845
0.90206705  0.02078412
0.89697170  0.02186095
0.89178520  0.02295840
0.88651158  0.02407591
0.88115490  0.02521294
0.87571924  0.02636895
0.87020869  0.02754339
0.86462735  0.02873570
0.85897930  0.02994533
0.85326864  0.03117172
0.84749944  0.03241433
0.84167572  0.03367260
0.83580152  0.03494596
0.82988080  0.03623388
0.82391752  0.03753578
0.81791557  0.03885112
0.81187879  0.04017933
0.80581099  0.04151988
0.79971590  0.04287219
0.79359720  0.04423573
0.78745849  0.04560993
0.78130333  0.04699426
0.77513519  0.04838816
0.76895746  0.04979109
0.76277347  0.05120250
0.75658647  0.05262185
0.75039962  0.05404861
0.74421599  0.05548224
0.73803859  0.05692219
0.73187033  0.05836795
0.72571404  0.05981899
0.71957244  0.06127477
0.71344818  0.06273478
0.70734382  0.06419850
0.70126182  0.06566541
0.69520457  0.06713501
0.68917433  0.06860678
0.68317330  0.07008022
0.67720358  0.07155483
0.67126717  0.07303011
0.66536598  0.07450558
0.65950184  0.07598074
0.65367647  0.07745511
0.64789151  0.07892822
0.64214852  0.08039959
0.63644894  0.08186874
0.63079415  0.08333522
0.62518543  0.08479856
0.61962397  0.08625831
0.61411088  0.08771402
0.60864717  0.08916524
0.60323380  0.09061153
0.59787160  0.09205246
0.59256136  0.09348759
0.58730376  0.09491651
0.58209941  0.09633878
0.57694886  0.09775401
0.57185256  0.09916177
0.56681089  0.10056166
0.56182416  0.10195329
0.55689262  0.10333627
0.55201643  0.10471020
0.54719568  0.10607471
0.54243043  0.10742941
0.53772062  0.10877395
0.53306618  0.11010795
0.52846693  0.11143106
0.52392267  0.11274293
0.51943313  0.11404320
0.51499796  0.11533154
0.51061679  0.11660760
0.50628917  0.11787107
0.50201463  0.11912162
0.49779261  0.12035892
0.49362255  0.12158268
0.48950380  0.12279258
0.48543569  0.12398832
0.48141752  0.12516961
0.47744852  0.12633616
0.47352790  0.12748769
0.46965484  0.12862392
0.46582847  0.12974459
0.46204789  0.13084942
0.45831219  0.13193817
0.45462040  0.13301058
0.45097155  0.13406640
0.44736462  0.13510539
0.44379859  0.13612733
0.44027240  0.13713197
0.43678499  0.13811910
0.43333526  0.13908851
0.42992210  0.14003998
0.42654440  0.14097331
0.42320102  0.14188830
0.41989081  0.14278476
0.41661261  0.14366250
0.41336526  0.14452135
0.41014760  0.14536112
0.40695843  0.14618165
0.40379659  0.14698277
0.40066088  0.14776433
0.39755013  0.14852618
0.39446316  0.14926816
0.39139877  0.14999015
0.38835581  0.15069201
0.38533309  0.15137360
0.38232945  0.15203481
0.37934374  0.15267552
0.37637481  0.15329561
0.37342151  0.15389499
0.37048273  0.15447354
0.36755735  0.15503118
0.36464428  0.15556782
0.36174242  0.15608336
0.35885073  0.15657774
0.35596813  0.15705087
0.35309362  0.15750270
0.35022617  0.15793315
0.34736480  0.15834217
0.34450853  0.15872971
0.34165644  0.15909571
