# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06552
# Species         : Graminicola_striatus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 56.20 mm
# Secondary1       : 52.00 mm
# Kipps Distance   : 4.30 mm
# Hand-Wing Index  : 7.70
# Tail Length      : 73.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.081
# Pointedness Index: 0.0765
# Efficiency Index : 0.0059
# Wing Loading Proxy: 0.0146
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2121  at x/c = 0.2778
# Max f/c          : 0.0612  at x/c = 0.3568
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009157
0.99866637  0.00021897
0.99781832  0.00038195
0.99684252  0.00058026
0.99573456  0.00081361
0.99449062  0.00108172
0.99310744  0.00138428
0.99158230  0.00172096
0.98991297  0.00209144
0.98809770  0.00249536
0.98613522  0.00293237
0.98402466  0.00340208
0.98176558  0.00390412
0.97935790  0.00443809
0.97680192  0.00500357
0.97409828  0.00560016
0.97124793  0.00622741
0.96825211  0.00688490
0.96511238  0.00757218
0.96183051  0.00828878
0.95840856  0.00903425
0.95484878  0.00980811
0.95115366  0.01060989
0.94732587  0.01143909
0.94336825  0.01229522
0.93928383  0.01317777
0.93507576  0.01408625
0.93074735  0.01502014
0.92630202  0.01597892
0.92174331  0.01696207
0.91707486  0.01796905
0.91230037  0.01899935
0.90742366  0.02005241
0.90244859  0.02112770
0.89737907  0.02222468
0.89221906  0.02334279
0.88697258  0.02448149
0.88164365  0.02564023
0.87623631  0.02681845
0.87075464  0.02801559
0.86520268  0.02923110
0.85958451  0.03046441
0.85390418  0.03171496
0.84816571  0.03298219
0.84237312  0.03426554
0.83653040  0.03556444
0.83064148  0.03687832
0.82471029  0.03820663
0.81874068  0.03954880
0.81273647  0.04090426
0.80670143  0.04227245
0.80063926  0.04365280
0.79455360  0.04504477
0.78844805  0.04644778
0.78232611  0.04786127
0.77619123  0.04928469
0.77004678  0.05071748
0.76389605  0.05215910
0.75774226  0.05360897
0.75158855  0.05506656
0.74543798  0.05653132
0.73929350  0.05800270
0.73315802  0.05948016
0.72703434  0.06096316
0.72092515  0.06245117
0.71483309  0.06394365
0.70876070  0.06544006
0.70271040  0.06693989
0.69668457  0.06844261
0.69068546  0.06994770
0.68471523  0.07145464
0.67877598  0.07296293
0.67286969  0.07447205
0.66699825  0.07598150
0.66116347  0.07749078
0.65536706  0.07899939
0.64961066  0.08050685
0.64389579  0.08201267
0.63822390  0.08351636
0.63259634  0.08501744
0.62701440  0.08651546
0.62147924  0.08800993
0.61599197  0.08950039
0.61055360  0.09098639
0.60516505  0.09246747
0.59982718  0.09394319
0.59454075  0.09541311
0.58930645  0.09687677
0.58412488  0.09833377
0.57899658  0.09978366
0.57392199  0.10122602
0.56890150  0.10266045
0.56393542  0.10408653
0.55902397  0.10550385
0.55416734  0.10691203
0.54936561  0.10831066
0.54461883  0.10969935
0.53992695  0.11107773
0.53528989  0.11244542
0.53070749  0.11380205
0.52617954  0.11514726
0.52170575  0.11648069
0.51728581  0.11780198
0.51291933  0.11911079
0.50860588  0.12040678
0.50434497  0.12168962
0.50013607  0.12295897
0.49597860  0.12421452
0.49187193  0.12545595
0.48781539  0.12668295
0.48380828  0.12789522
0.47984985  0.12909245
0.47593931  0.13027436
0.47207583  0.13144066
0.46825856  0.13259107
0.46448662  0.13372532
0.46075908  0.13484314
0.45707500  0.13594428
0.45343339  0.13702847
0.44983327  0.13809547
0.44627360  0.13914504
0.44275335  0.14017694
0.43927145  0.14119094
0.43582681  0.14218681
0.43241834  0.14316435
0.42904492  0.14412333
0.42570542  0.14506356
0.42239872  0.14598483
0.41912365  0.14688695
0.41587906  0.14776974
0.41266379  0.14863301
0.40947667  0.14947659
0.40631653  0.15030031
0.40318218  0.15110400
0.40007246  0.15188752
0.39698620  0.15265071
0.39392221  0.15339342
0.39087934  0.15411552
0.38785641  0.15481687
0.38485227  0.15549736
0.38186577  0.15615684
0.37889577  0.15679522
0.37594114  0.15741237
0.37300076  0.15800821
0.37007353  0.15858262
0.36715835  0.15913552
0.36425415  0.15966682
0.36135986  0.16017644
0.35847445  0.16066430
0.35559690  0.16113034
0.35272618  0.16157448
0.34986134  0.16199667
0.34700139  0.16239686
0.34414540  0.16277499
0.34129246  0.16313103
0.33844167  0.16346493
0.33559217  0.16377666
0.33274311  0.16406620
0.32989369  0.16433352
0.32704312  0.16457860
0.32419065  0.16480143
0.32133553  0.16500200
0.31847709  0.16518031
0.31561465  0.16533637
0.31274757  0.16547016
0.30987526  0.16558171
0.30699714  0.16567103
0.30411268  0.16573815
0.30122136  0.16578307
0.29832272  0.16580583
0.29541632  0.16580647
0.29250176  0.16578501
0.28957868  0.16574150
0.28664674  0.16567599
0.28370564  0.16558851
0.28075513  0.16547912
0.27779498  0.16534787
0.27482501  0.16519482
0.27184507  0.16502004
0.26885504  0.16482358
0.26585484  0.16460551
0.26284444  0.16436591
0.25982382  0.16410485
0.25679303  0.16382240
0.25375213  0.16351864
0.25070123  0.16319366
0.24764047  0.16284753
0.24457003  0.16248034
0.24149012  0.16209218
0.23840100  0.16168315
0.23530294  0.16125332
0.23219628  0.16080279
0.22908136  0.16033166
0.22595857  0.15984003
0.22282834  0.15932799
0.21969113  0.15879563
0.21654742  0.15824307
0.21339774  0.15767039
0.21024264  0.15707770
0.20708270  0.15646510
0.20391855  0.15583268
0.20075081  0.15518056
0.19758018  0.15450883
0.19440734  0.15381759
0.19123303  0.15310694
0.18805800  0.15237698
0.18488303  0.15162781
0.18170893  0.15085952
0.17853652  0.15007222
0.17536666  0.14926600
0.17220022  0.14844094
0.16903809  0.14759715
0.16588117  0.14673471
0.16273041  0.14585370
0.15958675  0.14495422
0.15645115  0.14403634
0.15332458  0.14310015
0.15020804  0.14214572
0.14710252  0.14117311
0.14400905  0.14018241
0.14092862  0.13917368
0.13786229  0.13814698
0.13481107  0.13710237
0.13177601  0.13603990
0.12875815  0.13495962
0.12575853  0.13386157
0.12277820  0.13274581
0.11981819  0.13161235
0.11687954  0.13046123
0.11396329  0.12929247
0.11107047  0.12810610
0.10820209  0.12690212
0.10535917  0.12568054
0.10254269  0.12444136
0.09975366  0.12318458
0.09699303  0.12191017
0.09426176  0.12061813
0.09156080  0.11930842
0.08889105  0.11798102
0.08625341  0.11663587
0.08364876  0.11527293
0.08107794  0.11389215
0.07854178  0.11249346
0.07604107  0.11107678
0.07357658  0.10964205
0.07114904  0.10818916
0.06875916  0.10671803
0.06640759  0.10522855
0.06409499  0.10372061
0.06182194  0.10219408
0.05958901  0.10064883
0.05739671  0.09908473
0.05524553  0.09750162
0.05313590  0.09589936
0.05106823  0.09427778
0.04904285  0.09263669
0.04706009  0.09097593
0.04512021  0.08929529
0.04322341  0.08759458
0.04136988  0.08587359
0.03955974  0.08413211
0.03779307  0.08236990
