# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06687
# Species         : Phylloscopus_cebuensis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 51.50 mm
# Secondary1       : 43.50 mm
# Kipps Distance   : 8.00 mm
# Hand-Wing Index  : 15.50
# Tail Length      : 48.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.184
# Pointedness Index: 0.1553
# Efficiency Index : 0.0241
# Wing Loading Proxy: 0.0247
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2023  at x/c = 0.2732
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009107
0.99866607  0.00021695
0.99781734  0.00037741
0.99684024  0.00057219
0.99573021  0.00080101
0.99448326  0.00106358
0.99309599  0.00135959
0.99156555  0.00168873
0.98988961  0.00205066
0.98806632  0.00244503
0.98609431  0.00287149
0.98397263  0.00332967
0.98170079  0.00381917
0.97927864  0.00433962
0.97670645  0.00489061
0.97398480  0.00547171
0.97111463  0.00608251
0.96809715  0.00672258
0.96493391  0.00739146
0.96162668  0.00808872
0.95817750  0.00881389
0.95458865  0.00956651
0.95086262  0.01034610
0.94700210  0.01115218
0.94300996  0.01198427
0.93888925  0.01284187
0.93464315  0.01372448
0.93027501  0.01463161
0.92578830  0.01556273
0.92118658  0.01651734
0.91647354  0.01749491
0.91165296  0.01849493
0.90672867  0.01951687
0.90170459  0.02056020
0.89658471  0.02162438
0.89137304  0.02270889
0.88607364  0.02381317
0.88069059  0.02493670
0.87522802  0.02607893
0.86969004  0.02723931
0.86408078  0.02841730
0.85840435  0.02961235
0.85266489  0.03082392
0.84686648  0.03205145
0.84101319  0.03329439
0.83510908  0.03455220
0.82915816  0.03582433
0.82316439  0.03711023
0.81713172  0.03840934
0.81106400  0.03972112
0.80496508  0.04104502
0.79883872  0.04238050
0.79268862  0.04372700
0.78651842  0.04508399
0.78033170  0.04645092
0.77413196  0.04782726
0.76792262  0.04921245
0.76170704  0.05060597
0.75548849  0.05200729
0.74927015  0.05341585
0.74305513  0.05483115
0.73684645  0.05625265
0.73064705  0.05767983
0.72445978  0.05911216
0.71828738  0.06054912
0.71213254  0.06199021
0.70599782  0.06343491
0.69988572  0.06488271
0.69379861  0.06633311
0.68773881  0.06778560
0.68170852  0.06923970
0.67570986  0.07069490
0.66974484  0.07215071
0.66381540  0.07360666
0.65792337  0.07506226
0.65207049  0.07651703
0.64625842  0.07797050
0.64048871  0.07942221
0.63476285  0.08087169
0.62908219  0.08231848
0.62344805  0.08376213
0.61786161  0.08520220
0.61232401  0.08663822
0.60683625  0.08806978
0.60139930  0.08949643
0.59601401  0.09091774
0.59068116  0.09233330
0.58540144  0.09374267
0.58017548  0.09514546
0.57500382  0.09654124
0.56988691  0.09792962
0.56482514  0.09931020
0.55981883  0.10068259
0.55486822  0.10204640
0.54997347  0.10340125
0.54513470  0.10474676
0.54035192  0.10608257
0.53562512  0.10740831
0.53095420  0.10872362
0.52633899  0.11002814
0.52177928  0.11132154
0.51727480  0.11260347
0.51282521  0.11387359
0.50843013  0.11513158
0.50408911  0.11637710
0.49980166  0.11760985
0.49556724  0.11882950
0.49138527  0.12003576
0.48725510  0.12122831
0.48317607  0.12240687
0.47914745  0.12357115
0.47516848  0.12472085
0.47123836  0.12585571
0.46735627  0.12697546
0.46352132  0.12807982
0.45973263  0.12916853
0.45598925  0.13024135
0.45229023  0.13129803
0.44863458  0.13233831
0.44502128  0.13336198
0.44144930  0.13436878
0.43791759  0.13535851
0.43442504  0.13633094
0.43097059  0.13728586
0.42755310  0.13822306
0.42417144  0.13914234
0.42082449  0.14004350
0.41751107  0.14092636
0.41423004  0.14179073
0.41098021  0.14263643
0.40776040  0.14346329
0.40456944  0.14427114
0.40140613  0.14505983
0.39826929  0.14582919
0.39515772  0.14657908
0.39207023  0.14730935
0.38900565  0.14801987
0.38596277  0.14871050
0.38294043  0.14938111
0.37993746  0.15003158
0.37695268  0.15066180
0.37398495  0.15127165
0.37103312  0.15186104
0.36809607  0.15242985
0.36517266  0.15297799
0.36226180  0.15350538
0.35936240  0.15401193
0.35647339  0.15449756
0.35359370  0.15496220
0.35072232  0.15540578
0.34785821  0.15582823
0.34500039  0.15622950
0.34214788  0.15660953
0.33929973  0.15696828
0.33645502  0.15730569
0.33361286  0.15762174
0.33077235  0.15791639
0.32793266  0.15818961
0.32509296  0.15844137
0.32225247  0.15867166
0.31941041  0.15888045
0.31656606  0.15906774
0.31371871  0.15923353
0.31086769  0.15937780
0.30801236  0.15950057
0.30515211  0.15960183
0.30228637  0.15968160
0.29941459  0.15973990
0.29653627  0.15977674
0.29365094  0.15979214
0.29075815  0.15978613
0.28785750  0.15975875
0.28494862  0.15971002
0.28203119  0.15963998
0.27910491  0.15954868
0.27616951  0.15943616
0.27322478  0.15930246
0.27027052  0.15914764
0.26730660  0.15897175
0.26433289  0.15877485
0.26134933  0.15855700
0.25835588  0.15831826
0.25535253  0.15805869
0.25233932  0.15777837
0.24931633  0.15747737
0.24628366  0.15715576
0.24324147  0.15681361
0.24018994  0.15645101
0.23712929  0.15606802
0.23405977  0.15566474
0.23098167  0.15524125
0.22789533  0.15479763
0.22480110  0.15433397
0.22169939  0.15385035
0.21859062  0.15334687
0.21547526  0.15282361
0.21235380  0.15228067
0.20922678  0.15171814
0.20609476  0.15113612
0.20295832  0.15053468
0.19981810  0.14991394
0.19667474  0.14927398
0.19352894  0.14861490
0.19038139  0.14793679
0.18723283  0.14723975
0.18408404  0.14652386
0.18093579  0.14578923
0.17778891  0.14503594
0.17464422  0.14426409
