# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06751
# Species         : Phylloscopus_valentini
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 54.80 mm
# Secondary1       : 45.90 mm
# Kipps Distance   : 8.90 mm
# Hand-Wing Index  : 16.20
# Tail Length      : 46.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.194
# Pointedness Index: 0.1624
# Efficiency Index : 0.0263
# Wing Loading Proxy: 0.0257
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2014  at x/c = 0.2728
# Max f/c          : 0.0600  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009102
0.99866605  0.00021676
0.99781725  0.00037698
0.99684004  0.00057141
0.99572982  0.00079980
0.99448260  0.00106183
0.99309496  0.00135722
0.99156405  0.00168563
0.98988752  0.00204674
0.98806350  0.00244019
0.98609063  0.00286564
0.98396797  0.00332271
0.98169497  0.00381102
0.97927153  0.00433018
0.97669788  0.00487978
0.97397462  0.00545940
0.97110266  0.00606864
0.96808325  0.00670704
0.96491789  0.00737418
0.96160838  0.00806960
0.95815676  0.00879284
0.95456531  0.00954344
0.95083650  0.01032092
0.94697305  0.01112481
0.94297781  0.01195462
0.93885384  0.01280986
0.93460433  0.01369002
0.93023262  0.01459461
0.92574219  0.01552312
0.92113662  0.01647503
0.91641958  0.01744983
0.91159485  0.01844700
0.90666630  0.01946600
0.90163782  0.02050632
0.89651342  0.02156742
0.89129711  0.02264876
0.88599296  0.02374981
0.88060506  0.02487003
0.87513753  0.02600888
0.86959450  0.02716581
0.86398009  0.02834028
0.85829844  0.02953175
0.85255367  0.03073966
0.84674988  0.03196348
0.84089115  0.03320264
0.83498153  0.03445661
0.82902504  0.03572484
0.82302566  0.03700677
0.81698732  0.03830187
0.81091391  0.03960957
0.80480926  0.04092934
0.79867713  0.04226064
0.79252125  0.04360291
0.78634525  0.04495562
0.78015272  0.04631822
0.77394715  0.04769017
0.76773200  0.04907094
0.76151059  0.05046000
0.75528623  0.05185680
0.74906208  0.05326082
0.74284128  0.05467153
0.73662684  0.05608840
0.73042171  0.05751092
0.72422873  0.05893855
0.71805066  0.06037079
0.71189018  0.06180713
0.70574987  0.06324704
0.69963222  0.06469003
0.69353962  0.06613559
0.68747437  0.06758323
0.68143869  0.06903244
0.67543469  0.07048274
0.66946441  0.07193363
0.66352976  0.07338464
0.65763259  0.07483529
0.65177464  0.07628510
0.64595758  0.07773360
0.64018295  0.07918033
0.63445224  0.08062482
0.62876682  0.08206661
0.62312799  0.08350526
0.61753696  0.08494032
0.61199483  0.08637135
0.60650265  0.08779790
0.60106135  0.08921955
0.59567180  0.09063586
0.59033478  0.09204643
0.58505099  0.09345082
0.57982105  0.09484863
0.57464549  0.09623945
0.56952479  0.09762288
0.56445932  0.09899852
0.55944940  0.10036599
0.55449527  0.10172490
0.54959710  0.10307486
0.54475500  0.10441551
0.53996900  0.10574648
0.53523906  0.10706740
0.53056510  0.10837792
0.52594694  0.10967768
0.52138439  0.11096635
0.51687715  0.11224357
0.51242490  0.11350902
0.50802725  0.11476236
0.50368376  0.11600327
0.49939393  0.11723145
0.49515722  0.11844656
0.49097305  0.11964832
0.48684078  0.12083641
0.48275972  0.12201055
0.47872917  0.12317045
0.47474836  0.12431583
0.47081649  0.12544640
0.46693272  0.12656190
0.46309619  0.12766207
0.45930599  0.12874664
0.45556119  0.12981536
0.45186083  0.13086798
0.44820392  0.13190427
0.44458944  0.13292399
0.44101636  0.13392691
0.43748361  0.13491280
0.43399012  0.13588145
0.43053478  0.13683265
0.42711648  0.13776618
0.42373409  0.13868185
0.42038646  0.13957946
0.41707245  0.14045883
0.41379088  0.14131977
0.41054057  0.14216211
0.40732036  0.14298566
0.40412906  0.14379028
0.40096547  0.14457578
0.39782840  0.14534203
0.39471666  0.14608887
0.39162907  0.14681616
0.38856443  0.14752376
0.38552155  0.14821153
0.38249927  0.14887936
0.37949640  0.14952712
0.37651178  0.15015468
0.37354425  0.15076196
0.37059268  0.15134882
0.36765592  0.15191519
0.36473286  0.15246096
0.36182239  0.15298604
0.35892342  0.15349036
0.35603488  0.15397382
0.35315571  0.15443636
0.35028487  0.15487791
0.34742136  0.15529841
0.34456417  0.15569779
0.34171233  0.15607600
0.33886489  0.15643300
0.33602092  0.15676875
0.33317953  0.15708319
0.33033983  0.15737630
0.32750098  0.15764805
0.32466216  0.15789842
0.32182257  0.15812738
0.31898145  0.15833491
0.31613806  0.15852102
0.31329171  0.15868568
0.31044172  0.15882891
0.30758744  0.15895069
0.30472828  0.15905104
0.30186365  0.15912996
0.29899301  0.15918748
0.29611586  0.15922360
0.29323172  0.15923836
0.29034015  0.15923177
0.28744075  0.15920387
0.28453315  0.15915469
0.28161702  0.15908427
0.27869207  0.15899264
0.27575803  0.15887986
0.27281468  0.15874596
0.26986184  0.15859101
0.26689935  0.15841504
0.26392711  0.15821813
0.26094504  0.15800032
