# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06899
# Species         : Brachycope_anomala
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 59.20 mm
# Secondary1       : 52.80 mm
# Kipps Distance   : 6.40 mm
# Hand-Wing Index  : 10.90
# Tail Length      : 28.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.121
# Pointedness Index: 0.1081
# Efficiency Index : 0.0118
# Wing Loading Proxy: 0.0388
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2077  at x/c = 0.2759
# Max f/c          : 0.0608  at x/c = 0.3518
# Est. Reynolds    : 1.06e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009136
0.99866625  0.00021812
0.99781791  0.00038005
0.99684158  0.00057688
0.99573277  0.00080833
0.99448760  0.00107411
0.99310274  0.00137392
0.99157543  0.00170743
0.98990338  0.00207431
0.98808483  0.00247421
0.98611843  0.00290676
0.98400332  0.00337161
0.98173900  0.00386835
0.97932538  0.00439660
0.97676275  0.00495595
0.97405172  0.00554598
0.97119324  0.00616626
0.96818854  0.00681635
0.96503916  0.00749582
0.96174689  0.00820420
0.95831377  0.00894104
0.95474206  0.00970586
0.95103426  0.01049818
0.94719304  0.01131753
0.94322126  0.01216340
0.93912195  0.01303530
0.93489828  0.01393272
0.93055357  0.01485517
0.92609126  0.01580211
0.92151491  0.01677303
0.91682816  0.01776741
0.91203477  0.01878472
0.90713854  0.01982443
0.90214336  0.02088599
0.89705318  0.02196887
0.89187198  0.02307253
0.88660378  0.02419643
0.88125265  0.02534000
0.87582265  0.02650271
0.87031788  0.02768400
0.86474241  0.02888332
0.85910035  0.03010011
0.85339575  0.03133382
0.84763269  0.03258389
0.84181520  0.03384976
0.83594729  0.03513088
0.83003294  0.03642668
0.82407608  0.03773661
0.81808059  0.03906011
0.81205033  0.04039662
0.80598908  0.04174559
0.79990058  0.04310645
0.79378848  0.04447866
0.78765641  0.04586167
0.78150790  0.04725491
0.77534641  0.04865784
0.76917533  0.05006990
0.76299800  0.05149056
0.75681764  0.05291927
0.75063742  0.05435549
0.74446040  0.05579867
0.73828959  0.05724828
0.73212789  0.05870378
0.72597812  0.06016464
0.71984300  0.06163034
0.71372519  0.06310034
0.70762723  0.06457413
0.70155158  0.06605119
0.69550061  0.06753100
0.68947660  0.06901305
0.68348174  0.07049684
0.67751811  0.07198185
0.67158773  0.07346759
0.66569250  0.07495357
0.65983423  0.07643929
0.65401466  0.07792426
0.64823542  0.07940800
0.64249806  0.08089004
0.63680403  0.08236991
0.63115470  0.08384712
0.62555134  0.08532122
0.61999515  0.08679175
0.61448724  0.08825825
0.60902861  0.08972027
0.60362021  0.09117738
0.59826290  0.09262913
