# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07025
# Species         : Polioptila_albiloris
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 49.00 mm
# Secondary1       : 41.10 mm
# Kipps Distance   : 7.90 mm
# Hand-Wing Index  : 16.10
# Tail Length      : 48.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.192
# Pointedness Index: 0.1612
# Efficiency Index : 0.0260
# Wing Loading Proxy: 0.0246
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2016  at x/c = 0.2729
# Max f/c          : 0.0600  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009102
0.99866605  0.00021679
0.99781726  0.00037704
0.99684007  0.00057153
0.99572987  0.00079997
0.99448269  0.00106208
0.99309511  0.00135756
0.99156427  0.00168607
0.98988781  0.00204730
0.98806391  0.00244089
0.98609116  0.00286648
0.98396863  0.00332371
0.98169580  0.00381219
0.97927255  0.00433153
0.97669910  0.00488133
0.97397607  0.00546117
0.97110437  0.00607063
0.96808523  0.00670927
0.96492018  0.00737666
0.96161100  0.00807234
0.95815973  0.00879586
0.95456864  0.00954675
0.95084024  0.01032453
0.94697720  0.01112874
0.94298240  0.01195887
0.93885889  0.01281445
0.93460987  0.01369496
0.93023868  0.01459992
0.92574878  0.01552880
0.92114375  0.01648110
0.91642729  0.01745630
0.91160315  0.01845387
0.90667521  0.01947330
0.90164736  0.02051405
0.89652361  0.02157559
0.89130796  0.02265738
0.88600449  0.02375890
0.88061728  0.02487959
0.87515046  0.02601892
0.86960815  0.02717635
0.86399448  0.02835133
0.85831357  0.02954331
0.85256956  0.03075174
0.84676654  0.03197609
0.84090858  0.03321580
0.83499975  0.03447032
0.82904406  0.03573910
0.82304548  0.03702160
0.81700795  0.03831727
0.81093535  0.03962556
0.80483152  0.04094592
0.79870021  0.04227782
0.79254516  0.04362070
0.78636999  0.04497402
0.78017829  0.04633724
0.77397356  0.04770982
0.76775923  0.04909122
0.76153866  0.05048092
0.75531512  0.05187837
0.74909181  0.05328304
0.74287183  0.05469440
0.73665822  0.05611194
0.73045390  0.05753512
0.72426174  0.05896343
0.71808448  0.06039635
0.71192481  0.06183336
0.70578530  0.06327396
0.69966844  0.06471764
0.69357662  0.06616389
0.68751215  0.06761222
0.68147724  0.06906213
0.67547401  0.07051313
0.66950448  0.07196473
0.66357057  0.07341645
0.65767414  0.07486781
0.65181692  0.07631833
0.64600056  0.07776754
0.64022664  0.07921498
0.63449662  0.08066018
0.62881189  0.08210269
0.62317373  0.08354206
0.61758335  0.08497783
0.61204187  0.08640957
0.60655032  0.08783684
0.60110965  0.08925920
0.59572071  0.09067624
0.59038429  0.09208751
0.58510108  0.09349262
0.57987171  0.09489114
0.57469671  0.09628267
0.56957655  0.09766681
0.56451161  0.09904316
0.55950221  0.10041133
0.55454859  0.10177094
0.54965091  0.10312160
0.54480929  0.10446295
0.54002375  0.10579461
0.53529427  0.10711622
0.53062074  0.10842742
0.52600301  0.10972787
0.52144087  0.11101721
0.51693403  0.11229510
0.51248216  0.11356122
0.50808488  0.11481523
0.50374175  0.11605680
0.49945226  0.11728563
0.49521589  0.11850139
0.49103204  0.11970379
0.48690007  0.12089253
0.48281932  0.12206730
0.47878905  0.12322782
0.47480850  0.12437382
0.47087689  0.12550500
0.46699337  0.12662111
0.46315707  0.12772188
0.45936710  0.12880704
0.45562251  0.12987635
0.45192235  0.13092955
0.44826563  0.13196642
0.44465133  0.13298670
0.44107842  0.13399017
0.43754583  0.13497661
0.43405248  0.13594580
0.43059728  0.13689753
0.42717910  0.13783159
0.42379683  0.13874778
0.42044931  0.13964590
0.41713540  0.14052577
0.41385392  0.14138720
0.41060370  0.14223001
0.40738356  0.14305404
0.40419232  0.14385912
0.40102878  0.14464508
0.39789176  0.14541178
0.39478007  0.14615905
0.39169251  0.14688677
0.38862789  0.14759478
0.38558503  0.14828297
0.38256276  0.14895119
0.37955989  0.14959934
0.37657527  0.15022729
0.37360774  0.15083493
0.37065615  0.15142216
0.36771937  0.15198888
0.36479628  0.15253499
0.36188578  0.15306040
0.35898677  0.15356503
0.35609818  0.15404881
0.35321896  0.15451165
0.35034808  0.15495349
0.34748450  0.15537427
0.34462725  0.15577392
0.34177534  0.15615240
0.33892782  0.15650965
0.33608378  0.15684564
0.33324230  0.15716031
0.33040252  0.15745365
0.32756358  0.15772561
0.32472466  0.15797618
0.32188497  0.15820533
0.31904375  0.15841305
0.31620026  0.15859932
0.31335379  0.15876415
0.31050368  0.15890753
0.30764929  0.15902945
0.30479000  0.15912994
0.30192525  0.15920899
0.29905448  0.15926662
0.29617720  0.15930285
0.29329292  0.15931770
0.29040121  0.15931120
0.28750167  0.15928338
0.28459392  0.15923427
0.28167764  0.15916391
0.27875254  0.15907233
0.27581834  0.15895959
0.27287483  0.15882573
0.26992182  0.15867080
0.26695917  0.15849485
0.26398676  0.15829795
0.26100451  0.15808014
