# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07035
# Species         : Polioptila_plumbea
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 46.70 mm
# Secondary1       : 38.40 mm
# Kipps Distance   : 5.40 mm
# Hand-Wing Index  : 12.30
# Tail Length      : 44.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.216
# Pointedness Index: 0.1156
# Efficiency Index : 0.0142
# Wing Loading Proxy: 0.0274
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2064  at x/c = 0.2752
# Max f/c          : 0.0606  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009128
0.99866619  0.00021781
0.99781774  0.00037935
0.99684118  0.00057563
0.99573199  0.00080639
0.99448628  0.00107132
0.99310069  0.00137012
0.99157242  0.00170247
0.98989919  0.00206804
0.98807919  0.00246647
0.98611109  0.00289742
0.98399398  0.00336050
0.98172737  0.00385533
0.97931116  0.00438152
0.97674562  0.00493866
0.97403136  0.00552633
0.97116931  0.00614411
0.96816073  0.00679156
0.96500713  0.00746824
0.96171030  0.00817370
0.95827229  0.00890746
0.95469537  0.00966907
0.95098202  0.01045805
0.94713493  0.01127391
0.94315695  0.01211616
0.93905113  0.01298430
0.93482063  0.01387784
0.93046879  0.01479626
0.92599906  0.01573906
0.92141498  0.01670571
0.91672024  0.01769569
0.91191856  0.01870847
0.90701379  0.01974352
0.90200982  0.02080032
0.89691060  0.02187831
0.89172013  0.02297696
0.88644244  0.02409573
0.88108159  0.02523407
0.87564168  0.02639143
0.87012680  0.02756727
0.86454105  0.02876102
0.85888853  0.02997214
0.85317332  0.03120008
0.84739950  0.03244428
0.84157112  0.03370418
0.83569220  0.03497923
0.82976671  0.03626887
0.82379862  0.03757255
0.81779182  0.03888970
0.81175016  0.04021979
0.80567745  0.04156224
0.79957742  0.04291651
0.79345377  0.04428205
0.78731010  0.04565830
0.78114996  0.04704471
0.77497683  0.04844074
0.76879412  0.04984584
0.76260515  0.05125947
0.75641318  0.05268108
0.75022136  0.05411013
0.74403279  0.05554609
0.73785046  0.05698842
0.73167730  0.05843659
0.72551612  0.05989007
0.71936967  0.06134833
0.71324060  0.06281086
0.70713147  0.06427713
0.70104474  0.06574663
0.69498279  0.06721884
0.68894791  0.06869326
0.68294229  0.07016937
0.67696802  0.07164669
0.67102713  0.07312471
0.66512151  0.07460294
0.65925300  0.07608088
0.65342332  0.07755807
0.64763413  0.07903401
0.64188696  0.08050823
0.63618328  0.08198026
0.63052446  0.08344964
0.62491178  0.08491590
0.61934644  0.08637858
0.61382954  0.08783724
0.60836211  0.08929142
0.60294508  0.09074069
0.59757932  0.09218461
0.59226559  0.09362274
0.58700459  0.09505466
0.58179693  0.09647996
0.57664315  0.09789820
0.57154370  0.09930899
0.56649897  0.10071192
0.56150928  0.10210659
0.55657485  0.10349260
0.55169587  0.10486957
0.54687243  0.10623711
0.54210456  0.10759486
0.53739223  0.10894242
0.53273536  0.11027945
0.52813378  0.11160557
0.52358727  0.11292045
0.51909557  0.11422372
0.51465834  0.11551504
0.51027519  0.11679408
0.50594570  0.11806051
0.50166936  0.11931401
0.49744565  0.12055425
0.49327398  0.12178091
0.48915371  0.12299370
0.48508418  0.12419232
0.48106467  0.12537646
0.47709442  0.12654584
0.47317265  0.12770017
0.46929852  0.12883918
0.46547117  0.12996260
0.46168970  0.13107015
0.45795319  0.13216159
0.45426068  0.13323666
0.45061120  0.13429511
0.44700372  0.13533670
0.44343723  0.13636119
0.43991066  0.13736836
0.43642296  0.13835798
0.43297301  0.13932984
0.42955973  0.14028372
0.42618197  0.14121941
0.42283862  0.14213673
0.41952852  0.14303547
0.41625051  0.14391545
0.41300343  0.14477649
0.40978611  0.14561840
0.40659736  0.14644103
0.40343601  0.14724420
0.40030088  0.14802776
0.39719077  0.14879155
0.39410451  0.14953544
0.39104092  0.15025927
0.38799881  0.15096291
0.38497702  0.15164624
0.38197438  0.15230913
0.37898973  0.15295146
0.37602193  0.15357311
0.37306984  0.15417399
0.37013232  0.15475399
0.36720828  0.15531301
0.36429660  0.15585097
0.36139620  0.15636777
0.35850602  0.15686334
0.35562501  0.15733761
0.35275214  0.15779050
0.34988639  0.15822195
0.34702678  0.15863191
0.34417233  0.15902032
0.34132210  0.15938712
0.33847518  0.15973228
0.33563066  0.16005577
0.33278767  0.16035754
0.32994536  0.16063756
0.32710293  0.16089582
0.32425957  0.16113229
0.32141453  0.16134697
