# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07083
# Species         : Sericulus_aureus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 137.60 mm
# Secondary1       : 116.20 mm
# Kipps Distance   : 21.40 mm
# Hand-Wing Index  : 15.60
# Tail Length      : 82.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.184
# Pointedness Index: 0.1555
# Efficiency Index : 0.0243
# Wing Loading Proxy: 0.0144
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1962  at x/c = 0.2732
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 2.50e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009086
0.99866607  0.00021613
0.99781732  0.00037556
0.99684021  0.00056888
0.99573015  0.00079581
0.99448316  0.00105606
0.99309585  0.00134931
0.99156534  0.00167525
0.98988931  0.00203352
0.98806592  0.00242378
0.98609378  0.00284568
0.98397197  0.00329882
0.98169996  0.00378284
0.97927763  0.00429732
0.97670522  0.00484186
0.97398335  0.00541605
0.97111292  0.00601946
0.96809517  0.00665165
0.96493162  0.00731218
0.96162406  0.00800059
0.95817454  0.00871642
0.95458532  0.00945921
0.95085889  0.01022848
0.94699795  0.01102376
0.94300537  0.01184454
0.93888419  0.01269035
0.93463761  0.01356067
0.93026896  0.01445502
0.92578171  0.01537287
0.92117944  0.01631371
0.91646583  0.01727704
0.91164465  0.01826232
0.90671976  0.01926904
0.90169506  0.02029666
0.89657453  0.02134465
0.89136219  0.02241249
0.88606211  0.02349964
0.88067837  0.02460555
0.87521509  0.02572970
0.86967639  0.02687154
0.86406639  0.02803053
0.85838923  0.02920612
0.85264900  0.03039778
0.84684982  0.03160496
0.84099576  0.03282712
0.83509086  0.03406370
0.82913914  0.03531418
0.82314458  0.03657801
0.81711109  0.03785464
0.81104256  0.03914353
0.80494282  0.04044414
0.79881564  0.04175593
0.79266471  0.04307837
0.78649369  0.04441092
0.78030614  0.04575304
0.77410556  0.04710419
0.76789540  0.04846386
0.76167898  0.04983151
0.75545960  0.05120662
0.74924043  0.05258866
0.74302459  0.05397711
0.73681509  0.05537146
0.73061487  0.05677118
0.72442678  0.05817577
0.71825358  0.05958473
0.71209793  0.06099753
0.70596242  0.06241370
0.69984952  0.06383271
0.69376163  0.06525409
0.68770106  0.06667734
0.68167000  0.06810197
0.67567058  0.06952751
0.66970481  0.07095347
0.66377463  0.07237939
0.65788187  0.07380478
0.65202827  0.07522919
0.64621549  0.07665216
0.64044509  0.07807322
0.63471853  0.07949193
0.62903720  0.08090785
0.62340240  0.08232052
0.61781531  0.08372952
0.61227706  0.08513440
0.60678868  0.08653475
0.60135112  0.08793014
0.59596523  0.08932016
0.59063179  0.09070438
0.58535150  0.09208241
0.58012498  0.09345385
0.57495277  0.09481829
0.56983533  0.09617534
0.56477305  0.09752463
0.55976623  0.09886577
0.55481513  0.10019839
0.54991991  0.10152211
0.54508068  0.10283658
0.54029746  0.10414143
0.53557022  0.10543631
0.53089888  0.10672088
0.52628327  0.10799479
0.52172318  0.10925772
0.51721832  0.11050932
0.51276838  0.11174927
0.50837295  0.11297726
0.50403160  0.11419298
0.49974383  0.11539611
0.49550912  0.11658635
0.49132686  0.11776341
0.48719642  0.11892699
0.48311713  0.12007682
0.47908826  0.12121262
0.47510906  0.12233411
0.47117873  0.12344102
0.46729643  0.12453309
0.46346130  0.12561008
0.45967243  0.12667172
0.45592889  0.12771777
0.45222973  0.12874801
0.44857394  0.12976218
0.44496052  0.13076007
0.44138843  0.13174146
0.43785662  0.13270612
0.43436399  0.13365386
0.43090946  0.13458447
0.42749191  0.13549774
0.42411022  0.13639348
0.42076322  0.13727152
0.41744979  0.13813166
0.41416874  0.13897374
0.41091891  0.13979757
0.40769912  0.14060301
0.40450818  0.14138988
0.40134490  0.14215803
0.39820810  0.14290732
0.39509659  0.14363761
0.39200917  0.14434875
0.38894466  0.14504062
0.38590187  0.14571308
0.38287963  0.14636603
0.37987676  0.14699934
0.37689210  0.14761290
0.37392449  0.14820661
0.37097280  0.14878036
0.36803589  0.14933407
0.36511264  0.14986765
0.36220194  0.15038100
0.35930271  0.15087406
0.35641387  0.15134674
0.35353438  0.15179899
0.35066319  0.15223072
0.34779928  0.15264190
0.34494167  0.15303245
0.34208939  0.15340233
0.33924147  0.15375151
0.33639700  0.15407993
0.33355507  0.15438756
0.33071482  0.15467437
0.32787539  0.15494034
0.32503595  0.15518544
0.32219573  0.15540966
0.31935395  0.15561298
0.31650989  0.15579540
0.31366283  0.15595691
0.31081211  0.15609751
0.30795708  0.15621721
0.30509715  0.15631601
0.30223172  0.15639392
0.29936027  0.15645098
0.29648228  0.15648718
0.29359727  0.15650256
0.29070482  0.15649714
0.28780452  0.15647096
0.28489600  0.15642405
0.28197892  0.15635644
0.27905300  0.15626819
0.27611797  0.15615933
0.27317361  0.15602991
0.27021973  0.15587998
0.26725619  0.15570960
0.26428287  0.15551883
0.26129970  0.15530771
0.25830664  0.15507633
0.25530369  0.15482473
0.25229089  0.15455299
0.24926830  0.15426117
0.24623605  0.15394936
0.24319428  0.15361761
0.24014317  0.15326602
0.23708294  0.15289465
0.23401384  0.15250359
0.23093618  0.15209292
0.22785028  0.15166272
0.22475649  0.15121307
0.22165522  0.15074406
0.21854690  0.15025578
0.21543199  0.14974832
0.21231099  0.14922175
0.20918442  0.14867618
0.20605286  0.14811170
0.20291688  0.14752838
0.19977713  0.14692633
0.19663424  0.14630563
0.19348891  0.14566637
0.19034183  0.14500865
0.18719376  0.14433256
0.18404544  0.14363817
0.18089768  0.14292559
0.17775128  0.14219491
0.17460708  0.14144619
0.17146594  0.14067955
0.16832874  0.13989505
0.16519638  0.13909278
0.16206978  0.13827282
0.15894988  0.13743526
0.15583763  0.13658017
0.15273400  0.13570762
0.14963998  0.13481770
0.14655656  0.13391046
0.14348474  0.13298598
0.14042555  0.13204432
0.13738000  0.13108555
0.13434914  0.13010971
0.13133400  0.12911688
0.12833562  0.12810710
0.12535505  0.12708041
0.12239334  0.12603687
0.11945152  0.12497651
0.11653064  0.12389936
0.11363174  0.12280547
0.11075585  0.12169485
0.10790401  0.12056752
0.10507722  0.11942351
0.10227650  0.11826283
0.09950283  0.11708547
0.09675721  0.11589145
0.09404060  0.11468076
0.09135394  0.11345338
0.08869816  0.11220931
0.08607418  0.11094851
0.08348288  0.10967096
0.08092513  0.10837663
0.07840175  0.10706547
0.07591357  0.10573744
0.07346137  0.10439248
0.07104588  0.10303053
0.06866785  0.10165153
0.06632794  0.10025539
0.06402681  0.09884204
0.06176508  0.09741138
0.05954332  0.09596332
0.05736206  0.09449776
0.05522182  0.09301459
0.05312304  0.09151368
0.05106613  0.08999492
0.04905147  0.08845816
0.04707937  0.08690328
0.04515013  0.08533012
0.04326396  0.08373853
0.04142106  0.08212835
0.03962156  0.08049942
0.03786555  0.07885154
0.03615307  0.07718455
0.03448412  0.07549826
0.03285863  0.07379246
0.03127650  0.07206696
0.02973758  0.07032156
0.02824166  0.06855603
0.02678848  0.06677016
0.02537776  0.06496372
0.02400915  0.06313648
0.02268226  0.06128822
0.02139666  0.05941868
0.02015187  0.05752764
0.01894738  0.05561483
0.01778264  0.05368002
0.01665705  0.05172294
0.01557001  0.04974335
0.01452085  0.04774099
0.01350890  0.04571560
0.01253346  0.04366692
0.01159380  0.04159470
0.01068920  0.03949868
0.00981890  0.03737861
0.00898214  0.03523424
0.00817819  0.03306531
0.00740627  0.03087158
0.00666567  0.02865282
0.00595566  0.02640878
0.00527554  0.02413926
0.00462465  0.02184402
0.00400238  0.01952287
0.00340814  0.01717561
0.00284141  0.01480205
0.00230177  0.01240202
0.00178882  0.00997536
0.00130230  0.00752194
0.00084201  0.00504164
0.00040789  0.00253436
0.00000000  0.00000000
0.00040789  -0.00148644
0.00084201  -0.00289830
0.00130230  -0.00423948
0.00178882  -0.00551368
0.00230177  -0.00672445
0.00284141  -0.00787518
0.00340814  -0.00896911
0.00400238  -0.01000933
0.00462465  -0.01099880
0.00527554  -0.01194032
0.00595566  -0.01283660
0.00666567  -0.01369019
0.00740627  -0.01450354
0.00817819  -0.01527898
0.00898214  -0.01601873
0.00981890  -0.01672489
0.01068920  -0.01739949
0.01159380  -0.01804442
0.01253346  -0.01866152
0.01350890  -0.01925250
0.01452085  -0.01981901
0.01557001  -0.02036260
0.01665705  -0.02088476
0.01778264  -0.02138687
0.01894738  -0.02187027
0.02015187  -0.02233620
0.02139666  -0.02278587
0.02268226  -0.02322038
0.02400915  -0.02364079
0.02537776  -0.02404810
0.02678848  -0.02444326
0.02824166  -0.02482714
0.02973758  -0.02520058
0.03127650  -0.02556435
0.03285863  -0.02591919
0.03448412  -0.02626578
0.03615307  -0.02660476
0.03786555  -0.02693672
0.03962156  -0.02726222
0.04142106  -0.02758177
0.04326396  -0.02789585
0.04515013  -0.02820490
0.04707937  -0.02850932
0.04905147  -0.02880948
0.05106613  -0.02910573
0.05312304  -0.02939836
0.05522182  -0.02968767
0.05736206  -0.02997389
0.05954332  -0.03025726
0.06176508  -0.03053797
0.06402681  -0.03081620
0.06632794  -0.03109209
0.06866785  -0.03136578
0.07104588  -0.03163736
0.07346137  -0.03190693
0.07591357  -0.03217455
0.07840175  -0.03244028
0.08092513  -0.03270413
0.08348288  -0.03296612
0.08607418  -0.03322625
0.08869816  -0.03348450
0.09135394  -0.03374084
0.09404060  -0.03399522
0.09675721  -0.03424758
0.09950283  -0.03449785
0.10227650  -0.03474595
0.10507722  -0.03499179
0.10790401  -0.03523525
0.11075585  -0.03547622
0.11363174  -0.03571459
0.11653064  -0.03595022
0.11945152  -0.03618296
0.12239334  -0.03641268
0.12535505  -0.03663921
0.12833562  -0.03686240
0.13133400  -0.03708209
0.13434914  -0.03729809
0.13738000  -0.03751024
0.14042555  -0.03771835
0.14348474  -0.03792224
0.14655656  -0.03812172
0.14963998  -0.03831660
0.15273400  -0.03850669
0.15583763  -0.03869178
0.15894988  -0.03887169
0.16206978  -0.03904621
0.16519638  -0.03921515
0.16832874  -0.03937830
0.17146594  -0.03953546
0.17460708  -0.03968643
0.17775128  -0.03983102
0.18089768  -0.03996902
0.18404544  -0.04010023
0.18719376  -0.04022446
0.19034183  -0.04034152
0.19348891  -0.04045121
0.19663424  -0.04055334
0.19977713  -0.04064772
0.20291688  -0.04073417
0.20605286  -0.04081252
0.20918442  -0.04088257
0.21231099  -0.04094417
0.21543199  -0.04099713
0.21854690  -0.04104130
0.22165522  -0.04107651
0.22475649  -0.04110262
0.22785028  -0.04111946
0.23093618  -0.04112690
0.23401384  -0.04112480
0.23708294  -0.04111303
0.24014317  -0.04109145
0.24319428  -0.04105995
0.24623605  -0.04101841
0.24926830  -0.04096673
0.25229089  -0.04090481
0.25530369  -0.04083254
0.25830664  -0.04074985
0.26129970  -0.04065666
0.26428287  -0.04055289
0.26725619  -0.04043849
0.27021973  -0.04031339
0.27317361  -0.04017754
0.27611797  -0.04003092
0.27905300  -0.03987347
0.28197892  -0.03970519
0.28489600  -0.03952606
0.28780452  -0.03933606
0.29070482  -0.03913520
0.29359727  -0.03892349
0.29648228  -0.03870095
0.29936027  -0.03846761
0.30223172  -0.03822350
0.30509715  -0.03796866
0.30795708  -0.03770316
0.31081211  -0.03742705
0.31366283  -0.03714041
0.31650989  -0.03684331
0.31935395  -0.03653584
0.32219573  -0.03621811
0.32503595  -0.03589022
0.32787539  -0.03555228
0.33071482  -0.03520443
0.33355507  -0.03484678
0.33639700  -0.03447949
0.33924147  -0.03410271
0.34208939  -0.03371659
0.34494167  -0.03332130
0.34779928  -0.03291702
0.35066319  -0.03250393
0.35353438  -0.03208222
0.35641387  -0.03165209
0.35930271  -0.03121376
0.36220194  -0.03076743
0.36511264  -0.03031333
0.36803589  -0.02985169
0.37097280  -0.02938275
0.37392449  -0.02890676
0.37689210  -0.02842396
0.37987676  -0.02793461
0.38287963  -0.02743899
0.38590187  -0.02693736
0.38894466  -0.02643000
0.39200917  -0.02591719
0.39509659  -0.02539923
0.39820810  -0.02487641
0.40134490  -0.02434903
0.40450818  -0.02381740
0.40769912  -0.02328183
0.41091891  -0.02274263
0.41416874  -0.02220012
0.41744979  -0.02165463
0.42076322  -0.02110648
0.42411022  -0.02055601
0.42749191  -0.02000355
0.43090946  -0.01944943
0.43436399  -0.01889399
0.43785662  -0.01833759
0.44138843  -0.01778055
0.44496052  -0.01722324
0.44857394  -0.01666598
0.45222973  -0.01610914
0.45592889  -0.01555306
0.45967243  -0.01499810
0.46346130  -0.01444459
0.46729643  -0.01389289
0.47117873  -0.01334335
0.47510906  -0.01279632
0.47908826  -0.01225214
0.48311713  -0.01171116
0.48719642  -0.01117372
0.49132686  -0.01064016
0.49550912  -0.01011083
0.49974383  -0.00958605
0.50403160  -0.00906616
0.50837295  -0.00855150
0.51276838  -0.00804237
0.51721832  -0.00753911
0.52172318  -0.00704203
0.52628327  -0.00655145
0.53089888  -0.00606766
0.53557022  -0.00559097
0.54029746  -0.00512167
0.54508068  -0.00466005
0.54991991  -0.00420639
0.55481513  -0.00376097
0.55976623  -0.00332405
0.56477305  -0.00289590
0.56983533  -0.00247676
0.57495277  -0.00206688
0.58012498  -0.00166649
0.58535150  -0.00127583
0.59063179  -0.00089510
0.59596523  -0.00052451
0.60135112  -0.00016427
0.60678868  0.00018544
0.61227706  0.00052444
0.61781531  0.00085257
0.62340240  0.00116966
0.62903720  0.00147557
0.63471853  0.00177016
0.64044509  0.00205332
0.64621549  0.00232493
0.65202827  0.00258489
0.65788187  0.00283312
0.66377463  0.00306953
0.66970481  0.00329407
0.67567058  0.00350669
0.68167000  0.00370734
0.68770106  0.00389601
0.69376163  0.00407268
0.69984952  0.00423736
0.70596242  0.00439006
0.71209793  0.00453080
0.71825358  0.00465964
0.72442678  0.00477663
0.73061487  0.00488183
0.73681509  0.00497534
0.74302459  0.00505725
0.74924043  0.00512766
0.75545960  0.00518672
0.76167898  0.00523455
0.76789540  0.00527131
0.77410556  0.00529716
0.78030614  0.00531230
0.78649369  0.00531691
0.79266471  0.00531120
0.79881564  0.00529539
0.80494282  0.00526973
0.81104256  0.00523446
0.81711109  0.00518985
0.82314458  0.00513616
0.82913914  0.00507370
0.83509086  0.00500276
0.84099576  0.00492367
0.84684982  0.00483674
0.85264900  0.00474233
0.85838923  0.00464078
0.86406639  0.00453246
0.86967639  0.00441774
0.87521509  0.00429703
0.88067837  0.00417070
0.88606211  0.00403919
0.89136219  0.00390291
0.89657453  0.00376228
0.90169506  0.00361776
0.90671976  0.00346980
0.91164465  0.00331885
0.91646583  0.00316539
0.92117944  0.00300990
0.92578171  0.00285287
0.93026896  0.00269478
0.93463761  0.00253614
0.93888419  0.00237747
0.94300537  0.00221927
0.94699795  0.00206207
0.95085889  0.00190640
0.95458532  0.00175278
0.95817454  0.00160176
0.96162406  0.00145388
0.96493162  0.00130968
0.96809517  0.00116971
0.97111292  0.00103451
0.97398335  0.00090465
0.97670522  0.00078067
0.97927763  0.00066312
0.98169996  0.00055257
0.98397197  0.00044956
0.98609378  0.00035465
0.98806592  0.00026839
0.98988931  0.00019132
0.99156534  0.00012399
0.99309585  0.00006694
0.99448316  0.00002072
0.99573015  -0.00001415
0.99684021  -0.00003714
0.99781732  -0.00004774
0.99866607  -0.00004541
0.99939167  -0.00002967
1.00000000  0.00000000
