# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07103
# Species         : Arizelocichla_neumanni
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 99.20 mm
# Secondary1       : 83.20 mm
# Kipps Distance   : 16.00 mm
# Hand-Wing Index  : 16.10
# Tail Length      : 95.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.192
# Pointedness Index: 0.1613
# Efficiency Index : 0.0260
# Wing Loading Proxy: 0.0124
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1983  at x/c = 0.2729
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.64e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009092
0.99866605  0.00021636
0.99781726  0.00037607
0.99684007  0.00056980
0.99572987  0.00079727
0.99448269  0.00105817
0.99309511  0.00135221
0.99156427  0.00167906
0.98988781  0.00203838
0.98806391  0.00242983
0.98609116  0.00285304
0.98396863  0.00330765
0.98169580  0.00379326
0.97927255  0.00430949
0.97669910  0.00485593
0.97397607  0.00543216
0.97110437  0.00603776
0.96808523  0.00667230
0.96492018  0.00733532
0.96161100  0.00802638
0.95815973  0.00874502
0.95456864  0.00949078
0.95084024  0.01026317
0.94697720  0.01106173
0.94298240  0.01188596
0.93885889  0.01273537
0.93460987  0.01360946
0.93023868  0.01450773
0.92574878  0.01542967
0.92114375  0.01637477
0.91642729  0.01734252
0.91160315  0.01833238
0.90667521  0.01934384
0.90164736  0.02037637
0.89652361  0.02142943
0.89130796  0.02250250
0.88600449  0.02359504
0.88061728  0.02470651
0.87515046  0.02583638
0.86960815  0.02698409
0.86399448  0.02814911
0.85831357  0.02933090
0.85256956  0.03052890
0.84676654  0.03174258
0.84090858  0.03297139
0.83499975  0.03421479
0.82904406  0.03547222
0.82304548  0.03674315
0.81700795  0.03802703
0.81093535  0.03932332
0.80483152  0.04063147
0.79870021  0.04195094
0.79254516  0.04328119
0.78636999  0.04462169
0.78017829  0.04597189
0.77397356  0.04733126
0.76775923  0.04869927
0.76153866  0.05007538
0.75531512  0.05145908
0.74909181  0.05284982
0.74287183  0.05424709
0.73665822  0.05565037
0.73045390  0.05705914
0.72426174  0.05847289
0.71808448  0.05989109
0.71192481  0.06131325
0.70578530  0.06273886
0.69966843  0.06416742
0.69357662  0.06559843
0.68751215  0.06703140
0.68147724  0.06846583
0.67547401  0.06990125
0.66950447  0.07133716
0.66357057  0.07277310
0.65767413  0.07420858
0.65181691  0.07564315
0.64600056  0.07707633
0.64022664  0.07850766
0.63449662  0.07993669
0.62881188  0.08136297
0.62317372  0.08278605
0.61758335  0.08420549
0.61204187  0.08562086
0.60655032  0.08703172
0.60110964  0.08843765
0.59572070  0.08983822
0.59038428  0.09123302
0.58510107  0.09262165
0.57987170  0.09400368
0.57469670  0.09537873
0.56957654  0.09674639
0.56451160  0.09810628
0.55950220  0.09945802
0.55454857  0.10080122
0.54965090  0.10213551
0.54480927  0.10346052
0.54002373  0.10477590
0.53529425  0.10608127
0.53062072  0.10737631
0.52600299  0.10866064
0.52144084  0.10993395
0.51693400  0.11119589
0.51248214  0.11244613
0.50808485  0.11368435
0.50374172  0.11491024
0.49945223  0.11612348
0.49521585  0.11732377
0.49103200  0.11851080
0.48690003  0.11968429
0.48281927  0.12084394
0.47878900  0.12198948
0.47480845  0.12312062
0.47087684  0.12423710
0.46699331  0.12533864
0.46315702  0.12642500
0.45936704  0.12749591
0.45562245  0.12855113
0.45192229  0.12959042
0.44826556  0.13061354
0.44465126  0.13162026
0.44107834  0.13261035
0.43754574  0.13358360
0.43405239  0.13453979
0.43059719  0.13547872
0.42717901  0.13640018
0.42379673  0.13730399
0.42044921  0.13818993
0.41713529  0.13905785
0.41385380  0.13990754
0.41060358  0.14073885
0.40738343  0.14155160
0.40419219  0.14234564
0.40102864  0.14312079
0.39789162  0.14387692
0.39477992  0.14461388
0.39169235  0.14533153
0.38862773  0.14602974
0.38558486  0.14670837
0.38256258  0.14736730
0.37955971  0.14800641
0.37657508  0.14862560
0.37360754  0.14922475
0.37065594  0.14980376
0.36771915  0.15036253
0.36479606  0.15090098
0.36188554  0.15141902
0.35898653  0.15191656
0.35609793  0.15239353
0.35321871  0.15284986
0.35034781  0.15328548
0.34748422  0.15370033
0.34462696  0.15409436
0.34177504  0.15446751
0.33892752  0.15481974
0.33608346  0.15515100
0.33324197  0.15546127
0.33040218  0.15575049
0.32756323  0.15601866
0.32472430  0.15626575
0.32188460  0.15649173
0.31904336  0.15669659
0.31619986  0.15688032
0.31335338  0.15704293
0.31050326  0.15718440
0.30764886  0.15730474
0.30478956  0.15740396
0.30192479  0.15748206
0.29905401  0.15753907
0.29617671  0.15757500
0.29329242  0.15758988
0.29040070  0.15758373
0.28750115  0.15755658
0.28459339  0.15750847
0.28167709  0.15743943
0.27875197  0.15734950
0.27581776  0.15723874
0.27287424  0.15710718
0.26992122  0.15695487
0.26695855  0.15678188
0.26398612  0.15658825
0.26100387  0.15637404
0.25801174  0.15613933
0.25500974  0.15588416
0.25199791  0.15560862
0.24897632  0.15531276
0.24594509  0.15499667
0.24290435  0.15466041
0.23985429  0.15430406
0.23679514  0.15392771
0.23372716  0.15353142
0.23065062  0.15311528
0.22756587  0.15267938
0.22447326  0.15222379
0.22137319  0.15174861
0.21826609  0.15125393
0.21515243  0.15073982
0.21203271  0.15020638
0.20890746  0.14965371
0.20577723  0.14908188
0.20264263  0.14849100
0.19950427  0.14788115
0.19636281  0.14725243
0.19321893  0.14660492
0.19007335  0.14593872
0.18692680  0.14525392
0.18378004  0.14455061
0.18063387  0.14382889
0.17748910  0.14308883
0.17434656  0.14233054
0.17120712  0.14155409
0.16807166  0.14075958
0.16494108  0.13994709
0.16181630  0.13911670
0.15869825  0.13826849
0.15558789  0.13740256
0.15248620  0.13651896
0.14939415  0.13561778
0.14631275  0.13469910
0.14324299  0.13376298
0.14018590  0.13280949
0.13714251  0.13183870
0.13411384  0.13085067
0.13110094  0.12984545
0.12810484  0.12882311
0.12512660  0.12778369
0.12216725  0.12672724
0.11922785  0.12565381
0.11630943  0.12456344
0.11341304  0.12345616
0.11053972  0.12233201
0.10769047  0.12119100
0.10486633  0.12003317
0.10206831  0.11885852
0.09929739  0.11766708
0.09655455  0.11645885
0.09384077  0.11523383
0.09115699  0.11399201
0.08850414  0.11273339
0.08588313  0.11145794
0.08329484  0.11016566
0.08074015  0.10885651
0.07821987  0.10753046
0.07573483  0.10618747
0.07328581  0.10482749
0.07087355  0.10345048
0.06849877  0.10205636
0.06616217  0.10064508
0.06386438  0.09921657
0.06160602  0.09777074
0.05938766  0.09630751
0.05720985  0.09482679
0.05507307  0.09332849
0.05297779  0.09181248
0.05092441  0.09027867
0.04891330  0.08872693
0.04694478  0.08715713
0.04501913  0.08556915
0.04313658  0.08396284
0.04129731  0.08233806
0.03950146  0.08069466
0.03774912  0.07903247
0.03604031  0.07735134
0.03437503  0.07565109
0.03275322  0.07393155
0.03117478  0.07219253
0.02963953  0.07043385
0.02814729  0.06865531
0.02669778  0.06685672
0.02529072  0.06503787
0.02392575  0.06319856
0.02260248  0.06133857
0.02132049  0.05945770
0.02007927  0.05755573
0.01887834  0.05563243
0.01771711  0.05368759
0.01659501  0.05172098
0.01551141  0.04973238
0.01446566  0.04772156
0.01345706  0.04568830
0.01248493  0.04363237
0.01154853  0.04155356
0.01064712  0.03945163
0.00977995  0.03732639
0.00894626  0.03517760
0.00814530  0.03300506
0.00737632  0.03080858
0.00663857  0.02858795
0.00593132  0.02634299
