# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07123
# Species         : Chlorocichla_prigoginei
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 96.00 mm
# Secondary1       : 85.80 mm
# Kipps Distance   : 10.20 mm
# Hand-Wing Index  : 10.60
# Tail Length      : 95.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.119
# Pointedness Index: 0.1062
# Efficiency Index : 0.0113
# Wing Loading Proxy: 0.0118
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2055  at x/c = 0.2761
# Max f/c          : 0.0607  at x/c = 0.3518
# Est. Reynolds    : 1.57e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009129
0.99866626  0.00021786
0.99781795  0.00037945
0.99684167  0.00057581
0.99573294  0.00080665
0.99448788  0.00107168
0.99310319  0.00137059
0.99157607  0.00170306
0.98990428  0.00206874
0.98808603  0.00246730
0.98612001  0.00289836
0.98400532  0.00336155
0.98174149  0.00385649
0.97932843  0.00438277
0.97676643  0.00493999
0.97405609  0.00552773
0.97119837  0.00614556
0.96819450  0.00679304
0.96504602  0.00746972
0.96175473  0.00817516
0.95832265  0.00890888
0.95475207  0.00967042
0.95104546  0.01045929
0.94720549  0.01127501
0.94323504  0.01211708
0.93913713  0.01298502
0.93491492  0.01387831
0.93057174  0.01479644
0.92611102  0.01573890
0.92153632  0.01670517
0.91685129  0.01769473
0.91205967  0.01870705
0.90716527  0.01974158
0.90217197  0.02079781
0.89708373  0.02187519
0.89190451  0.02297317
0.88663836  0.02409122
0.88128931  0.02522879
0.87586143  0.02638532
0.87035882  0.02756027
0.86478556  0.02875308
0.85914574  0.02996320
0.85344342  0.03119008
0.84768266  0.03243316
0.84186751  0.03369189
0.83600196  0.03496570
0.83008999  0.03625405
0.82413553  0.03755638
0.81814247  0.03887212
0.81211465  0.04020073
0.80605586  0.04154165
0.79996982  0.04289433
0.79386021  0.04425821
0.78773062  0.04563274
0.78158460  0.04701738
0.77542560  0.04841158
0.76925702  0.04981479
0.76308218  0.05122646
0.75690432  0.05264606
0.75072658  0.05407305
0.74455204  0.05550688
0.73838370  0.05694703
0.73222445  0.05839296
0.72607712  0.05984415
0.71994444  0.06130007
0.71382903  0.06276020
0.70773346  0.06422402
0.70166019  0.06569102
0.69561157  0.06716068
0.68958990  0.06863249
0.68359734  0.07010596
0.67763600  0.07158058
0.67170787  0.07305585
0.66581486  0.07453129
0.65995879  0.07600641
0.65414139  0.07748073
0.64836429  0.07895376
0.64262903  0.08042503
0.63693707  0.08189407
0.63128977  0.08336042
0.62568841  0.08482362
0.62013419  0.08628321
0.61462820  0.08773874
0.60917146  0.08918977
0.60376491  0.09063586
0.59840941  0.09207657
0.59310572  0.09351147
0.58785453  0.09494014
0.58265645  0.09636216
0.57751202  0.09777711
0.57242169  0.09918459
0.56738584  0.10058419
0.56240480  0.10197551
0.55747879  0.10335817
0.55260797  0.10473177
0.54779247  0.10609594
0.54303229  0.10745030
0.53832742  0.10879449
0.53367776  0.11012812
0.52908315  0.11145086
0.52454338  0.11276235
0.52005818  0.11406224
0.51562720  0.11535018
0.51125007  0.11662586
0.50692636  0.11788892
0.50265557  0.11913907
0.49843717  0.12037597
0.49427057  0.12159931
0.49015515  0.12280880
0.48609024  0.12400413
0.48207511  0.12518501
0.47810903  0.12635115
0.47419119  0.12750226
0.47032077  0.12863809
0.46649691  0.12975835
0.46271872  0.13086278
0.45898527  0.13195112
0.45529561  0.13302314
0.45164876  0.13407857
0.44804371  0.13511717
0.44447944  0.13613873
0.44095490  0.13714300
0.43746902  0.13812978
0.43402070  0.13909883
0.43060884  0.14004996
0.42723233  0.14098296
0.42389003  0.14189763
0.42058080  0.14279378
0.41730348  0.14367123
0.41405691  0.14452979
0.41083992  0.14536930
0.40765133  0.14618958
0.40448997  0.14699047
0.40135466  0.14777182
0.39824421  0.14853347
0.39515745  0.14927528
0.39209319  0.14999712
0.38905027  0.15069884
0.38602752  0.15138032
0.38302376  0.15204144
0.38003786  0.15268208
0.37706865  0.15330214
0.37411501  0.15390150
0.37117582  0.15448006
0.36824995  0.15503774
0.36533632  0.15557445
0.36243385  0.15609009
0.35954147  0.15658460
0.35665813  0.15705789
0.35378280  0.15750991
0.35091448  0.15794059
0.34805218  0.15834988
0.34519494  0.15873771
0.34234180  0.15910405
0.33949185  0.15944886
0.33664420  0.15977209
0.33379797  0.16007372
0.33095232  0.16035371
0.32810645  0.16061206
0.32525955  0.16084873
0.32241087  0.16106372
0.31955968  0.16125701
0.31670529  0.16142862
0.31384701  0.16157852
0.31098422  0.16170674
0.30811632  0.16181329
0.30524272  0.16189816
0.30236288  0.16196139
0.29947631  0.16200300
0.29658254  0.16202301
0.29368111  0.16202145
0.29077164  0.16199835
0.28785375  0.16195377
