# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07256
# Species         : Anthoscopus_sylviella
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 52.60 mm
# Secondary1       : 44.10 mm
# Kipps Distance   : 8.10 mm
# Hand-Wing Index  : 15.50
# Tail Length      : 29.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.193
# Pointedness Index: 0.1540
# Efficiency Index : 0.0239
# Wing Loading Proxy: 0.0399
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2023  at x/c = 0.2732
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009107
0.99866607  0.00021695
0.99781734  0.00037741
0.99684024  0.00057219
0.99573021  0.00080101
0.99448326  0.00106358
0.99309599  0.00135959
0.99156555  0.00168873
0.98988961  0.00205066
0.98806632  0.00244503
0.98609431  0.00287149
0.98397263  0.00332967
0.98170079  0.00381917
0.97927864  0.00433962
0.97670645  0.00489061
0.97398480  0.00547171
0.97111463  0.00608251
0.96809715  0.00672258
0.96493391  0.00739146
0.96162668  0.00808872
0.95817750  0.00881389
0.95458865  0.00956651
0.95086262  0.01034610
0.94700210  0.01115218
0.94300996  0.01198427
0.93888925  0.01284187
0.93464315  0.01372448
0.93027501  0.01463161
0.92578830  0.01556273
0.92118658  0.01651734
0.91647354  0.01749491
0.91165296  0.01849493
0.90672867  0.01951687
0.90170459  0.02056020
0.89658471  0.02162438
0.89137304  0.02270889
0.88607364  0.02381317
0.88069059  0.02493670
0.87522802  0.02607893
0.86969004  0.02723931
0.86408078  0.02841730
0.85840436  0.02961235
0.85266489  0.03082392
0.84686648  0.03205145
0.84101319  0.03329439
0.83510908  0.03455220
0.82915816  0.03582433
0.82316440  0.03711023
0.81713172  0.03840934
0.81106401  0.03972112
0.80496509  0.04104502
0.79883872  0.04238050
0.79268862  0.04372700
0.78651843  0.04508399
0.78033171  0.04645092
0.77413197  0.04782726
0.76792263  0.04921245
0.76170705  0.05060597
0.75548850  0.05200729
0.74927016  0.05341585
0.74305514  0.05483115
0.73684647  0.05625265
0.73064707  0.05767983
0.72445980  0.05911216
0.71828741  0.06054912
0.71213257  0.06199021
0.70599785  0.06343491
0.69988575  0.06488271
0.69379865  0.06633311
0.68773885  0.06778560
0.68170857  0.06923970
0.67570991  0.07069490
0.66974490  0.07215071
0.66381546  0.07360666
0.65792343  0.07506226
0.65207056  0.07651703
0.64625850  0.07797050
0.64048880  0.07942221
0.63476294  0.08087169
0.62908230  0.08231848
0.62344816  0.08376213
0.61786174  0.08520220
0.61232414  0.08663823
0.60683640  0.08806978
0.60139946  0.08949643
0.59601418  0.09091774
0.59068134  0.09233330
0.58540164  0.09374267
0.58017570  0.09514546
0.57500405  0.09654124
0.56988716  0.09792962
0.56482541  0.09931020
0.55981912  0.10068259
0.55486853  0.10204640
0.54997381  0.10340125
0.54513506  0.10474676
0.54035231  0.10608257
0.53562553  0.10740831
0.53095464  0.10872362
0.52633946  0.11002815
0.52177979  0.11132155
0.51727534  0.11260348
0.51282578  0.11387360
0.50843074  0.11513159
0.50408976  0.11637711
0.49980235  0.11760986
0.49556798  0.11882951
0.49138605  0.12003577
0.48725593  0.12122832
0.48317695  0.12240688
0.47914838  0.12357116
0.47516946  0.12472087
0.47123940  0.12585573
0.46735737  0.12697547
0.46352248  0.12807984
0.45973385  0.12916855
0.45599055  0.13024138
0.45229160  0.13129805
0.44863602  0.13233834
0.44502280  0.13336201
0.44145090  0.13436882
0.43791926  0.13535855
0.43442681  0.13633098
0.43097244  0.13728590
0.42755504  0.13822310
0.42417348  0.13914238
0.42082663  0.14004355
0.41751331  0.14092641
0.41423238  0.14179079
0.41098266  0.14263649
0.40776297  0.14346336
0.40457213  0.14427122
0.40140894  0.14505991
0.39827222  0.14582928
0.39516078  0.14657917
0.39207343  0.14730945
0.38900898  0.14801997
0.38596624  0.14871061
0.38294405  0.14938122
0.37994122  0.15003170
0.37695660  0.15066193
0.37398903  0.15127179
0.37103736  0.15186118
0.36810047  0.15243000
0.36517723  0.15297816
0.36226655  0.15350556
0.35936733  0.15401212
0.35647849  0.15449776
0.35359900  0.15496241
0.35072780  0.15540600
0.34786389  0.15582847
0.34500626  0.15622975
0.34215396  0.15660980
0.33930602  0.15696856
0.33646153  0.15730600
0.33361958  0.15762207
0.33077929  0.15791673
0.32793982  0.15818997
0.32510036  0.15844175
0.32226009  0.15867206
0.31941827  0.15888088
0.31657416  0.15906820
0.31372706  0.15923401
0.31087629  0.15937831
0.30802121  0.15950110
0.30516121  0.15960239
0.30229573  0.15968219
0.29942421  0.15974052
0.29654616  0.15977739
0.29366109  0.15979283
0.29076857  0.15978686
0.28786819  0.15975951
0.28495959  0.15971082
0.28204244  0.15964083
0.27911643  0.15954957
0.27618131  0.15943709
0.27323687  0.15930344
0.27028290  0.15914867
0.26731926  0.15897283
0.26434584  0.15877598
0.26136257  0.15855818
0.25836941  0.15831950
0.25536635  0.15805999
0.25235343  0.15777973
0.24933073  0.15747879
0.24629836  0.15715725
0.24325646  0.15681517
0.24020522  0.15645263
0.23714486  0.15606972
0.23407563  0.15566652
0.23099782  0.15524310
0.22791176  0.15479956
0.22481782  0.15433598
0.22171639  0.15385245
0.21860790  0.15334906
0.21549282  0.15282590
0.21237164  0.15228306
0.20924489  0.15172063
0.20611313  0.15113870
0.20297696  0.15053738
0.19983699  0.14991674
0.19669389  0.14927690
0.19354834  0.14861793
0.19040103  0.14793994
0.18725272  0.14724302
0.18410416  0.14652726
0.18095614  0.14579276
0.17780947  0.14503961
0.17466500  0.14426789
