# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07614
# Species         : Neosuthora_davidiana
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 49.30 mm
# Secondary1       : 41.60 mm
# Kipps Distance   : 7.20 mm
# Hand-Wing Index  : 14.80
# Tail Length      : 39.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.185
# Pointedness Index: 0.1460
# Efficiency Index : 0.0216
# Wing Loading Proxy: 0.0299
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2032  at x/c = 0.2737
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009111
0.99866610  0.00021714
0.99781742  0.00037785
0.99684045  0.00057296
0.99573060  0.00080221
0.99448392  0.00106531
0.99309702  0.00136194
0.99156706  0.00169180
0.98989171  0.00205454
0.98806914  0.00244982
0.98609798  0.00287728
0.98397730  0.00333654
0.98170660  0.00382724
0.97928576  0.00434897
0.97671502  0.00490132
0.97399499  0.00548389
0.97112659  0.00609624
0.96811106  0.00673795
0.96494992  0.00740857
0.96164497  0.00810766
0.95819824  0.00883474
0.95461200  0.00958936
0.95088874  0.01037103
0.94703116  0.01117929
0.94304212  0.01201363
0.93892466  0.01287358
0.93468198  0.01375862
0.93031740  0.01466825
0.92583440  0.01560196
0.92123654  0.01655925
0.91652751  0.01753957
0.91171106  0.01854243
0.90679104  0.01956728
0.90177136  0.02061359
0.89665600  0.02168084
0.89144896  0.02276848
0.88615431  0.02387598
0.88077612  0.02500279
0.87531851  0.02614837
0.86978558  0.02731218
0.86418146  0.02849366
0.85851027  0.02969227
0.85277611  0.03090746
0.84698308  0.03213869
0.84113524  0.03338539
0.83523664  0.03464701
0.82929128  0.03592302
0.82330313  0.03721285
0.81727612  0.03851595
0.81121410  0.03983178
0.80512091  0.04115979
0.79900031  0.04249942
0.79285600  0.04385013
0.78669160  0.04521138
0.78051070  0.04658262
0.77431678  0.04796331
0.76811327  0.04935290
0.76190351  0.05075087
0.75569077  0.05215666
0.74947823  0.05356976
0.74326900  0.05498962
0.73706609  0.05641572
0.73087243  0.05784753
0.72469086  0.05928453
0.71852415  0.06072620
0.71237494  0.06217202
0.70624582  0.06362148
0.70013927  0.06507406
0.69405767  0.06652928
0.68800332  0.06798661
0.68197843  0.06944556
0.67598510  0.07090563
0.67002537  0.07236635
0.66410114  0.07382721
0.65821425  0.07528773
0.65236646  0.07674745
0.64655939  0.07820587
0.64079462  0.07966254
0.63507361  0.08111699
0.62939774  0.08256876
0.62376829  0.08401740
0.61818648  0.08546244
0.61265340  0.08690346
0.60717010  0.08834000
0.60173751  0.08977163
0.59635650  0.09119792
0.59102784  0.09261844
0.58575222  0.09403278
0.58053027  0.09544052
0.57536253  0.09684125
0.57024944  0.09823457
0.56519141  0.09962007
0.56018875  0.10099736
0.55524169  0.10236605
0.55035040  0.10372577
0.54551499  0.10507613
0.54073549  0.10641677
0.53601186  0.10774731
0.53134402  0.10906739
0.52673181  0.11037667
0.52217501  0.11167479
0.51767334  0.11296142
0.51322647  0.11423620
0.50883401  0.11549882
0.50449553  0.11674894
0.50021053  0.11798625
0.49597847  0.11921043
0.49179877  0.12042117
0.48767080  0.12161817
0.48359387  0.12280114
0.47956726  0.12396978
0.47559022  0.12512381
0.47166196  0.12626295
0.46778163  0.12738693
0.46394838  0.12849548
0.46016129  0.12958833
0.45641945  0.13066524
0.45272188  0.13172596
0.44906761  0.13277024
0.44545563  0.13379784
0.44188488  0.13480853
0.43835433  0.13580209
0.43486288  0.13677829
0.43140945  0.13773693
0.42799292  0.13867780
0.42461217  0.13960068
0.42126605  0.14050539
0.41795340  0.14139174
0.41467308  0.14225954
0.41142390  0.14310861
0.40820469  0.14393877
0.40501426  0.14474987
0.40185144  0.14554174
0.39871502  0.14631422
0.39560383  0.14706716
0.39251668  0.14780042
0.38945237  0.14851386
0.38640972  0.14920735
0.38338757  0.14988075
0.38038474  0.15053395
0.37740006  0.15116683
0.37443238  0.15177928
0.37148057  0.15237118
0.36854349  0.15294245
0.36562002  0.15349299
0.36270906  0.15402270
0.35980952  0.15453150
0.35692033  0.15501931
0.35404044  0.15548607
0.35116882  0.15593169
0.34830444  0.15635612
0.34544632  0.15675930
0.34259348  0.15714117
0.33974497  0.15750169
0.33689987  0.15784081
0.33405729  0.15815850
0.33121634  0.15845471
0.32837618  0.15872943
0.32553598  0.15898262
0.32269497  0.15921427
0.31985237  0.15942436
0.31700745  0.15961288
0.31415950  0.15977983
0.31130787  0.15992520
0.30845190  0.16004899
0.30559098  0.16015122
0.30272456  0.16023189
0.29985207  0.16029102
0.29697302  0.16032863
0.29408693  0.16034474
0.29119336  0.16033938
0.28829191  0.16031258
0.28538222  0.16026436
0.28246394  0.16019479
0.27953679  0.16010388
0.27660050  0.15999169
0.27365485  0.15985827
0.27069966  0.15970367
0.26773477  0.15952794
0.26476007  0.15933115
0.26177550  0.15911334
0.25878100  0.15887459
0.25577658  0.15861496
0.25276228  0.15833453
0.24973816  0.15803336
0.24670434  0.15771152
0.24366096  0.15736910
0.24060821  0.15700616
0.23754631  0.15662280
0.23447551  0.15621910
0.23139609  0.15579513
0.22830840  0.15535099
0.22521279  0.15488675
0.22210965  0.15440252
0.21899942  0.15389838
0.21588255  0.15337442
0.21275955  0.15283073
0.20963094  0.15226741
0.20649729  0.15168455
0.20335918  0.15108224
0.20021723  0.15046058
0.19707211  0.14981966
0.19392449  0.14915959
0.19077507  0.14848044
0.18762460  0.14778232
0.18447383  0.14706533
0.18132356  0.14632955
0.17817460  0.14557507
0.17502778  0.14480200
0.17188395  0.14401042
0.16874401  0.14320042
0.16560885  0.14237209
0.16247938  0.14152551
0.15935654  0.14066078
0.15624129  0.13977797
0.15313460  0.13887717
0.15003744  0.13795845
0.14695081  0.13702189
0.14387572  0.13606757
0.14081318  0.13509555
0.13776422  0.13410591
0.13472987  0.13309871
0.13171117  0.13207401
0.12870915  0.13103186
0.12572487  0.12997234
0.12275937  0.12889547
0.11981369  0.12780132
0.11688887  0.12668993
0.11398596  0.12556133
0.11110598  0.12441555
0.10824997  0.12325263
0.10541893  0.12207259
0.10261389  0.12087545
0.09983583  0.11966123
0.09708573  0.11842993
0.09436457  0.11718156
0.09167328  0.11591611
0.08901280  0.11463359
0.08638405  0.11333396
0.08378790  0.11201723
0.08122523  0.11068335
0.07869686  0.10933230
0.07620362  0.10796405
0.07374629  0.10657854
0.07132561  0.10517573
0.06894231  0.10375555
0.06659707  0.10231795
0.06429056  0.10086286
0.06202338  0.09939020
0.05979612  0.09789988
0.05760931  0.09639181
0.05546345  0.09486590
0.05335901  0.09332204
0.05129640  0.09176012
0.04927599  0.09018002
0.04729811  0.08858162
0.04536304  0.08696479
0.04347101  0.08532939
0.04162222  0.08367527
0.03981681  0.08200229
0.03805487  0.08031028
0.03633644  0.07859909
0.03466153  0.07686854
0.03303007  0.07511846
0.03144196  0.07334867
0.02989707  0.07155899
0.02839518  0.06974922
0.02693605  0.06791917
0.02551939  0.06606863
0.02414486  0.06419741
0.02281208  0.06230529
0.02152062  0.06039208
0.02027001  0.05845754
0.01905975  0.05650147
0.01788929  0.05452365
0.01675804  0.05252385
0.01566539  0.05050187
0.01461070  0.04845747
0.01359329  0.04639045
0.01261247  0.04430057
0.01166752  0.04218763
0.01075772  0.04005141
0.00988232  0.03789170
0.00904057  0.03570829
0.00823173  0.03350099
0.00745506  0.03126960
0.00670982  0.02901394
0.00599529  0.02673382
0.00531080  0.02442908
0.00465568  0.02209956
0.00402931  0.01974512
0.00343113  0.01736562
0.00286062  0.01496095
0.00231735  0.01253101
0.00180095  0.01007571
0.00131113  0.00759499
0.00084772  0.00508880
0.00041066  0.00255714
0.00000000  0.00000000
0.00041066  -0.00149597
0.00084772  -0.00291852
0.00131113  -0.00427148
0.00180095  -0.00555855
0.00231735  -0.00678323
0.00286062  -0.00794888
0.00343113  -0.00905870
