# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07634
# Species         : Suthora_verreauxi
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 48.70 mm
# Secondary1       : 41.20 mm
# Kipps Distance   : 7.40 mm
# Hand-Wing Index  : 15.40
# Tail Length      : 53.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.182
# Pointedness Index: 0.1520
# Efficiency Index : 0.0234
# Wing Loading Proxy: 0.0221
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2025  at x/c = 0.2733
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009107
0.99866608  0.00021698
0.99781735  0.00037748
0.99684027  0.00057230
0.99573027  0.00080118
0.99448335  0.00106383
0.99309614  0.00135993
0.99156577  0.00168917
0.98988991  0.00205121
0.98806672  0.00244572
0.98609483  0.00287232
0.98397330  0.00333065
0.98170162  0.00382033
0.97927966  0.00434096
0.97670767  0.00489214
0.97398626  0.00547346
0.97111633  0.00608448
0.96809914  0.00672478
0.96493620  0.00739392
0.96162929  0.00809144
0.95818046  0.00881689
0.95459199  0.00956979
0.95086635  0.01034968
0.94700625  0.01115607
0.94301456  0.01198848
0.93889431  0.01284642
0.93464870  0.01372938
0.93028107  0.01463686
0.92579488  0.01556836
0.92119372  0.01652335
0.91648125  0.01750132
0.91166126  0.01850174
0.90673758  0.01952410
0.90171413  0.02056786
0.89659489  0.02163248
0.89138388  0.02271743
0.88608516  0.02382218
0.88070281  0.02494618
0.87524095  0.02608889
0.86970369  0.02724976
0.86409516  0.02842825
0.85841949  0.02962381
0.85268078  0.03083590
0.84688314  0.03206395
0.84103063  0.03330744
0.83512731  0.03456580
0.82917718  0.03583848
0.82318422  0.03712494
0.81715235  0.03842462
0.81108545  0.03973698
0.80498735  0.04106147
0.79886181  0.04239754
0.79271254  0.04374465
0.78654317  0.04510225
0.78035728  0.04646980
0.77415838  0.04784676
0.76794987  0.04923258
0.76173513  0.05062674
0.75551740  0.05202869
0.74929989  0.05343791
0.74308570  0.05485386
0.73687785  0.05627602
0.73067928  0.05770386
0.72449282  0.05913686
0.71832124  0.06057450
0.71216721  0.06201626
0.70603330  0.06346164
0.69992199  0.06491013
0.69383568  0.06636122
0.68777666  0.06781440
0.68174715  0.06926919
0.67574926  0.07072509
0.66978500  0.07218160
0.66385631  0.07363825
0.65796502  0.07509456
0.65211288  0.07655004
0.64630154  0.07800422
0.64053255  0.07945664
0.63480739  0.08090683
0.62912743  0.08235433
0.62349397  0.08379870
0.61790821  0.08523948
0.61237127  0.08667622
0.60688417  0.08810849
0.60144786  0.08953585
0.59606320  0.09095787
0.59073096  0.09237414
0.58545186  0.09378423
0.58022650  0.09518772
0.57505542  0.09658421
0.56993908  0.09797330
0.56487788  0.09935458
0.55987212  0.10072767
0.55492205  0.10209218
0.55002783  0.10344773
0.54518958  0.10479393
0.54040731  0.10613043
0.53568100  0.10745686
0.53101056  0.10877285
0.52639583  0.11007806
0.52183658  0.11137214
0.51733256  0.11265474
0.51288341  0.11392553
0.50848876  0.11518418
0.50414816  0.11643036
0.49986113  0.11766376
0.49562711  0.11888406
0.49144553  0.12009096
0.48731575  0.12128415
0.48323710  0.12246334
0.47920884  0.12362824
0.47523023  0.12477857
0.47130047  0.12591404
0.46741872  0.12703440
0.46358411  0.12813936
0.45979574  0.12922867
0.45605269  0.13030208
0.45235398  0.13135933
0.44869864  0.13240019
0.44508565  0.13342442
0.44151397  0.13443179
0.43798254  0.13542207
0.43449029  0.13639504
0.43103612  0.13735049
0.42761890  0.13828822
0.42423752  0.13920802
0.42089084  0.14010970
0.41757769  0.14099306
0.41429692  0.14185793
0.41104735  0.14270412
0.40782780  0.14353146
0.40463710  0.14433978
0.40147404  0.14512893
0.39833745  0.14589875
0.39522613  0.14664908
0.39213890  0.14737979
0.38907456  0.14809073
0.38603193  0.14878178
0.38300984  0.14945280
0.38000711  0.15010368
0.37702259  0.15073429
0.37405510  0.15134453
0.37110353  0.15193428
0.36816672  0.15250346
0.36524356  0.15305196
0.36233296  0.15357970
0.35943381  0.15408659
0.35654505  0.15457255
0.35366562  0.15503751
0.35079449  0.15548140
0.34793064  0.15590415
0.34507308  0.15630572
0.34222084  0.15668604
0.33937296  0.15704506
0.33652852  0.15738275
0.33368663  0.15769906
0.33084639  0.15799396
0.32800698  0.15826742
0.32516756  0.15851942
0.32232735  0.15874994
0.31948558  0.15895895
0.31664151  0.15914646
0.31379445  0.15931244
0.31094372  0.15945692
0.30808868  0.15957987
0.30522873  0.15968132
0.30236328  0.15976126
0.29949180  0.15981973
0.29661378  0.15985673
0.29372875  0.15987228
0.29083626  0.15986642
0.28793591  0.15983918
0.28502734  0.15979058
0.28211021  0.15972068
0.27918423  0.15962949
0.27624914  0.15951709
0.27330471  0.15938350
0.27035076  0.15922878
0.26738714  0.15905299
0.26441373  0.15885619
0.26143047  0.15863842
0.25843731  0.15839977
0.25543425  0.15814028
0.25242133  0.15786004
0.24939863  0.15755911
0.24636624  0.15723757
0.24332433  0.15689548
0.24027307  0.15653294
0.23721268  0.15615001
0.23414342  0.15574679
0.23106558  0.15532335
0.22797948  0.15487977
0.22488549  0.15441616
0.22178401  0.15393259
0.21867546  0.15342915
0.21556031  0.15290593
0.21243905  0.15236303
0.20931221  0.15180054
0.20618037  0.15121855
0.20304409  0.15061716
0.19990402  0.14999645
0.19676081  0.14935653
0.19361512  0.14869748
0.19046768  0.14801940
0.18731922  0.14732239
0.18417050  0.14660654
0.18102231  0.14587195
0.17787546  0.14511869
0.17473080  0.14434688
