# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07635
# Species         : Sylvia_abyssinica
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 66.50 mm
# Secondary1       : 59.40 mm
# Kipps Distance   : 7.20 mm
# Hand-Wing Index  : 10.80
# Tail Length      : 59.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.120
# Pointedness Index: 0.1083
# Efficiency Index : 0.0117
# Wing Loading Proxy: 0.0187
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2082  at x/c = 0.2760
# Max f/c          : 0.0608  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009138
0.99866625  0.00021820
0.99781793  0.00038022
0.99684161  0.00057718
0.99573283  0.00080881
0.99448769  0.00107480
0.99310289  0.00137486
0.99157564  0.00170866
0.98990368  0.00207587
0.98808523  0.00247615
0.98611896  0.00290912
0.98400398  0.00337441
0.98173983  0.00387165
0.97932640  0.00440044
0.97676398  0.00496036
0.97405318  0.00555101
0.97119495  0.00617195
0.96819053  0.00682276
0.96504145  0.00750297
0.96174950  0.00821214
0.95831673  0.00894981
0.95474540  0.00971550
0.95103799  0.01050874
0.94719719  0.01132904
0.94322586  0.01217591
0.93912701  0.01304885
0.93490383  0.01394736
0.93055963  0.01487093
0.92609785  0.01581904
0.92152205  0.01679117
0.91683587  0.01778680
0.91204307  0.01880540
0.90714745  0.01984644
0.90215290  0.02090938
0.89706336  0.02199367
0.89188282  0.02309878
0.88661531  0.02422417
0.88126487  0.02536928
0.87583558  0.02653355
0.87033153  0.02771645
0.86475680  0.02891742
0.85911548  0.03013590
0.85341164  0.03137133
0.84764935  0.03262316
0.84183264  0.03389082
0.83596551  0.03517377
0.83005196  0.03647144
0.82409589  0.03778327
0.81810122  0.03910870
0.81207177  0.04044718
0.80601134  0.04179814
0.79992366  0.04316104
0.79381239  0.04453532
0.78768114  0.04592041
0.78153346  0.04731578
0.77537280  0.04872086
0.76920256  0.05013511
0.76302606  0.05155798
0.75684653  0.05298892
0.75066713  0.05442740
0.74449094  0.05587286
0.73832095  0.05732478
0.73216007  0.05878262
0.72601111  0.06024584
0.71987680  0.06171392
0.71375979  0.06318633
0.70766262  0.06466254
0.70158776  0.06614204
0.69553757  0.06762431
0.68951434  0.06910883
0.68352024  0.07059511
0.67755738  0.07208263
0.67162774  0.07357090
0.66573325  0.07505941
0.65987571  0.07654768
0.65405686  0.07803521
0.64827833  0.07952153
0.64254167  0.08100616
0.63684832  0.08248861
0.63119966  0.08396842
0.62559697  0.08544513
0.62004143  0.08691827
0.61453415  0.08838740
0.60907614  0.08985205
0.60366836  0.09131178
0.59831164  0.09276615
0.59300675  0.09421474
0.58775440  0.09565710
0.58255518  0.09709281
0.57740964  0.09852146
0.57231822  0.09994263
0.56728132  0.10135591
0.56229924  0.10276090
0.55737223  0.10415720
0.55250044  0.10554442
0.54768398  0.10692217
0.54292289  0.10829008
0.53821712  0.10964776
0.53356659  0.11099486
0.52897114  0.11233100
0.52443056  0.11365583
0.51994456  0.11496900
0.51551283  0.11627016
0.51113497  0.11755897
0.50681054  0.11883510
0.50253907  0.12009822
0.49832002  0.12134801
0.49415279  0.12258415
0.49003677  0.12380633
0.48597128  0.12501425
0.48195560  0.12620761
0.47798899  0.12738612
0.47407065  0.12854949
0.47019975  0.12969744
0.46637544  0.13082971
0.46259682  0.13194601
0.45886297  0.13304609
0.45517292  0.13412969
0.45152571  0.13519657
0.44792033  0.13624648
0.44435575  0.13727918
0.44083091  0.13829445
0.43734475  0.13929204
0.43389618  0.14027176
0.43048410  0.14123338
0.42710737  0.14217669
0.42376488  0.14310150
0.42045548  0.14400760
0.41717800  0.14489482
0.41393130  0.14576296
0.41071419  0.14661185
0.40752550  0.14744132
0.40436406  0.14825119
0.40122869  0.14904132
0.39811819  0.14981155
0.39503140  0.15056173
0.39196713  0.15129171
0.38892421  0.15200137
0.38590147  0.15269057
0.38289774  0.15335918
0.37991188  0.15400709
0.37694273  0.15463418
0.37398917  0.15524035
0.37105006  0.15582548
0.36812429  0.15638950
0.36521077  0.15693230
0.36230842  0.15745379
0.35941617  0.15795391
0.35653298  0.15843257
0.35365781  0.15888970
0.35078967  0.15932524
0.34792755  0.15973914
0.34507049  0.16013133
0.34221755  0.16050177
0.33936782  0.16085041
0.33652038  0.16117722
0.33367439  0.16148217
0.33082898  0.16176522
0.32798335  0.16202635
0.32513671  0.16226554
0.32228830  0.16248278
0.31943739  0.16267806
0.31658328  0.16285137
0.31372530  0.16300272
0.31086281  0.16313210
0.30799521  0.16323954
0.30512193  0.16332503
0.30224242  0.16338860
0.29935619  0.16343027
0.29646275  0.16345007
0.29356167  0.16344802
0.29065256  0.16342415
0.28773503  0.16337852
0.28480877  0.16331114
0.28187347  0.16322208
0.27892888  0.16311138
0.27597477  0.16297909
0.27301095  0.16282526
0.27003728  0.16264996
0.26705365  0.16245325
0.26405997  0.16223518
0.26105621  0.16199584
0.25804236  0.16173527
0.25501847  0.16145357
0.25198459  0.16115081
0.24894085  0.16082706
0.24588738  0.16048240
0.24282436  0.16011692
0.23975201  0.15973070
0.23667058  0.15932382
0.23358037  0.15889639
0.23048169  0.15844847
0.22737490  0.15798017
0.22426040  0.15749158
0.22113861  0.15698279
0.21801000  0.15645390
0.21487504  0.15590500
0.21173428  0.15533619
0.20858827  0.15474757
0.20543759  0.15413924
0.20228286  0.15351128
0.19912473  0.15286381
0.19596389  0.15219691
0.19280102  0.15151070
0.18963687  0.15080525
0.18647219  0.15008068
0.18330777  0.14933707
0.18014442  0.14857453
0.17698296  0.14779314
0.17382426  0.14699301
0.17066918  0.14617421
0.16751862  0.14533685
0.16437350  0.14448100
0.16123476  0.14360676
0.15810333  0.14271421
0.15498019  0.14180343
0.15186631  0.14087450
0.14876268  0.13992750
0.14567032  0.13896250
0.14259023  0.13797956
0.13952344  0.13697877
0.13647097  0.13596017
0.13343386  0.13492383
0.13041316  0.13386981
0.12740990  0.13279816
0.12442512  0.13170892
0.12145988  0.13060213
0.11851522  0.12947785
0.11559216  0.12833609
0.11269176  0.12717689
0.10981502  0.12600026
0.10696298  0.12480624
0.10413664  0.12359483
0.10133700  0.12236603
0.09856504  0.12111985
0.09582173  0.11985629
0.09310802  0.11857532
0.09042485  0.11727694
0.08777313  0.11596111
0.08515376  0.11462781
0.08256760  0.11327700
0.08001549  0.11190862
0.07749826  0.11052264
0.07501670  0.10911900
0.07257156  0.10769761
0.07016357  0.10625842
0.06779343  0.10480133
0.06546180  0.10332626
0.06316931  0.10183312
0.06091655  0.10032179
0.05870406  0.09879217
0.05653236  0.09724414
0.05440192  0.09567756
0.05231316  0.09409230
0.05026648  0.09248823
0.04826222  0.09086517
0.04630066  0.08922299
0.04438207  0.08756150
0.04250664  0.08588055
0.04067454  0.08417993
0.03888587  0.08245947
0.03714070  0.08071896
0.03543904  0.07895821
0.03378085  0.07717700
0.03216606  0.07537512
0.03059453  0.07355233
0.02906608  0.07170841
0.02758050  0.06984312
0.02613751  0.06795622
0.02473679  0.06604747
0.02337798  0.06411659
0.02206067  0.06216335
0.02078444  0.06018748
0.01954877  0.05818871
0.01835317  0.05616677
0.01719706  0.05412139
0.01607986  0.05205230
0.01500094  0.04995922
0.01395967  0.04784187
0.01295536  0.04569998
0.01198733  0.04353327
0.01105487  0.04134146
0.01015727  0.03912429
0.00929380  0.03688147
0.00846374  0.03461276
0.00766637  0.03231787
0.00690099  0.02999656
0.00616689  0.02764858
0.00546343  0.02527369
0.00478995  0.02287165
0.00414586  0.02044225
0.00353062  0.01798527
0.00294374  0.01550053
0.00238478  0.01298783
0.00185341  0.01044702
0.00134935  0.00787795
0.00087244  0.00528049
0.00042264  0.00265453
0.00000000  0.00000000
0.00042264  -0.00153279
0.00087244  -0.00299079
0.00134935  -0.00437791
0.00185341  -0.00569790
0.00238478  -0.00695435
0.00294374  -0.00815067
0.00353062  -0.00929014
0.00414586  -0.01037588
0.00478995  -0.01141087
0.00546343  -0.01239795
0.00616689  -0.01333983
0.00690099  -0.01423911
0.00766637  -0.01509824
0.00846374  -0.01591957
0.00929380  -0.01670534
0.01015727  -0.01745767
0.01105487  -0.01817860
0.01198733  -0.01887004
0.01295536  -0.01953383
0.01395967  -0.02017171
0.01500094  -0.02078531
0.01607986  -0.02137622
0.01719706  -0.02194590
0.01835317  -0.02249577
0.01954877  -0.02302715
0.02078444  -0.02354130
0.02206067  -0.02403942
0.02337798  -0.02452262
0.02473679  -0.02499195
0.02613751  -0.02544843
0.02758050  -0.02589297
0.02906608  -0.02632647
0.03059453  -0.02674976
0.03216606  -0.02716360
0.03378085  -0.02756873
0.03543904  -0.02796581
0.03714070  -0.02835549
0.03888587  -0.02873834
0.04067454  -0.02911492
0.04250664  -0.02948573
0.04438207  -0.02985124
0.04630066  -0.03021186
0.04826222  -0.03056801
0.05026648  -0.03092003
0.05231316  -0.03126825
0.05440192  -0.03161297
0.05653236  -0.03195446
0.05870406  -0.03229294
0.06091655  -0.03262863
0.06316931  -0.03296171
0.06546180  -0.03329234
0.06779343  -0.03362065
0.07016357  -0.03394676
0.07257156  -0.03427075
0.07501670  -0.03459268
0.07749826  -0.03491262
0.08001549  -0.03523059
0.08256760  -0.03554659
0.08515376  -0.03586063
0.08777313  -0.03617268
0.09042485  -0.03648270
0.09310802  -0.03679064
0.09582173  -0.03709644
0.09856504  -0.03740002
0.10133700  -0.03770127
0.10413664  -0.03800011
0.10696298  -0.03829641
0.10981502  -0.03859005
0.11269176  -0.03888089
0.11559216  -0.03916879
0.11851522  -0.03945360
0.12145988  -0.03973515
0.12442512  -0.04001328
0.12740990  -0.04028781
0.13041316  -0.04055855
0.13343386  -0.04082533
0.13647097  -0.04108795
0.13952344  -0.04134621
0.14259023  -0.04159991
0.14567032  -0.04184885
0.14876268  -0.04209281
0.15186631  -0.04233158
0.15498019  -0.04256495
0.15810333  -0.04279270
0.16123476  -0.04301461
0.16437350  -0.04323047
0.16751862  -0.04344006
0.17066918  -0.04364315
0.17382426  -0.04383952
0.17698296  -0.04402896
0.18014442  -0.04421124
0.18330777  -0.04438615
0.18647219  -0.04455347
0.18963687  -0.04471299
0.19280102  -0.04486448
0.19596389  -0.04500775
0.19912473  -0.04514259
0.20228286  -0.04526879
0.20543759  -0.04538615
0.20858827  -0.04549447
0.21173428  -0.04559357
0.21487504  -0.04568324
0.21801000  -0.04576332
0.22113861  -0.04583362
0.22426040  -0.04589396
0.22737490  -0.04594418
0.23048169  -0.04598411
0.23358037  -0.04601360
0.23667058  -0.04603250
0.23975201  -0.04604067
0.24282436  -0.04603795
0.24588738  -0.04602423
0.24894085  -0.04599939
0.25198459  -0.04596329
0.25501847  -0.04591584
0.25804236  -0.04585693
0.26105621  -0.04578647
0.26405997  -0.04570436
0.26705365  -0.04561055
0.27003728  -0.04550495
0.27301095  -0.04538750
0.27597477  -0.04525815
0.27892888  -0.04511685
0.28187347  -0.04496357
0.28480877  -0.04479829
0.28773503  -0.04462098
0.29065256  -0.04443164
0.29356167  -0.04423027
0.29646275  -0.04401687
0.29935619  -0.04379147
0.30224242  -0.04355409
0.30512193  -0.04330477
0.30799521  -0.04304356
0.31086281  -0.04277052
0.31372530  -0.04248570
0.31658328  -0.04218919
0.31943739  -0.04188107
0.32228830  -0.04156144
0.32513671  -0.04123040
0.32798335  -0.04088806
0.33082898  -0.04053454
0.33367439  -0.04016998
0.33652038  -0.03979452
0.33936782  -0.03940831
0.34221755  -0.03901151
0.34507049  -0.03860429
0.34792755  -0.03818682
0.35078967  -0.03775930
0.35365781  -0.03732191
0.35653298  -0.03687487
0.35941617  -0.03641838
0.36230842  -0.03595267
