# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07762
# Species         : Hylophylax_naevius
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 58.10 mm
# Secondary1       : 50.10 mm
# Kipps Distance   : 8.10 mm
# Hand-Wing Index  : 14.10
# Tail Length      : 39.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.160
# Pointedness Index: 0.1394
# Efficiency Index : 0.0197
# Wing Loading Proxy: 0.0291
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2041  at x/c = 0.2741
# Max f/c          : 0.0603  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009116
0.99866613  0.00021733
0.99781751  0.00037827
0.99684065  0.00057372
0.99573099  0.00080340
0.99448458  0.00106702
0.99309805  0.00136427
0.99156856  0.00169483
0.98989380  0.00205837
0.98807195  0.00245455
0.98610165  0.00288300
0.98398197  0.00334335
0.98171242  0.00383522
0.97929287  0.00435821
0.97672359  0.00491192
0.97400517  0.00549594
0.97113855  0.00610983
0.96812497  0.00675317
0.96496594  0.00742551
0.96166326  0.00812640
0.95821897  0.00885537
0.95463534  0.00961197
0.95091486  0.01039572
0.94706021  0.01120613
0.94307427  0.01204271
0.93896007  0.01290498
0.93472080  0.01379242
0.93035979  0.01470454
0.92588050  0.01564083
0.92128651  0.01660076
0.91658147  0.01758382
0.91176916  0.01858948
0.90685341  0.01961722
0.90183813  0.02066650
0.89672729  0.02173679
0.89152489  0.02282754
0.88623498  0.02393823
0.88086165  0.02506830
0.87540900  0.02621721
0.86988112  0.02738441
0.86428215  0.02856937
0.85861618  0.02977151
0.85288733  0.03099031
0.84709967  0.03222519
0.84125728  0.03347562
0.83536419  0.03474104
0.82942440  0.03602089
0.82344187  0.03731463
0.81742051  0.03862170
0.81136419  0.03994156
0.80527674  0.04127364
0.79916190  0.04261741
0.79302336  0.04397230
0.78686477  0.04533779
0.78068968  0.04671331
0.77450158  0.04809832
0.76830389  0.04949229
0.76209995  0.05089467
0.75589303  0.05230493
0.74968629  0.05372252
0.74348284  0.05514692
0.73728569  0.05657760
0.73109776  0.05801402
0.72492191  0.05945566
0.71876086  0.06090201
0.71261729  0.06235254
0.70649376  0.06380674
0.70039275  0.06526409
0.69431665  0.06672409
0.68826775  0.06818623
0.68224825  0.06965002
0.67626025  0.07111495
0.67030578  0.07258054
0.66438676  0.07404629
0.65850501  0.07551172
0.65266228  0.07697636
0.64686021  0.07843972
0.64110035  0.07990133
0.63538418  0.08136073
0.62971307  0.08281745
0.62408831  0.08427105
0.61851109  0.08572106
0.61298253  0.08716703
0.60750366  0.08860854
0.60207541  0.09004513
0.59669865  0.09147638
0.59137415  0.09290186
0.58610260  0.09432115
0.58088463  0.09573383
0.57572077  0.09713948
0.57061148  0.09853771
0.56555715  0.09992811
0.56055809  0.10131029
0.55561454  0.10268386
0.55072666  0.10404843
0.54589457  0.10540362
0.54111829  0.10674906
0.53639779  0.10808439
0.53173298  0.10940924
0.52712370  0.11072325
0.52256974  0.11202608
0.51807081  0.11331738
0.51362659  0.11459681
0.50923669  0.11586405
0.50490067  0.11711875
0.50061804  0.11836061
0.49638826  0.11958930
0.49221074  0.12080451
0.48808485  0.12200595
0.48400993  0.12319331
0.47998523  0.12436631
0.47601002  0.12552465
0.47208349  0.12666805
0.46820482  0.12779625
0.46437313  0.12890897
0.46058753  0.13000596
0.45684708  0.13108695
0.45315084  0.13215169
0.44949780  0.13319994
0.44588697  0.13423147
0.44231731  0.13524603
0.43878775  0.13624341
0.43529724  0.13722338
0.43184466  0.13818572
0.42842891  0.13913024
0.42504886  0.14005672
0.42170337  0.14096496
0.41839130  0.14185478
0.41511147  0.14272599
0.41186273  0.14357841
0.40864389  0.14441187
0.40545377  0.14522620
0.40229119  0.14602123
0.39915496  0.14679681
0.39604389  0.14755279
0.39295680  0.14828903
0.38989250  0.14900537
0.38684981  0.14970170
0.38382755  0.15037788
0.38082457  0.15103379
0.37783968  0.15166930
0.37487175  0.15228432
0.37191964  0.15287873
0.36898220  0.15345243
0.36605833  0.15400533
0.36314693  0.15453734
0.36024690  0.15504837
0.35735718  0.15553834
0.35447671  0.15600719
0.35160447  0.15645483
0.34873944  0.15688121
0.34588062  0.15728627
0.34302704  0.15766995
0.34017776  0.15803221
0.33733186  0.15837300
0.33448843  0.15869228
0.33164660  0.15899002
0.32880552  0.15926620
0.32596438  0.15952078
0.32312238  0.15975375
0.32027877  0.15996509
0.31743280  0.16015479
0.31458378  0.16032285
0.31173104  0.16046927
0.30887393  0.16059404
0.30601185  0.16069717
0.30314423  0.16077869
0.30027052  0.16083859
0.29739022  0.16087691
0.29450284  0.16089365
0.29160797  0.16088887
0.28870518  0.16086257
0.28579412  0.16081481
0.28287445  0.16074561
0.27994587  0.16065502
0.27700813  0.16054308
0.27406101  0.16040985
0.27110431  0.16025538
0.26813789  0.16007972
0.26516164  0.15988292
0.26217547  0.15966506
0.25917936  0.15942620
0.25617329  0.15916640
0.25315731  0.15888573
0.25013149  0.15858426
0.24709594  0.15826208
0.24405080  0.15791925
0.24099626  0.15755586
0.23793253  0.15717199
0.23485987  0.15676771
0.23177857  0.15634312
0.22868896  0.15589830
0.22559140  0.15543334
0.22248628  0.15494833
0.21937402  0.15444335
0.21625511  0.15391851
0.21313002  0.15337389
0.20999929  0.15280959
0.20686347  0.15222570
0.20372317  0.15162232
0.20057899  0.15099954
0.19743159  0.15035745
0.19428166  0.14969616
0.19112989  0.14901575
0.18797703  0.14831633
0.18482384  0.14759798
0.18167109  0.14686081
0.17851961  0.14610489
0.17537023  0.14533034
0.17222381  0.14453723
0.16908122  0.14372567
0.16594336  0.14289573
0.16281116  0.14204750
0.15968554  0.14118107
0.15656747  0.14029653
0.15345789  0.13939394
0.15035781  0.13847341
0.14726821  0.13753499
0.14419010  0.13657876
0.14112449  0.13560480
0.13807241  0.13461317
0.13503489  0.13360393
0.13201297  0.13257716
0.12900768  0.13153290
0.12602008  0.13047121
0.12305121  0.12939214
0.12010210  0.12829574
0.11717381  0.12718204
0.11426737  0.12605110
