# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07831
# Species         : Oneillornis_salvini
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 70.70 mm
# Secondary1       : 60.00 mm
# Kipps Distance   : 11.60 mm
# Hand-Wing Index  : 16.50
# Tail Length      : 45.10 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.178
# Pointedness Index: 0.1641
# Efficiency Index : 0.0271
# Wing Loading Proxy: 0.0261
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2005  at x/c = 0.2727
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.09e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009098
0.99866603  0.00021660
0.99781721  0.00037662
0.99683995  0.00057079
0.99572965  0.00079881
0.99448232  0.00106041
0.99309452  0.00135528
0.99156341  0.00168310
0.98988662  0.00204353
0.98806230  0.00243622
0.98608906  0.00286083
0.98396596  0.00331698
0.98169248  0.00380428
0.97926848  0.00432235
0.97669421  0.00487078
0.97397025  0.00544916
0.97109754  0.00605706
0.96807729  0.00669405
0.96491103  0.00735969
0.96160054  0.00805353
0.95814788  0.00877511
0.95455530  0.00952396
0.95082531  0.01029962
0.94696059  0.01110161
0.94296403  0.01192943
0.93883866  0.01278260
0.93458769  0.01366061
0.93021446  0.01456298
0.92572243  0.01548918
0.92111520  0.01643870
0.91639645  0.01741104
0.91156995  0.01840566
0.90663956  0.01942205
0.90160921  0.02045967
0.89648287  0.02151800
0.89126457  0.02259650
0.88595839  0.02369463
0.88056841  0.02481185
0.87509875  0.02594764
0.86955355  0.02710143
0.86393694  0.02827270
0.85825305  0.02946088
0.85250601  0.03066545
0.84669991  0.03188585
0.84083884  0.03312154
0.83492686  0.03437196
0.82896799  0.03563658
0.82296621  0.03691484
0.81692544  0.03820620
0.81084959  0.03951011
0.80474248  0.04082603
0.79860788  0.04215341
0.79244952  0.04349171
0.78627104  0.04484040
