# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08161
# Species         : Saltator_olivascens
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 98.20 mm
# Secondary1       : 86.20 mm
# Kipps Distance   : 14.60 mm
# Hand-Wing Index  : 14.50
# Tail Length      : 99.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.139
# Pointedness Index: 0.1487
# Efficiency Index : 0.0216
# Wing Loading Proxy: 0.0115
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2004  at x/c = 0.2738
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.62e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009103
0.99866611  0.00021681
0.99781746  0.00037709
0.99684053  0.00057161
0.99573077  0.00080009
0.99448420  0.00106223
0.99309746  0.00135773
0.99156770  0.00168627
0.98989261  0.00204750
0.98807034  0.00244108
0.98609955  0.00286665
0.98397930  0.00332383
0.98170909  0.00381224
0.97928880  0.00433148
0.97671869  0.00488115
0.97399935  0.00546083
0.97113171  0.00607009
0.96811702  0.00670849
0.96495679  0.00737560
0.96165281  0.00807096
0.95820712  0.00879411
0.95462200  0.00954458
0.95089994  0.01032190
0.94704361  0.01112558
0.94305590  0.01195514
0.93893983  0.01281008
0.93469861  0.01368990
0.93033557  0.01459409
0.92585416  0.01552215
0.92125796  0.01647356
0.91655063  0.01744781
0.91173596  0.01844436
0.90681777  0.01946269
0.90179998  0.02050228
0.89668655  0.02156258
0.89148150  0.02264306
0.88618888  0.02374319
0.88081278  0.02486242
0.87535729  0.02600021
0.86982652  0.02715602
0.86422461  0.02832930
0.85855565  0.02951951
0.85282377  0.03072609
0.84703304  0.03194850
0.84118754  0.03318619
0.83529130  0.03443862
0.82934832  0.03570522
0.82336258  0.03698546
0.81733799  0.03827879
0.81127841  0.03958466
0.80518768  0.04090253
0.79906954  0.04223184
0.79292770  0.04357206
0.78676579  0.04492264
0.78058738  0.04628304
0.77439595  0.04765272
0.76819493  0.04903115
0.76198766  0.05041779
0.75577740  0.05181211
0.74956734  0.05321357
0.74336058  0.05462166
0.73716013  0.05603585
0.73096892  0.05745560
0.72478980  0.05888042
0.71862550  0.06030977
0.71247870  0.06174315
0.70635196  0.06318005
0.70024777  0.06461996
0.69416851  0.06606239
0.68811648  0.06750682
0.68209388  0.06895278
0.67610283  0.07039977
0.67014532  0.07184730
0.66422330  0.07329489
0.65833860  0.07474207
0.65249294  0.07618836
0.64668799  0.07763329
0.64092530  0.07907640
0.63520633  0.08051723
0.62953246  0.08195532
0.62390499  0.08339023
0.61832510  0.08482150
0.61279392  0.08624870
0.60731246  0.08767140
0.60188169  0.08908916
0.59650244  0.09050155
0.59117551  0.09190816
0.58590157  0.09330857
0.58068127  0.09470238
0.57551511  0.09608917
0.57040359  0.09746855
0.56534706  0.09884013
0.56034586  0.10020351
0.55540021  0.10155832
0.55051029  0.10290418
0.54567620  0.10424071
0.54089798  0.10556755
0.53617558  0.10688433
0.53150893  0.10819071
0.52689785  0.10948634
0.52234213  0.11077087
0.51784150  0.11204396
0.51339562  0.11330528
0.50900410  0.11455451
0.50466652  0.11579132
0.50038237  0.11701540
0.49615111  0.11822644
0.49197216  0.11942414
0.48784489  0.12060819
0.48376861  0.12177832
0.47974262  0.12293423
0.47576614  0.12407564
0.47183839  0.12520229
0.46795853  0.12631389
0.46412569  0.12741019
0.46033898  0.12849094
0.45659746  0.12955588
0.45290017  0.13060476
0.44924613  0.13163735
0.44563433  0.13265342
0.44206373  0.13365274
0.43853327  0.13463508
0.43504187  0.13560023
0.43158845  0.13654799
0.42817188  0.13747814
0.42479104  0.13839050
0.42144478  0.13928486
0.41813197  0.14016104
