# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08702
# Species         : Anairetes_reguloides
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 52.40 mm
# Secondary1       : 44.30 mm
# Kipps Distance   : 8.10 mm
# Hand-Wing Index  : 15.40
# Tail Length      : 48.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.183
# Pointedness Index: 0.1546
# Efficiency Index : 0.0238
# Wing Loading Proxy: 0.0246
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2025  at x/c = 0.2733
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009107
0.99866608  0.00021698
0.99781735  0.00037748
0.99684027  0.00057230
0.99573027  0.00080118
0.99448335  0.00106383
0.99309614  0.00135993
0.99156577  0.00168917
0.98988991  0.00205121
0.98806672  0.00244572
0.98609483  0.00287232
0.98397330  0.00333065
0.98170162  0.00382033
0.97927966  0.00434096
0.97670767  0.00489214
0.97398626  0.00547346
0.97111633  0.00608448
0.96809914  0.00672478
0.96493620  0.00739392
0.96162929  0.00809144
0.95818046  0.00881689
0.95459199  0.00956979
0.95086635  0.01034968
0.94700625  0.01115607
0.94301456  0.01198848
0.93889431  0.01284642
0.93464870  0.01372938
0.93028107  0.01463686
0.92579488  0.01556836
0.92119372  0.01652335
0.91648125  0.01750132
0.91166126  0.01850174
0.90673758  0.01952410
0.90171413  0.02056786
0.89659489  0.02163248
0.89138388  0.02271743
0.88608516  0.02382218
0.88070281  0.02494618
0.87524095  0.02608889
0.86970369  0.02724976
0.86409516  0.02842825
0.85841948  0.02962381
0.85268078  0.03083590
0.84688313  0.03206395
0.84103063  0.03330744
0.83512730  0.03456580
0.82917718  0.03583848
0.82318421  0.03712494
0.81715234  0.03842462
0.81108545  0.03973698
0.80498734  0.04106147
0.79886180  0.04239754
0.79271253  0.04374465
0.78654316  0.04510225
0.78035727  0.04646980
0.77415836  0.04784676
0.76794986  0.04923258
0.76173511  0.05062674
0.75551738  0.05202869
0.74929987  0.05343791
0.74308567  0.05485386
0.73687782  0.05627602
0.73067924  0.05770386
0.72449278  0.05913686
0.71832120  0.06057450
0.71216716  0.06201626
0.70603324  0.06346164
0.69992192  0.06491013
0.69383560  0.06636122
0.68777658  0.06781440
0.68174706  0.06926919
0.67574916  0.07072509
0.66978489  0.07218160
0.66385619  0.07363825
0.65796490  0.07509456
0.65211274  0.07655004
0.64630138  0.07800422
0.64053238  0.07945664
0.63480720  0.08090683
0.62912723  0.08235433
0.62349375  0.08379870
0.61790797  0.08523947
0.61237101  0.08667622
0.60688388  0.08810848
0.60144755  0.08953585
0.59606286  0.09095787
0.59073060  0.09237414
0.58545147  0.09378422
0.58022608  0.09518772
0.57505496  0.09658421
0.56993859  0.09797329
0.56487735  0.09935458
0.55987155  0.10072767
0.55492144  0.10209217
0.55002718  0.10344772
0.54518887  0.10479393
0.54040656  0.10613042
0.53568020  0.10745685
0.53100970  0.10877284
0.52639491  0.11007805
0.52183560  0.11137212
0.51733151  0.11265472
0.51288229  0.11392551
0.50848757  0.11518416
0.50414689  0.11643034
0.49985978  0.11766374
0.49562568  0.11888404
0.49144401  0.12009094
0.48731414  0.12128413
0.48323538  0.12246332
0.47920703  0.12362821
0.47522831  0.12477854
0.47129844  0.12591401
0.46741657  0.12703436
0.46358184  0.12813932
0.45979335  0.12922863
0.45605016  0.13030203
0.45235132  0.13135928
0.44869583  0.13240014
0.44508269  0.13342436
0.44151086  0.13443172
0.43797927  0.13542200
0.43448685  0.13639497
0.43103250  0.13735042
0.42761511  0.13828814
0.42423354  0.13920793
0.42088666  0.14010960
0.41757332  0.14099296
0.41429234  0.14185781
0.41104255  0.14270399
0.40782279  0.14353133
0.40463185  0.14433964
0.40146856  0.14512878
0.39833173  0.14589859
0.39522016  0.14664891
0.39213266  0.14737961
0.38906806  0.14809054
0.38602516  0.14878157
0.38300278  0.14945258
0.37999977  0.15010344
0.37701494  0.15073403
0.37404715  0.15134425
0.37109526  0.15193399
0.36815813  0.15250315
0.36523464  0.15305163
0.36232370  0.15357935
0.35942420  0.15408622
0.35653508  0.15457215
0.35365529  0.15503709
0.35078379  0.15548095
0.34791956  0.15590368
0.34506161  0.15630522
0.34220897  0.15668551
0.33936068  0.15704450
0.33651583  0.15738215
0.33367351  0.15769843
0.33083285  0.15799329
0.32799300  0.15826672
0.32515313  0.15851867
0.32231247  0.15874914
0.31947023  0.15895811
0.31662570  0.15914557
0.31377816  0.15931151
0.31092695  0.15945593
0.30807142  0.15957883
0.30521097  0.15968022
0.30234502  0.15976011
0.29947304  0.15981851
0.29659450  0.15985544
0.29370894  0.15987093
0.29081593  0.15986500
0.28791505  0.15983769
0.28500594  0.15978902
0.28208827  0.15971903
0.27916174  0.15962776
0.27622610  0.15951527
0.27328112  0.15938159
0.27032661  0.15922678
0.26736243  0.15905089
0.26438846  0.15885398
0.26140463  0.15863612
0.25841090  0.15839735
0.25540728  0.15813775
0.25239379  0.15785739
0.24937052  0.15755634
0.24633756  0.15723467
0.24329508  0.15689245
0.24024325  0.15652977
0.23718229  0.15614670
0.23411247  0.15574332
0.23103406  0.15531973
0.22794741  0.15487600
0.22485286  0.15441222
0.22175083  0.15392848
0.21864173  0.15342486
0.21552604  0.15290147
0.21240424  0.15235838
0.20927688  0.15179570
0.20614451  0.15121351
0.20300773  0.15061190
0.19986715  0.14999098
0.19672343  0.14935084
0.19357726  0.14869157
0.19042934  0.14801326
0.18728042  0.14731601
0.18413124  0.14659991
0.18098261  0.14586506
0.17783534  0.14511154
0.17469026  0.14433946
