# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08821
# Species         : Hymenops_perspicillatus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 88.40 mm
# Secondary1       : 75.80 mm
# Kipps Distance   : 12.30 mm
# Hand-Wing Index  : 14.00
# Tail Length      : 63.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.166
# Pointedness Index: 0.1391
# Efficiency Index : 0.0195
# Wing Loading Proxy: 0.0183
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2020  at x/c = 0.2741
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.41e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009109
0.99866613  0.00021706
0.99781753  0.00037766
0.99684068  0.00057262
0.99573105  0.00080167
0.99448467  0.00106452
0.99309819  0.00136085
0.99156877  0.00169034
0.98989410  0.00205267
0.98807236  0.00244747
0.98610217  0.00287439
0.98398264  0.00333306
0.98171325  0.00382308
0.97929389  0.00434408
0.97672481  0.00489563
0.97400662  0.00547732
0.97114026  0.00608873
0.96812695  0.00672942
0.96496823  0.00739894
0.96166588  0.00809685
0.95822193  0.00882268
0.95463868  0.00957596
0.95091859  0.01035623
0.94706437  0.01116298
0.94307886  0.01199575
0.93896513  0.01285402
0.93472635  0.01373731
0.93036585  0.01464510
0.92588709  0.01557689
0.92129364  0.01653215
0.91658918  0.01751038
0.91177746  0.01851104
0.90686232  0.01953360
0.90184767  0.02057754
0.89673747  0.02164232
0.89153573  0.02272741
0.88624651  0.02383225
0.88087387  0.02495633
0.87542192  0.02609908
0.86989477  0.02725996
0.86429653  0.02843843
0.85863131  0.02963393
0.85290321  0.03084593
0.84711633  0.03207386
0.84127472  0.03331719
0.83538241  0.03457535
0.82944342  0.03584780
0.82346168  0.03713399
0.81744113  0.03843336
0.81138563  0.03974538
0.80529900  0.04106948
0.79918498  0.04240513
0.79304727  0.04375177
0.78688951  0.04510887
0.78071525  0.04647588
0.77452798  0.04785225
0.76833112  0.04923746
0.76212801  0.05063095
0.75592191  0.05203221
0.74971600  0.05344068
0.74351338  0.05485585
0.73731705  0.05627719
0.73112995  0.05770417
0.72495490  0.05913627
0.71879467  0.06057298
0.71265190  0.06201377
0.70652917  0.06345814
0.70042895  0.06490558
0.69435363  0.06635558
0.68830551  0.06780764
0.68228677  0.06926127
0.67629954  0.07071598
0.67034582  0.07217127
0.66442753  0.07362665
0.65854651  0.07508166
0.65270450  0.07653582
0.64690314  0.07798864
0.64114399  0.07943967
0.63542851  0.08088844
0.62975807  0.08233450
0.62413397  0.08377739
0.61855741  0.08521666
0.61302949  0.08665188
0.60755124  0.08808259
0.60212360  0.08950838
0.59674744  0.09092880
0.59142353  0.09234344
0.58615256  0.09375188
0.58093515  0.09515371
0.57577184  0.09654852
0.57066308  0.09793591
0.56560927  0.09931547
0.56061071  0.10068683
0.55566764  0.10204959
0.55078025  0.10340338
0.54594861  0.10474781
0.54117278  0.10608253
0.53645272  0.10740716
0.53178832  0.10872136
0.52717945  0.11002476
0.52262587  0.11131703
0.51812732  0.11259781
0.51368346  0.11386678
0.50929391  0.11512361
0.50495822  0.11636798
0.50067591  0.11759956
0.49644643  0.11881805
0.49226920  0.12002314
0.48814359  0.12121452
0.48406892  0.12239192
0.48004448  0.12355503
0.47606950  0.12470358
0.47214319  0.12583728
0.46826472  0.12695588
0.46443323  0.12805910
0.46064780  0.12914668
0.45690753  0.13021838
0.45321143  0.13127395
0.44955854  0.13231314
0.44594784  0.13333571
0.44237829  0.13434145
0.43884884  0.13533013
0.43535841  0.13630153
0.43190591  0.13725543
0.42849022  0.13819164
0.42511023  0.13910995
0.42176478  0.14001017
0.41845274  0.14089210
0.41517293  0.14175558
0.41192419  0.14260041
0.40870535  0.14342643
0.40551521  0.14423348
0.40235261  0.14502139
0.39921634  0.14579001
0.39610523  0.14653919
0.39301808  0.14726880
0.38995371  0.14797868
0.38691094  0.14866871
0.38388860  0.14933877
0.38088552  0.14998873
0.37790053  0.15061848
0.37493249  0.15122791
0.37198024  0.15181691
0.36904268  0.15238540
