# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09029
# Species         : Pogonotriccus_ophthalmicus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 59.60 mm
# Secondary1       : 49.00 mm
# Kipps Distance   : 9.70 mm
# Hand-Wing Index  : 16.50
# Tail Length      : 56.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.216
# Pointedness Index: 0.1628
# Efficiency Index : 0.0269
# Wing Loading Proxy: 0.0215
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2011  at x/c = 0.2727
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009100
0.99866603  0.00021667
0.99781721  0.00037679
0.99683995  0.00057108
0.99572965  0.00079927
0.99448232  0.00106108
0.99309452  0.00135619
0.99156341  0.00168429
0.98988662  0.00204504
0.98806230  0.00243810
0.98608906  0.00286312
0.98396596  0.00331971
0.98169248  0.00380750
0.97926848  0.00432610
0.97669421  0.00487510
0.97397025  0.00545409
0.97109754  0.00606265
0.96807729  0.00670034
0.96491103  0.00736672
0.96160054  0.00806134
0.95814788  0.00878375
0.95455530  0.00953348
0.95082531  0.01031006
0.94696059  0.01111300
0.94296403  0.01194183
0.93883866  0.01279604
0.93458769  0.01367515
0.93021446  0.01457865
0.92572243  0.01550603
0.92111520  0.01645678
0.91639645  0.01743039
0.91156995  0.01842632
0.90663956  0.01944406
0.90160921  0.02048308
0.89648287  0.02154285
0.89126457  0.02262283
0.88595839  0.02372249
0.88056841  0.02484128
0.87509875  0.02597867
0.86955355  0.02713412
0.86393694  0.02830708
0.85825305  0.02949700
0.85250601  0.03070334
0.84669991  0.03192555
0.84083885  0.03316309
0.83492687  0.03441541
0.82896799  0.03568195
0.82296621  0.03696218
0.81692545  0.03825554
0.81084959  0.03956150
0.80474248  0.04087949
0.79860789  0.04220898
0.79244953  0.04354943
0.78627104  0.04490030
0.78007602  0.04626103
0.77386797  0.04763110
0.76765031  0.04900997
0.76142642  0.05039710
0.75519957  0.05179196
0.74897294  0.05319403
0.74274966  0.05460276
0.73653276  0.05601765
0.73032517  0.05743816
0.72412975  0.05886377
0.71794926  0.06029398
0.71178637  0.06172827
0.70564367  0.06316613
0.69952364  0.06460705
0.69342869  0.06605053
0.68736112  0.06749607
0.68132314  0.06894319
0.67531686  0.07039138
0.66934433  0.07184016
0.66340746  0.07328905
0.65750810  0.07473757
0.65164800  0.07618524
0.64582880  0.07763161
0.64005208  0.07907619
0.63431931  0.08051853
0.62863187  0.08195818
0.62299105  0.08339468
0.61739806  0.08482759
0.61185402  0.08625646
0.60635996  0.08768087
0.60091683  0.08910037
0.59552548  0.09051454
0.59018671  0.09192295
0.58490120  0.09332521
0.57966958  0.09472088
0.57449239  0.09610957
0.56937009  0.09749087
0.56430307  0.09886440
0.55929165  0.10022975
0.55433606  0.10158655
0.54943647  0.10293442
0.54459299  0.10427298
0.53980566  0.10560187
0.53507443  0.10692073
0.53039922  0.10822919
0.52577987  0.10952690
0.52121615  0.11081353
0.51670780  0.11208873
0.51225448  0.11335217
0.50785581  0.11460352
0.50351133  0.11584246
0.49922056  0.11706867
0.49498296  0.11828184
0.49079794  0.11948167
0.48666486  0.12066785
0.48258304  0.12184010
0.47855176  0.12299812
0.47457027  0.12414164
0.47063776  0.12527037
0.46675339  0.12638405
0.46291631  0.12748242
0.45912560  0.12856521
0.45538032  0.12963218
0.45167953  0.13068307
0.44802222  0.13171765
0.44440739  0.13273568
0.44083399  0.13373693
0.43730097  0.13472118
0.43380724  0.13568821
0.43035170  0.13663782
0.42693323  0.13756978
0.42355072  0.13848391
0.42020300  0.13938001
0.41688893  0.14025789
0.41360734  0.14111737
0.41035706  0.14195826
0.40713690  0.14278041
0.40394568  0.14358364
0.40078221  0.14436779
0.39764530  0.14513272
0.39453375  0.14587826
0.39144637  0.14660428
0.38838198  0.14731064
0.38533938  0.14799721
0.38231741  0.14866385
0.37931488  0.14931046
0.37633063  0.14993690
0.37336351  0.15054309
0.37041236  0.15112889
0.36747606  0.15169423
0.36455349  0.15223900
0.36164353  0.15276312
0.35874510  0.15326649
0.35585713  0.15374905
0.35297855  0.15421072
0.35010834  0.15465143
0.34724547  0.15507111
0.34438894  0.15546971
0.34153780  0.15584718
0.33869107  0.15620347
0.33584785  0.15653852
0.33300721  0.15685231
0.33016830  0.15714481
0.32733026  0.15741597
0.32449227  0.15766578
0.32165353  0.15789421
0.31881328  0.15810125
0.31597079  0.15828690
0.31312535  0.15845113
0.31027629  0.15859396
0.30742297  0.15871537
0.30456478  0.15881539
0.30170114  0.15889401
0.29883151  0.15895126
0.29595538  0.15898714
0.29307228  0.15900169
0.29018178  0.15899493
0.28728346  0.15896688
0.28437695  0.15891759
0.28146194  0.15884708
0.27853811  0.15875540
0.27560521  0.15864260
0.27266303  0.15850871
0.26971136  0.15835379
0.26675006  0.15817790
0.26377903  0.15798109
0.26079818  0.15776341
0.25780748  0.15752494
0.25480692  0.15726573
0.25179655  0.15698585
0.24877644  0.15668538
0.24574670  0.15636438
0.24270747  0.15602293
0.23965894  0.15566111
0.23660134  0.15527900
0.23353491  0.15487667
0.23045995  0.15445420
0.22737679  0.15401170
0.22428578  0.15354922
0.22118734  0.15306688
0.21808188  0.15256475
0.21496987  0.15204292
0.21185182  0.15150148
0.20872824  0.15094053
0.20559971  0.15036016
0.20246682  0.14976046
0.19933018  0.14914152
0.19619046  0.14850343
0.19304834  0.14784630
0.18990452  0.14717021
0.18675975  0.14647525
0.18361478  0.14576152
0.18047041  0.14502912
0.17732746  0.14427813
0.17418675  0.14350865
0.17104916  0.14272076
0.16791555  0.14191455
0.16478683  0.14109012
0.16166393  0.14024754
0.15854777  0.13938691
0.15543932  0.13850830
0.15233954  0.13761180
0.14924941  0.13669749
0.14616994  0.13576544
0.14310213  0.13481573
0.14004700  0.13384842
0.13700556  0.13286359
0.13397887  0.13186131
0.13096795  0.13084163
0.12797384  0.12980462
0.12499760  0.12875032
0.12204026  0.12767880
0.11910287  0.12659011
0.11618648  0.12548428
0.11329212  0.12436136
0.11042083  0.12322138
0.10757363  0.12206438
0.10475154  0.12089038
0.10195557  0.11969941
0.09918671  0.11849148
0.09644594  0.11726661
0.09373423  0.11602480
0.09105252  0.11476606
0.08840174  0.11349038
0.08578281  0.11219776
0.08319660  0.11088819
0.08064398  0.10956163
0.07812579  0.10821807
0.07564284  0.10685748
0.07319589  0.10547981
0.07078571  0.10408503
0.06841302  0.10267308
0.06607848  0.10124391
0.06378277  0.09979745
0.06152648  0.09833364
0.05931019  0.09685240
0.05713443  0.09535366
0.05499971  0.09383732
0.05290648  0.09230328
0.05085514  0.09075146
0.04884606  0.08918173
0.04687956  0.08759400
0.04495593  0.08598813
0.04307538  0.08436401
0.04123810  0.08272151
0.03944423  0.08106048
0.03769385  0.07938078
0.03598699  0.07768227
0.03432365  0.07596478
0.03270376  0.07422817
0.03112722  0.07247227
0.02959386  0.07069691
0.02810348  0.06890191
0.02665582  0.06708709
0.02525058  0.06525229
0.02388741  0.06339731
0.02256593  0.06152196
0.02128568  0.05962605
0.02004620  0.05770940
0.01884697  0.05577180
0.01768743  0.05381306
0.01656698  0.05183298
0.01548500  0.04983137
0.01444084  0.04780804
0.01343380  0.04576278
0.01246320  0.04369540
0.01152829  0.04160571
0.01062834  0.03949353
0.00976260  0.03735867
0.00893031  0.03520096
0.00813070  0.03302022
0.00736304  0.03081629
0.00662656  0.02858902
0.00592056  0.02633825
0.00524432  0.02406385
0.00459720  0.02176569
0.00397854  0.01944366
0.00338779  0.01709767
0.00282442  0.01472762
0.00228798  0.01233346
0.00177810  0.00991514
0.00129448  0.00747263
0.00083696  0.00500591
0.00040545  0.00251502
0.00000000  0.00000000
0.00040545  -0.00147985
0.00083696  -0.00288690
0.00129448  -0.00422497
0.00177810  -0.00549769
0.00228798  -0.00670855
0.00282442  -0.00786088
0.00338779  -0.00895786
0.00397854  -0.01000253
0.00459720  -0.01099778
0.00524432  -0.01194637
0.00592056  -0.01285095
0.00662656  -0.01371403
0.00736304  -0.01453800
0.00813070  -0.01532514
0.00893031  -0.01607764
0.00976260  -0.01679755
0.01062834  -0.01748685
0.01152829  -0.01814741
0.01246320  -0.01878100
0.01343380  -0.01938931
0.01444084  -0.01997395
0.01548500  -0.02053643
0.01656698  -0.02107821
0.01768743  -0.02160063
0.01884697  -0.02210500
0.02004620  -0.02259254
0.02128568  -0.02306441
0.02256593  -0.02352168
0.02388741  -0.02396541
0.02525058  -0.02439654
0.02665582  -0.02481599
0.02810348  -0.02522463
0.02959386  -0.02562326
0.03112722  -0.02601262
0.03270376  -0.02639343
0.03432365  -0.02676635
0.03598699  -0.02713199
0.03769385  -0.02749093
0.03944423  -0.02784369
0.04123810  -0.02819077
0.04307538  -0.02853263
0.04495593  -0.02886968
0.04687956  -0.02920231
0.04884606  -0.02953086
0.05085514  -0.02985567
0.05290648  -0.03017701
0.05499971  -0.03049516
0.05713443  -0.03081033
0.05931019  -0.03112275
0.06152648  -0.03143259
0.06378277  -0.03174000
0.06607848  -0.03204513
0.06841302  -0.03234807
0.07078571  -0.03264893
0.07319589  -0.03294777
0.07564284  -0.03324465
0.07812579  -0.03353959
0.08064398  -0.03383262
0.08319660  -0.03412372
0.08578281  -0.03441289
0.08840174  -0.03470009
0.09105252  -0.03498528
0.09373423  -0.03526839
0.09644594  -0.03554935
0.09918671  -0.03582808
0.10195557  -0.03610449
0.10475154  -0.03637846
0.10757363  -0.03664988
0.11042083  -0.03691862
0.11329212  -0.03718454
0.11618648  -0.03744751
0.11910287  -0.03770737
0.12204026  -0.03796397
0.12499760  -0.03821713
0.12797384  -0.03846669
0.13096795  -0.03871247
0.13397887  -0.03895429
0.13700556  -0.03919196
