# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09072
# Species         : Sirystes_albocinereus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 99.80 mm
# Secondary1       : 82.70 mm
# Kipps Distance   : 18.00 mm
# Hand-Wing Index  : 17.80
# Tail Length      : 83.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.207
# Pointedness Index: 0.1804
# Efficiency Index : 0.0321
# Wing Loading Proxy: 0.0145
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1962  at x/c = 0.2719
# Max f/c          : 0.0596  at x/c = 0.3467
# Est. Reynolds    : 1.65e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009080
0.99866599  0.00021587
0.99781705  0.00037498
0.99683957  0.00056785
0.99572893  0.00079422
0.99448109  0.00105379
0.99309262  0.00134625
0.99156062  0.00167128
0.98988272  0.00202855
0.98805707  0.00241770
0.98608224  0.00283839
0.98395729  0.00329023
0.98168168  0.00377284
0.97925527  0.00428583
0.97667830  0.00482880
0.97395134  0.00540134
0.97107532  0.00600301
0.96805146  0.00663338
0.96488128  0.00729202
0.96156657  0.00797847
0.95810937  0.00869229
0.95451195  0.00943299
0.95077680  0.01020011
0.94690663  0.01099318
0.94290431  0.01181171
0.93877290  0.01265520
0.93451559  0.01352317
0.93013573  0.01441510
0.92563681  0.01533051
0.92102241  0.01626886
0.91629623  0.01722966
0.91146205  0.01821238
0.90652373  0.01921651
0.90148521  0.02024150
0.89635048  0.02128685
0.89112357  0.02235201
0.88580856  0.02343646
0.88040956  0.02453966
0.87493070  0.02566107
0.86937612  0.02680016
0.86374996  0.02795639
0.85805636  0.02912921
0.85229946  0.03031809
0.84648337  0.03152248
0.84061219  0.03274185
0.83468997  0.03397564
0.82872077  0.03522333
0.82270855  0.03648436
0.81665728  0.03775820
0.81057084  0.03904430
0.80445308  0.04034213
0.79830778  0.04165115
0.79213868  0.04297083
0.78594942  0.04430062
0.77974360  0.04564000
0.77352473  0.04698844
0.76729626  0.04834540
0.76106155  0.04971035
0.75482390  0.05108279
0.74858650  0.05246217
0.74235247  0.05384798
0.73612486  0.05523971
0.72990661  0.05663684
0.72370058  0.05803887
0.71750955  0.05944527
0.71133619  0.06085556
0.70518309  0.06226923
0.69905275  0.06368578
0.69294758  0.06510471
0.68686988  0.06652555
0.68082187  0.06794780
0.67480568  0.06937098
0.66882334  0.07079462
0.66287679  0.07221824
0.65696787  0.07364137
0.65109833  0.07506355
0.64526983  0.07648431
0.63948395  0.07790321
0.63374215  0.07931979
0.62804583  0.08073360
0.62239628  0.08214420
0.61679472  0.08355116
0.61124225  0.08495404
0.60573992  0.08635242
0.60028868  0.08774587
0.59488939  0.08913398
0.58954283  0.09051633
0.58424970  0.09189252
0.57901063  0.09326215
0.57382616  0.09462482
0.56869675  0.09598014
0.56362278  0.09732772
0.55860458  0.09866718
0.55364239  0.09999815
0.54873638  0.10132027
0.54388665  0.10263315
0.53909323  0.10393646
0.53435609  0.10522982
0.52967514  0.10651290
0.52505022  0.10778536
0.52048111  0.10904686
0.51596753  0.11029706
0.51150915  0.11153564
0.50710558  0.11276229
0.50275638  0.11397669
0.49846105  0.11517853
0.49421905  0.11636750
0.49002980  0.11754332
0.48589264  0.11870570
0.48180691  0.11985434
0.47777187  0.12098897
0.47378678  0.12210931
0.46985081  0.12321509
0.46596315  0.12430607
0.46212291  0.12538197
0.45832919  0.12644254
0.45458105  0.12748755
0.45087754  0.12851675
0.44721765  0.12952991
0.44360037  0.13052680
0.44002465  0.13150720
0.43648944  0.13247089
0.43299365  0.13341766
0.42953618  0.13434731
0.42611591  0.13525964
0.42273170  0.13615445
0.41938242  0.13703156
0.41606689  0.13789078
0.41278395  0.13873193
0.40953243  0.13955485
0.40631114  0.14035937
0.40311889  0.14114533
0.39995449  0.14191257
0.39681675  0.14266094
0.39370446  0.14339031
0.39061644  0.14410052
0.38755150  0.14479146
0.38450844  0.14546298
0.38148608  0.14611498
0.37848325  0.14674733
0.37549878  0.14735991
0.37253152  0.14795263
0.36958030  0.14852538
0.36664401  0.14907807
0.36372151  0.14961061
0.36081169  0.15012290
0.35791347  0.15061487
0.35502577  0.15108645
0.35214753  0.15153756
0.34927771  0.15196813
0.34641529  0.15237811
0.34355927  0.15276744
0.34070869  0.15313607
0.33786258  0.15348395
0.33502003  0.15381105
0.33218011  0.15411731
0.32934197  0.15440272
0.32650474  0.15466723
0.32366761  0.15491084
0.32082978  0.15513352
0.31799049  0.15533525
0.31514899  0.15551603
0.31230459  0.15567585
0.30945662  0.15581470
0.30660442  0.15593260
0.30374739  0.15602954
0.30088496  0.15610553
0.29801658  0.15616060
0.29514174  0.15619476
0.29225998  0.15620802
0.28937084  0.15620042
0.28647394  0.15617199
0.28356889  0.15612275
0.28065537  0.15605274
0.27773308  0.15596201
0.27480177  0.15585059
0.27186121  0.15571854
0.26891121  0.15556589
0.26595163  0.15539271
0.26298236  0.15519904
0.26000332  0.15498495
0.25701448  0.15475050
0.25401584  0.15449574
0.25100743  0.15422074
0.24798934  0.15392558
0.24496167  0.15361032
0.24192457  0.15327503
0.23887822  0.15291979
0.23582286  0.15254467
0.23275874  0.15214976
0.22968615  0.15173513
0.22660543  0.15130086
0.22351693  0.15084704
0.22042106  0.15037375
0.21731824  0.14988108
0.21420896  0.14936912
0.21109370  0.14883794
0.20797300  0.14828764
0.20484743  0.14771831
0.20171758  0.14713004
0.19858407  0.14652292
0.19544757  0.14589704
0.19230876  0.14525248
0.18916834  0.14458934
0.18602707  0.14390772
0.18288570  0.14320769
0.17974504  0.14248935
0.17660589  0.14175278
0.17346910  0.14099808
0.17033552  0.14022533
0.16720605  0.13943462
0.16408158  0.13862603
0.16096304  0.13779964
0.15785137  0.13695554
0.15474752  0.13609381
0.15165247  0.13521452
0.14856720  0.13431775
0.14549272  0.13340357
0.14243002  0.13247205
0.13938013  0.13152327
0.13634408  0.13055729
0.13332290  0.12957416
0.13031763  0.12857396
0.12732932  0.12755673
0.12435901  0.12652254
0.12140775  0.12547143
0.11847658  0.12440344
0.11556655  0.12331862
0.11267870  0.12221700
0.10981406  0.12109863
0.10697366  0.11996352
0.10415852  0.11881171
0.10136964  0.11764321
0.09860802  0.11645805
0.09587464  0.11525622
0.09317046  0.11403775
0.09049643  0.11280262
0.08785348  0.11155083
0.08524251  0.11028237
0.08266442  0.10899723
0.08012005  0.10769539
0.07761025  0.10637682
0.07513582  0.10504148
0.07269753  0.10368933
0.07029615  0.10232034
0.06793237  0.10093445
0.06560689  0.09953160
0.06332034  0.09811173
0.06107334  0.09667478
0.05886646  0.09522065
0.05670022  0.09374928
0.05457512  0.09226058
0.05249160  0.09075444
0.05045008  0.08923077
0.04845091  0.08768947
0.04649441  0.08613041
0.04458084  0.08455348
0.04271044  0.08295855
0.04088337  0.08134550
0.03909976  0.07971418
0.03735969  0.07806445
0.03566319  0.07639616
0.03401025  0.07470916
0.03240078  0.07300328
0.03083468  0.07127837
0.02931176  0.06953426
0.02783183  0.06777077
0.02639461  0.06598771
0.02499980  0.06418492
0.02364702  0.06236221
0.02233589  0.06051938
0.02106595  0.05865625
0.01983672  0.05677263
0.01864766  0.05486830
0.01749821  0.05294309
0.01638776  0.05099679
0.01531568  0.04902920
0.01428130  0.04704012
0.01328393  0.04502937
0.01232284  0.04299673
0.01139731  0.04094202
0.01050657  0.03886505
0.00964987  0.03676563
0.00882644  0.03464359
0.00803549  0.03249873
0.00727628  0.03033090
0.00654805  0.02813993
0.00585006  0.02592568
0.00518161  0.02368798
0.00454201  0.02142672
0.00393063  0.01914177
0.00334688  0.01683303
0.00279024  0.01450040
0.00226025  0.01214380
0.00175652  0.00976318
0.00127876  0.00735850
0.00082679  0.00492973
0.00040052  0.00247689
0.00000000  0.00000000
0.00040052  -0.00146360
0.00082679  -0.00285428
0.00127876  -0.00417585
0.00175652  -0.00543195
0.00226025  -0.00662606
0.00279024  -0.00776150
0.00334688  -0.00884145
0.00393063  -0.00986893
0.00454201  -0.01084685
0.00518161  -0.01177796
0.00585006  -0.01266489
0.00654805  -0.01351017
0.00727628  -0.01431617
0.00803549  -0.01508519
0.00882644  -0.01581939
0.00964987  -0.01652085
0.01050657  -0.01719152
0.01139731  -0.01783329
0.01232284  -0.01844792
0.01328393  -0.01903711
0.01428130  -0.01960247
0.01531568  -0.02014550
0.01638776  -0.02066767
0.01749821  -0.02117032
0.01864766  -0.02165477
0.01983672  -0.02212222
0.02106595  -0.02257385
0.02233589  -0.02301074
0.02364702  -0.02343393
0.02499980  -0.02384439
0.02639461  -0.02424303
0.02783183  -0.02463072
0.02931176  -0.02500826
0.03083468  -0.02537642
0.03240078  -0.02573590
0.03401025  -0.02608738
0.03566319  -0.02643146
0.03735969  -0.02676873
0.03909976  -0.02709973
0.04088337  -0.02742495
0.04271044  -0.02774486
0.04458084  -0.02805988
0.04649441  -0.02837039
0.04845091  -0.02867677
0.05045008  -0.02897934
0.05249160  -0.02927839
0.05457512  -0.02957419
0.05670022  -0.02986698
0.05886646  -0.03015697
0.06107334  -0.03044436
0.06332034  -0.03072930
0.06560689  -0.03101195
0.06793237  -0.03129241
0.07029615  -0.03157079
0.07269753  -0.03184717
0.07513582  -0.03212160
0.07761025  -0.03239413
0.08012005  -0.03266477
0.08266442  -0.03293354
0.08524251  -0.03320044
0.08785348  -0.03346542
0.09049643  -0.03372846
0.09317046  -0.03398951
0.09587464  -0.03424851
0.09860802  -0.03450536
0.10136964  -0.03476000
0.10415852  -0.03501232
0.10697366  -0.03526222
0.10981406  -0.03550957
0.11267870  -0.03575425
0.11556655  -0.03599613
0.11847658  -0.03623507
0.12140775  -0.03647090
0.12435901  -0.03670349
0.12732932  -0.03693266
0.13031763  -0.03715825
0.13332290  -0.03738008
0.13634408  -0.03759798
0.13938013  -0.03781176
0.14243002  -0.03802125
0.14549272  -0.03822624
0.14856720  -0.03842655
0.15165247  -0.03862199
0.15474752  -0.03881235
0.15785137  -0.03899744
0.16096304  -0.03917706
0.16408158  -0.03935101
0.16720605  -0.03951908
0.17033552  -0.03968108
0.17346910  -0.03983681
0.17660589  -0.03998606
0.17974504  -0.04012863
0.18288570  -0.04026434
0.18602707  -0.04039298
0.18916834  -0.04051435
0.19230876  -0.04062826
0.19544757  -0.04073454
0.19858407  -0.04083297
0.20171758  -0.04092339
0.20484743  -0.04100562
0.20797300  -0.04107947
0.21109370  -0.04114477
0.21420896  -0.04120136
0.21731824  -0.04124906
0.22042106  -0.04128773
0.22351693  -0.04131720
0.22660543  -0.04133732
0.22968615  -0.04134796
0.23275874  -0.04134898
0.23582286  -0.04134023
0.23887822  -0.04132160
0.24192457  -0.04129297
0.24496167  -0.04125422
0.24798934  -0.04120524
0.25100743  -0.04114594
0.25401584  -0.04107621
0.25701448  -0.04099599
0.26000332  -0.04090518
0.26298236  -0.04080372
0.26595163  -0.04069154
0.26891121  -0.04056859
0.27186121  -0.04043482
0.27480177  -0.04029019
0.27773308  -0.04013467
0.28065537  -0.03996823
0.28356889  -0.03979087
