# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09664
# Species         : Tricholaema_leucomelas
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 79.00 mm
# Secondary1       : 66.20 mm
# Kipps Distance   : 12.80 mm
# Hand-Wing Index  : 16.20
# Tail Length      : 44.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.193
# Pointedness Index: 0.1620
# Efficiency Index : 0.0262
# Wing Loading Proxy: 0.0271
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1999  at x/c = 0.2728
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.28e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009096
0.99866605  0.00021655
0.99781725  0.00037650
0.99684004  0.00057057
0.99572982  0.00079846
0.99448260  0.00105990
0.99309496  0.00135458
0.99156405  0.00168217
0.98988752  0.00204234
0.98806350  0.00243474
0.98609063  0.00285902
0.98396797  0.00331480
0.98169497  0.00380169
0.97927153  0.00431932
0.97669788  0.00486726
0.97397462  0.00544511
0.97110266  0.00605244
0.96808325  0.00668882
0.96491789  0.00735380
0.96160838  0.00804694
0.95815676  0.00876778
0.95456531  0.00951585
0.95083650  0.01029068
0.94697305  0.01109178
0.94297781  0.01191868
0.93885384  0.01277088
0.93460433  0.01364788
0.93023262  0.01454917
0.92574219  0.01547426
0.92113662  0.01642263
0.91641958  0.01739375
0.91159485  0.01838711
0.90666630  0.01940219
0.90163782  0.02043846
0.89651342  0.02149538
0.89129711  0.02257242
0.88599296  0.02366905
0.88060506  0.02478472
0.87513753  0.02591890
0.86959450  0.02707105
0.86398009  0.02824061
0.85829844  0.02942705
0.85255367  0.03062983
0.84674988  0.03184838
0.84089115  0.03308218
0.83498153  0.03433066
0.82902504  0.03559330
0.82302566  0.03686953
0.81698732  0.03815881
0.81091391  0.03946060
0.80480926  0.04077435
0.79867713  0.04209952
0.79252125  0.04343557
0.78634525  0.04478195
0.78015272  0.04613814
0.77394716  0.04750358
0.76773200  0.04887775
0.76151060  0.05026011
0.75528623  0.05165013
0.74906209  0.05304729
0.74284129  0.05445105
0.73662685  0.05586090
0.73042171  0.05727631
0.72422873  0.05869677
0.71805067  0.06012176
0.71189019  0.06155077
0.70574988  0.06298329
0.69963223  0.06441883
0.69353963  0.06585688
0.68747438  0.06729694
0.68143870  0.06873853
0.67543471  0.07018114
0.66946442  0.07162431
0.66352978  0.07306754
0.65763261  0.07451037
0.65177466  0.07595231
0.64595760  0.07739291
0.64018298  0.07883169
0.63445227  0.08026821
0.62876685  0.08170201
0.62312802  0.08313263
0.61753699  0.08455964
