# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02495
# Species         : Polyplectron_napoleonis
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 178.80 mm
# Secondary1       : 142.30 mm
# Kipps Distance   : 33.00 mm
# Hand-Wing Index  : 18.70
# Tail Length      : 165.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.257
# Pointedness Index: 0.1846
# Efficiency Index : 0.0345
# Wing Loading Proxy: 0.0076
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1901  at x/c = 0.2714
# Max f/c          : 0.0593  at x/c = 0.3467
# Est. Reynolds    : 3.53e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009057
0.99866595  0.00021495
0.99781694  0.00037291
0.99683931  0.00056416
0.99572843  0.00078844
0.99448024  0.00104544
0.99309129  0.00133485
0.99155869  0.00165634
0.98988003  0.00200958
0.98805345  0.00239422
0.98607752  0.00280990
0.98395129  0.00325623
0.98167421  0.00373284
0.97924613  0.00423933
0.97666728  0.00477529
0.97393825  0.00534030
0.97105994  0.00593395
0.96803358  0.00655579
0.96486069  0.00720539
0.96154305  0.00788229
0.95808271  0.00858604
0.95448193  0.00931616
0.95074322  0.01007220
0.94686928  0.01085367
0.94286297  0.01166009
0.93872737  0.01249096
0.93446567  0.01334580
0.93008123  0.01422410
0.92557754  0.01512536
0.92095818  0.01604908
0.91622685  0.01699473
0.91138735  0.01796181
0.90644354  0.01894980
0.90139937  0.01995817
0.89625882  0.02098640
0.89102595  0.02203396
0.88570484  0.02310033
0.88029960  0.02418497
0.87481436  0.02528736
0.86925328  0.02640695
0.86362051  0.02754322
0.85792019  0.02869563
0.85215647  0.02986365
0.84633346  0.03104674
0.84045528  0.03224436
0.83452598  0.03345598
0.82854962  0.03468106
0.82253019  0.03591908
0.81647164  0.03716949
0.81037787  0.03843177
0.80425274  0.03970538
0.79810005  0.04098979
0.79192351  0.04228448
0.78572679  0.04358891
0.77951350  0.04490257
0.77328715  0.04622493
0.76705120  0.04755547
0.76080901  0.04889368
0.75456389  0.05023903
0.74831904  0.05159102
0.74207758  0.05294913
0.73584257  0.05431286
0.72961695  0.05568171
0.72340360  0.05705518
0.71720528  0.05843276
0.71102468  0.05981396
0.70486440  0.06119830
0.69872694  0.06258529
0.69261471  0.06397444
0.68653003  0.06536529
0.68047510  0.06675734
0.67445208  0.06815013
0.66846298  0.06954320
0.66250975  0.07093609
0.65659425  0.07232833
0.65071822  0.07371947
0.64488332  0.07510907
0.63909114  0.07649667
0.63334315  0.07788185
0.62764073  0.07926416
0.62198519  0.08064318
0.61637774  0.08201848
0.61081951  0.08338964
0.60531152  0.08475624
0.59985474  0.08611788
0.59445002  0.08747415
0.58909816  0.08882465
0.58379985  0.09016898
0.57855572  0.09150676
0.57336630  0.09283760
0.56823207  0.09416112
0.56315341  0.09547695
0.55813065  0.09678471
0.55316402  0.09808406
0.54825369  0.09937462
0.54339977  0.10065604
0.53860229  0.10192799
0.53386122  0.10319011
0.52917647  0.10444207
0.52454787  0.10568355
0.51997521  0.10691421
0.51545822  0.10813374
0.51099655  0.10934182
0.50658981  0.11053815
0.50223757  0.11172242
0.49793933  0.11289433
0.49369455  0.11405360
0.48950263  0.11519994
0.48536294  0.11633306
0.48127479  0.11745270
0.47723746  0.11855859
0.47325019  0.11965045
0.46931218  0.12072804
0.46542258  0.12179111
0.46158053  0.12283939
0.45778511  0.12387266
0.45403539  0.12489068
0.45033041  0.12589322
0.44666916  0.12688005
0.44305064  0.12785096
0.43947379  0.12880574
0.43593756  0.12974416
0.43244085  0.13066605
0.42898257  0.13157119
0.42556160  0.13245939
0.42217679  0.13333048
0.41882700  0.13418427
0.41551107  0.13502058
0.41222783  0.13583925
0.40897610  0.13664012
0.40575470  0.13742302
0.40256243  0.13818780
0.39939810  0.13893431
0.39626052  0.13966242
0.39314849  0.14037198
0.39006081  0.14106287
0.38699629  0.14173495
0.38395375  0.14238811
0.38093198  0.14302222
0.37792983  0.14363719
0.37494612  0.14423289
0.37197968  0.14480924
0.36902938  0.14536613
0.36609406  0.14590347
0.36317262  0.14642119
0.36026394  0.14691919
0.35736692  0.14739740
0.35448049  0.14785575
0.35160358  0.14829417
0.34873517  0.14871261
0.34587422  0.14911100
0.34301974  0.14948929
0.34017076  0.14984744
0.33732631  0.15018540
0.33448548  0.15050313
0.33164734  0.15080060
0.32881104  0.15107778
0.32597571  0.15133464
0.32314053  0.15157117
0.32030470  0.15178734
0.31746747  0.15198315
0.31462809  0.15215858
0.31178585  0.15231363
0.30894009  0.15244830
0.30609016  0.15256260
0.30323545  0.15265653
0.30037538  0.15273010
0.29750941  0.15278333
0.29463704  0.15281624
0.29175778  0.15282885
0.28887119  0.15282118
0.28597688  0.15279327
0.28307447  0.15274515
0.28016363  0.15267684
0.27724407  0.15258841
0.27431553  0.15247988
0.27137777  0.15235129
0.26843063  0.15220271
0.26547394  0.15203418
0.26250760  0.15184575
0.25953153  0.15163749
0.25654570  0.15140944
0.25355011  0.15116168
0.25054479  0.15089426
0.24752982  0.15060725
0.24450531  0.15030073
0.24147141  0.14997476
0.23842831  0.14962941
0.23537623  0.14926476
0.23231542  0.14888089
0.22924618  0.14847786
0.22616884  0.14805577
0.22308376  0.14761469
0.21999135  0.14715470
0.21689203  0.14667589
0.21378627  0.14617834
0.21067458  0.14566214
0.20755748  0.14512736
0.20443554  0.14457411
0.20130936  0.14400245
0.19817955  0.14341248
0.19504679  0.14280429
0.19191174  0.14217796
0.18877514  0.14153358
0.18563770  0.14087124
0.18250021  0.14019102
0.17936345  0.13949300
0.17622824  0.13877728
0.17309542  0.13804394
0.16996585  0.13729305
0.16684042  0.13652470
0.16372002  0.13573898
0.16060558  0.13493595
0.15749804  0.13411570
0.15439836  0.13327830
0.15130751  0.13242382
0.14822647  0.13155234
0.14515624  0.13066393
0.14209783  0.12975864
0.13905226  0.12883655
0.13602055  0.12789771
0.13300375  0.12694218
0.13000289  0.12597002
0.12701901  0.12498128
0.12405316  0.12397600
0.12110638  0.12295423
0.11817972  0.12191602
0.11527423  0.12086138
0.11239094  0.11979036
0.10953089  0.11870299
0.10669510  0.11759929
0.10388459  0.11647927
0.10110036  0.11534295
0.09834342  0.11419034
0.09561473  0.11302145
0.09291526  0.11183626
0.09024596  0.11063478
0.08760775  0.10941699
0.08500154  0.10818288
0.08242822  0.10693241
0.07988864  0.10566557
0.07738364  0.10438231
0.07491402  0.10308259
0.07248055  0.10176637
0.07008399  0.10043359
0.06772505  0.09908419
0.06540440  0.09771810
0.06312269  0.09633525
0.06088053  0.09493557
0.05867848  0.09351895
0.05651708  0.09208531
0.05439681  0.09063455
0.05231812  0.08916656
0.05028142  0.08768123
0.04828705  0.08617844
0.04633534  0.08465805
0.04442656  0.08311994
0.04256092  0.08156396
0.04073859  0.07998997
0.03895971  0.07839782
0.03722434  0.07678733
0.03553252  0.07515835
0.03388422  0.07351071
0.03227937  0.07184422
0.03071784  0.07015871
0.02919948  0.06845397
0.02772406  0.06672982
0.02629131  0.06498605
0.02490092  0.06322246
0.02355252  0.06143884
0.02224572  0.05963497
0.02098006  0.05781064
0.01975505  0.05596562
0.01857016  0.05409968
0.01742482  0.05221261
0.01631842  0.05030416
0.01525031  0.04837412
0.01421985  0.04642223
0.01322631  0.04444828
0.01226899  0.04245202
0.01134714  0.04043323
0.01046001  0.03839166
0.00960684  0.03632710
0.00878684  0.03423930
0.00799925  0.03212806
0.00724330  0.02999315
0.00651823  0.02783435
0.00582332  0.02565146
0.00515783  0.02344428
0.00452110  0.02121262
0.00391249  0.01895629
0.00333140  0.01667512
0.00277732  0.01436896
0.00224976  0.01203766
0.00174836  0.00968108
0.00127282  0.00729912
0.00082295  0.00489166
0.00039866  0.00245864
0.00000000  0.00000000
0.00039866  -0.00145779
0.00082295  -0.00284153
0.00127282  -0.00415505
0.00174836  -0.00540203
0.00224976  -0.00658598
0.00277732  -0.00771026
0.00333140  -0.00877808
0.00391249  -0.00979250
0.00452110  -0.01075645
0.00515783  -0.01167271
0.00582332  -0.01254395
0.00651823  -0.01337272
0.00724330  -0.01416143
0.00799925  -0.01491239
0.00878684  -0.01562780
0.00960684  -0.01630976
0.01046001  -0.01696025
0.01134714  -0.01758117
0.01226899  -0.01817433
0.01322631  -0.01874144
0.01421985  -0.01928412
0.01525031  -0.01980392
0.01631842  -0.02030231
0.01742482  -0.02078067
0.01857016  -0.02124032
0.01975505  -0.02168250
0.02098006  -0.02210840
0.02224572  -0.02251913
0.02355252  -0.02291574
0.02490092  -0.02329922
0.02629131  -0.02367051
0.02772406  -0.02403048
0.02919948  -0.02437997
0.03071784  -0.02471975
0.03227937  -0.02505055
0.03388422  -0.02537306
0.03553252  -0.02568790
0.03722434  -0.02599568
0.03895971  -0.02629696
0.04073859  -0.02659223
0.04256092  -0.02688200
0.04442656  -0.02716668
0.04633534  -0.02744670
0.04828705  -0.02772242
0.05028142  -0.02799420
0.05231812  -0.02826233
0.05439681  -0.02852710
0.05651708  -0.02878878
0.05867848  -0.02904758
0.06088053  -0.02930372
0.06312269  -0.02955737
0.06540440  -0.02980868
0.06772505  -0.03005779
0.07008399  -0.03030482
0.07248055  -0.03054986
0.07491402  -0.03079298
0.07738364  -0.03103423
0.07988864  -0.03127366
0.08242822  -0.03151128
0.08500154  -0.03174710
0.08760775  -0.03198111
0.09024596  -0.03221329
0.09291526  -0.03244360
0.09561473  -0.03267199
0.09834342  -0.03289839
0.10110036  -0.03312274
0.10388459  -0.03334494
0.10669510  -0.03356491
0.10953089  -0.03378253
0.11239094  -0.03399771
0.11527423  -0.03421030
0.11817972  -0.03442019
0.12110638  -0.03462723
0.12405316  -0.03483129
0.12701901  -0.03503221
0.13000289  -0.03522984
0.13300375  -0.03542401
0.13602055  -0.03561456
0.13905226  -0.03580132
0.14209783  -0.03598411
0.14515624  -0.03616277
0.14822647  -0.03633710
0.15130751  -0.03650692
0.15439836  -0.03667205
0.15749804  -0.03683230
0.16060558  -0.03698748
0.16372002  -0.03713740
0.16684042  -0.03728187
0.16996585  -0.03742070
0.17309542  -0.03755370
0.17622824  -0.03768068
0.17936345  -0.03780144
0.18250021  -0.03791581
0.18563770  -0.03802358
0.18877514  -0.03812459
0.19191174  -0.03821863
0.19504679  -0.03830554
0.19817955  -0.03838513
0.20130936  -0.03845723
0.20443554  -0.03852166
0.20755748  -0.03857826
0.21067458  -0.03862686
