# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02556
# Species         : Tragopan_temminckii
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 236.80 mm
# Secondary1       : 192.30 mm
# Kipps Distance   : 45.20 mm
# Hand-Wing Index  : 19.10
# Tail Length      : 192.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.231
# Pointedness Index: 0.1909
# Efficiency Index : 0.0365
# Wing Loading Proxy: 0.0064
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1871  at x/c = 0.2711
# Max f/c          : 0.0591  at x/c = 0.3467
# Est. Reynolds    : 5.13e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009046
0.99866594  0.00021451
0.99781689  0.00037192
0.99683919  0.00056240
0.99572820  0.00078567
0.99447986  0.00104143
0.99309071  0.00132938
0.99155783  0.00164918
0.98987883  0.00200049
0.98805184  0.00238296
0.98607542  0.00279624
0.98394862  0.00323993
0.98167089  0.00371366
0.97924206  0.00421702
0.97666238  0.00474962
0.97393243  0.00531103
0.97105310  0.00590082
0.96802563  0.00651857
0.96485154  0.00716382
0.96153260  0.00783614
0.95807086  0.00853505
0.95446859  0.00926010
0.95072830  0.01001081
0.94685267  0.01078671
0.94284460  0.01158731
0.93870713  0.01241212
0.93444349  0.01326065
0.93005701  0.01413241
0.92555119  0.01502687
0.92092962  0.01594355
0.91619601  0.01688193
0.91135415  0.01784149
0.90640790  0.01882172
0.90136121  0.01982210
0.89621808  0.02084210
0.89098256  0.02188120
0.88565874  0.02293887
0.88025072  0.02401459
0.87476266  0.02510783
0.86919869  0.02621805
0.86356297  0.02734472
0.85785967  0.02848732
0.85209291  0.02964530
0.84626683  0.03081814
0.84038553  0.03200530
0.83445309  0.03320625
0.82847355  0.03442046
0.82245091  0.03564741
0.81638912  0.03688655
0.81029210  0.03813736
0.80416369  0.03939931
0.79800770  0.04067188
0.79182786  0.04195454
0.78562783  0.04324677
0.77941121  0.04454805
0.77318153  0.04585786
0.76694225  0.04717568
0.76069674  0.04850101
0.75444829  0.04983332
0.74820012  0.05117212
0.74195536  0.05251690
0.73571705  0.05386715
0.72948815  0.05522238
0.72327153  0.05658210
0.71706997  0.05794580
0.71088615  0.05931300
0.70472267  0.06068322
0.69858203  0.06205597
0.69246665  0.06343078
0.68637885  0.06480717
0.68032084  0.06618468
0.67429476  0.06756284
0.66830264  0.06894118
0.66234643  0.07031926
0.65642798  0.07169662
0.65054904  0.07307281
0.64471128  0.07444740
0.63891627  0.07581993
0.63316550  0.07718998
0.62746034  0.07855711
0.62180211  0.07992091
0.61619202  0.08128096
0.61063118  0.08263683
0.60512065  0.08398812
0.59966136  0.08533443
0.59425419  0.08667536
0.58889992  0.08801051
0.58359926  0.08933949
0.57835282  0.09066191
0.57316115  0.09197741
0.56802472  0.09328561
0.56294392  0.09458613
0.55791905  0.09587862
0.55295038  0.09716271
0.54803805  0.09843807
0.54318219  0.09970433
0.53838282  0.10096116
0.53363992  0.10220822
0.52895338  0.10344518
0.52432305  0.10467172
0.51974871  0.10588752
0.51523008  0.10709226
0.51076683  0.10828563
0.50635857  0.10946734
0.50200485  0.11063708
0.49770518  0.11179457
0.49345901  0.11293951
0.48926576  0.11407164
0.48512478  0.11519066
0.48103539  0.11629631
0.47699688  0.11738834
0.47300846  0.11846647
0.46906935  0.11953046
0.46517869  0.12058006
0.46133563  0.12161503
0.45753924  0.12263513
0.45378860  0.12364013
0.45008273  0.12462981
0.44642064  0.12560394
0.44280132  0.12656232
0.43922370  0.12750473
0.43568674  0.12843097
0.43218935  0.12934084
0.42873041  0.13023416
0.42530882  0.13111072
0.42192342  0.13197036
0.41857309  0.13281290
0.41525664  0.13363815
0.41197291  0.13444597
0.40872073  0.13523619
0.40549891  0.13600865
0.40230624  0.13676321
0.39914155  0.13749972
0.39600363  0.13821804
0.39289129  0.13891804
0.38980333  0.13959959
0.38673855  0.14026256
0.38369576  0.14090685
0.38067378  0.14153232
0.37767144  0.14213888
0.37468756  0.14272643
0.37172097  0.14329486
0.36877054  0.14384408
0.36583512  0.14437400
0.36291359  0.14488454
0.36000483  0.14537562
0.35710776  0.14584716
0.35422129  0.14629911
0.35134436  0.14673138
0.34847594  0.14714393
0.34561500  0.14753670
0.34276055  0.14790963
0.33991160  0.14826269
0.33706721  0.14859582
0.33422643  0.14890900
0.33138838  0.14920218
0.32855216  0.14947535
0.32571693  0.14972847
0.32288187  0.14996153
0.32004617  0.15017451
0.31720907  0.15036740
0.31436984  0.15054020
0.31152776  0.15069289
0.30868217  0.15082548
0.30583242  0.15093797
0.30297789  0.15103038
0.30011803  0.15110271
0.29725227  0.15115497
0.29438011  0.15118720
0.29150108  0.15119940
0.28861474  0.15119161
0.28572068  0.15116386
0.28281854  0.15111617
0.27990798  0.15104859
0.27698870  0.15096115
0.27406046  0.15085390
0.27112302  0.15072688
0.26817619  0.15058013
0.26521984  0.15041372
0.26225386  0.15022768
0.25927815  0.15002209
0.25629270  0.14979699
0.25329750  0.14955245
0.25029259  0.14928853
0.24727805  0.14900530
0.24425399  0.14870282
0.24122055  0.14838117
0.23817792  0.14804041
0.23512634  0.14768061
0.23206605  0.14730187
0.22899734  0.14690424
0.22592056  0.14648780
0.22283607  0.14605265
0.21974426  0.14559885
0.21664556  0.14512649
0.21354046  0.14463565
0.21042945  0.14412641
0.20731305  0.14359886
0.20419185  0.14305308
0.20106642  0.14248915
0.19793741  0.14190717
0.19480547  0.14130721
0.19167127  0.14068936
0.18853555  0.14005371
0.18539904  0.13940033
0.18226250  0.13872933
0.17912672  0.13804076
0.17599254  0.13733473
0.17286078  0.13661131
0.16973231  0.13587058
0.16660802  0.13511263
0.16348880  0.13433752
0.16037559  0.13354534
0.15726931  0.13273616
0.15417094  0.13191006
0.15108144  0.13106709
0.14800179  0.13020735
0.14493300  0.12933088
0.14187608  0.12843775
0.13883205  0.12752803
0.13580193  0.12660177
0.13278676  0.12565903
0.12978759  0.12469985
0.12680544  0.12372430
0.12384138  0.12273240
0.12089644  0.12172422
0.11797167  0.12069977
0.11506813  0.11965910
0.11218683  0.11860223
0.10932883  0.11752919
0.10649514  0.11644000
0.10368679  0.11533467
0.10090478  0.11421322
0.09815009  0.11307565
0.09542372  0.11192197
0.09272663  0.11075216
0.09005976  0.10956622
0.08742403  0.10836413
0.08482036  0.10714587
0.08224963  0.10591142
0.07971269  0.10466074
0.07721039  0.10339379
0.07474351  0.10211052
0.07231284  0.10081090
0.06991913  0.09949485
0.06756308  0.09816231
0.06524538  0.09681322
0.06296666  0.09544749
0.06072753  0.09406504
0.05852857  0.09266578
0.05637029  0.09124961
0.05425319  0.08981643
0.05217770  0.08836613
0.05014424  0.08689858
0.04815316  0.08541367
0.04620476  0.08391126
0.04429932  0.08239120
0.04243705  0.08085336
0.04061813  0.07929759
0.03884267  0.07772372
0.03711075  0.07613158
0.03542240  0.07452101
0.03377758  0.07289183
0.03217623  0.07124384
0.03061821  0.06957687
0.02910337  0.06789071
0.02763147  0.06618515
0.02620224  0.06446001
0.02481536  0.06271504
0.02347048  0.06095005
0.02216719  0.05916481
0.02090502  0.05735909
0.01968348  0.05553265
0.01850205  0.05368527
0.01736013  0.05181671
0.01625713  0.04992672
0.01519240  0.04801506
0.01416526  0.04608149
0.01317502  0.04412576
0.01222094  0.04214763
0.01130229  0.04014685
0.01041831  0.03812318
0.00956822  0.03607636
0.00875125  0.03400616
0.00796663  0.03191234
0.00721357  0.02979467
0.00649132  0.02765290
0.00579915  0.02548683
0.00513633  0.02329623
0.00450218  0.02108089
0.00389606  0.01884060
0.00331737  0.01657518
0.00276559  0.01428445
0.00224025  0.01196823
0.00174096  0.00962637
0.00126743  0.00725873
0.00081946  0.00486519
0.00039697  0.00244564
0.00000000  0.00000000
0.00039697  -0.00145196
0.00081946  -0.00282950
0.00126743  -0.00413649
0.00174096  -0.00537660
0.00224025  -0.00655336
0.00276559  -0.00767013
0.00331737  -0.00873013
0.00389606  -0.00973642
0.00450218  -0.01069195
0.00513633  -0.01159951
0.00579915  -0.01246177
0.00649132  -0.01328128
0.00721357  -0.01406047
0.00796663  -0.01480166
0.00875125  -0.01550705
0.00956822  -0.01617873
0.01041831  -0.01681873
0.01130229  -0.01742892
0.01222094  -0.01801113
0.01317502  -0.01856707
0.01416526  -0.01909838
0.01519240  -0.01960661
0.01625713  -0.02009323
0.01736013  -0.02055964
0.01850205  -0.02100715
0.01968348  -0.02143703
0.02090502  -0.02185045
0.02216719  -0.02224854
0.02347048  -0.02263236
0.02481536  -0.02300290
0.02620224  -0.02336110
0.02763147  -0.02370785
0.02910337  -0.02404399
0.03061821  -0.02437029
0.03217623  -0.02468750
0.03377758  -0.02499630
0.03542240  -0.02529734
0.03711075  -0.02559122
0.03884267  -0.02587849
0.04061813  -0.02615968
0.04243705  -0.02643527
0.04429932  -0.02670572
0.04620476  -0.02697143
0.04815316  -0.02723278
0.05014424  -0.02749013
0.05217770  -0.02774379
0.05425319  -0.02799404
0.05637029  -0.02824116
0.05852857  -0.02848538
0.06072753  -0.02872690
0.06296666  -0.02896592
0.06524538  -0.02920259
0.06756308  -0.02943706
0.06991913  -0.02966944
0.07231284  -0.02989983
0.07474351  -0.03012831
0.07721039  -0.03035495
0.07971269  -0.03057979
0.08224963  -0.03080285
0.08482036  -0.03102415
0.08742403  -0.03124368
0.09005976  -0.03146143
0.09272663  -0.03167736
0.09542372  -0.03189143
0.09815009  -0.03210358
0.10090478  -0.03231375
0.10368679  -0.03252186
0.10649514  -0.03272781
0.10932883  -0.03293152
0.11218683  -0.03313286
0.11506813  -0.03333173
0.11797167  -0.03352800
0.12089644  -0.03372155
0.12384138  -0.03391222
0.12680544  -0.03409989
0.12978759  -0.03428439
0.13278676  -0.03446558
0.13580193  -0.03464329
0.13883205  -0.03481736
0.14187608  -0.03498761
0.14493300  -0.03515389
0.14800179  -0.03531600
0.15108144  -0.03547378
0.15417094  -0.03562704
0.15726931  -0.03577560
0.16037559  -0.03591928
0.16348880  -0.03605789
0.16660802  -0.03619125
0.16973231  -0.03631917
0.17286078  -0.03644146
0.17599254  -0.03655794
0.17912672  -0.03666843
0.18226250  -0.03677273
0.18539904  -0.03687068
0.18853555  -0.03696208
0.19167127  -0.03704675
0.19480547  -0.03712453
0.19793741  -0.03719523
0.20106642  -0.03725868
0.20419185  -0.03731472
0.20731305  -0.03736318
0.21042945  -0.03740389
0.21354046  -0.03743670
0.21664556  -0.03746146
0.21974426  -0.03747801
0.22283607  -0.03748622
0.22592056  -0.03748593
0.22899734  -0.03747702
0.23206605  -0.03745936
0.23512634  -0.03743282
0.23817792  -0.03739728
0.24122055  -0.03735264
0.24425399  -0.03729877
0.24727805  -0.03723559
0.25029259  -0.03716300
0.25329750  -0.03708092
0.25629270  -0.03698925
0.25927815  -0.03688793
0.26225386  -0.03677689
0.26521984  -0.03665608
0.26817619  -0.03652543
0.27112302  -0.03638491
0.27406046  -0.03623447
0.27698870  -0.03607410
0.27990798  -0.03590376
0.28281854  -0.03572344
0.28572068  -0.03553314
0.28861474  -0.03533286
0.29150108  -0.03512261
0.29438011  -0.03490240
0.29725227  -0.03467227
0.30011803  -0.03443225
0.30297789  -0.03418239
0.30583242  -0.03392273
0.30868217  -0.03365333
0.31152776  -0.03337427
0.31436984  -0.03308562
0.31720907  -0.03278746
0.32004617  -0.03247989
0.32288187  -0.03216302
0.32571693  -0.03183694
0.32855216  -0.03150179
0.33138838  -0.03115768
0.33422643  -0.03080476
0.33706721  -0.03044315
0.33991160  -0.03007303
0.34276055  -0.02969454
0.34561500  -0.02930786
0.34847594  -0.02891315
0.35134436  -0.02851060
0.35422129  -0.02810040
0.35710776  -0.02768275
0.36000483  -0.02725786
0.36291359  -0.02682593
0.36583512  -0.02638718
0.36877054  -0.02594185
0.37172097  -0.02549016
0.37468756  -0.02503235
