# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05168
# Species         : Gymnomyza_brunneirostris
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 123.00 mm
# Secondary1       : 100.40 mm
# Kipps Distance   : 22.60 mm
# Hand-Wing Index  : 18.10
# Tail Length      : 119.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.225
# Pointedness Index: 0.1837
# Efficiency Index : 0.0333
# Wing Loading Proxy: 0.0103
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1940  at x/c = 0.2717
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 2.16e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009072
0.99866597  0.00021555
0.99781701  0.00037426
0.99683949  0.00056657
0.99572876  0.00079221
0.99448081  0.00105088
0.99309218  0.00134227
0.99155997  0.00166607
0.98988183  0.00202193
0.98805586  0.00240951
0.98608067  0.00282844
0.98395529  0.00327836
0.98167919  0.00375888
0.97925222  0.00426960
0.97667462  0.00481012
0.97394697  0.00538003
0.97107019  0.00597890
0.96804550  0.00660629
0.96487442  0.00726177
0.96155873  0.00794489
0.95810048  0.00865518
0.95450194  0.00939219
0.95076561  0.01015544
0.94689418  0.01094445
0.94289053  0.01175874
0.93875772  0.01259783
0.93449895  0.01346120
0.93011757  0.01434837
0.92561705  0.01525883
0.92100100  0.01619207
0.91627310  0.01714757
0.91143715  0.01812482
0.90649700  0.01912329
0.90145660  0.02014247
0.89631992  0.02118183
0.89109103  0.02224084
0.88577399  0.02331896
0.88037291  0.02441566
0.87489192  0.02553042
0.86933517  0.02666268
0.86370681  0.02781192
0.85801097  0.02897760
0.85225179  0.03015918
0.84643340  0.03135611
0.84055988  0.03256786
0.83463531  0.03379389
0.82866371  0.03503366
0.82264909  0.03628663
0.81659539  0.03755227
0.81050651  0.03883002
0.80438629  0.04011937
0.79823853  0.04141977
0.79206695  0.04273070
0.78587520  0.04405161
0.77966689  0.04538198
0.77344552  0.04672128
0.76721456  0.04806898
0.76097736  0.04942456
0.75473721  0.05078750
0.74849732  0.05215729
0.74226082  0.05353339
0.73603074  0.05491531
0.72981003  0.05630253
0.72360156  0.05769455
0.71740809  0.05909085
0.71123231  0.06049094
0.70507682  0.06189433
0.69894410  0.06330051
0.69283657  0.06470901
0.68675653  0.06611933
0.68070622  0.06753100
0.67468774  0.06894352
0.66870314  0.07035644
0.66275436  0.07176929
0.65684323  0.07318158
0.65097152  0.07459288
0.64514088  0.07600272
0.63935289  0.07741064
0.63360901  0.07881620
0.62791065  0.08021897
0.62225909  0.08161849
0.61665555  0.08301435
0.61110114  0.08440610
0.60559691  0.08579334
0.60014380  0.08717563
0.59474268  0.08855257
0.58939433  0.08992375
0.58409946  0.09128876
0.57885868  0.09264722
0.57367253  0.09399872
0.56854149  0.09534288
0.56346593  0.09667932
0.55844618  0.09800767
0.55348248  0.09932754
0.54857499  0.10063858
0.54372383  0.10194043
0.53892901  0.10323273
0.53419053  0.10451513
0.52950827  0.10578729
0.52488208  0.10704888
0.52031173  0.10829955
0.51579697  0.10953899
0.51133744  0.11076687
0.50693276  0.11198288
0.50258249  0.11318670
0.49828613  0.11437804
0.49404314  0.11555659
0.48985293  0.11672206
0.48571486  0.11787417
0.48162825  0.11901263
0.47759237  0.12013717
0.47360647  0.12124751
0.46966974  0.12234340
0.46578134  0.12342457
0.46194041  0.12449078
0.45814603  0.12554177
0.45439726  0.12657730
0.45069315  0.12759714
0.44703271  0.12860106
0.44341490  0.12958883
0.43983869  0.13056023
0.43630302  0.13151505
0.43280680  0.13245308
0.42934893  0.13337412
0.42592828  0.13427798
0.42254374  0.13516446
0.41919414  0.13603338
0.41587832  0.13688455
0.41259513  0.13771781
0.40934338  0.13853298
0.40612189  0.13932990
0.40292946  0.14010842
0.39976491  0.14086838
0.39662703  0.14160963
0.39351464  0.14233204
0.39042654  0.14303546
0.38736154  0.14371977
0.38431844  0.14438484
0.38129607  0.14503055
0.37829325  0.14565678
0.37530881  0.14626343
0.37234159  0.14685040
0.36939044  0.14741757
0.36645423  0.14796486
0.36353183  0.14849218
0.36062214  0.14899944
0.35772406  0.14948657
0.35483651  0.14995349
0.35195844  0.15040013
0.34908881  0.15082643
0.34622659  0.15123233
0.34337080  0.15161777
0.34052045  0.15198270
0.33767459  0.15232708
0.33483229  0.15265086
0.33199266  0.15295402
0.32915480  0.15323652
0.32631788  0.15349832
0.32348106  0.15373942
0.32064356  0.15395979
0.31780461  0.15415942
0.31496346  0.15433829
0.31211943  0.15449641
0.30927183  0.15463377
0.30642002  0.15475037
0.30356339  0.15484622
0.30070136  0.15492133
