# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05466
# Species         : Terpsiphone_paradisi
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 95.00 mm
# Secondary1       : 73.00 mm
# Kipps Distance   : 18.30 mm
# Hand-Wing Index  : 20.10
# Tail Length      : 110.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.301
# Pointedness Index: 0.1926
# Efficiency Index : 0.0387
# Wing Loading Proxy: 0.0118
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1937  at x/c = 0.2706
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.55e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009064
0.99866590  0.00021525
0.99781676  0.00037359
0.99683890  0.00056539
0.99572765  0.00079038
0.99447892  0.00104827
0.99308924  0.00133874
0.99155568  0.00166149
0.98987584  0.00201618
0.98804781  0.00240246
0.98607018  0.00281997
0.98394195  0.00326835
0.98166258  0.00374722
0.97923190  0.00425618
0.97665014  0.00479483
0.97391788  0.00536276
0.97103601  0.00595955
0.96800577  0.00658476
0.96482866  0.00723797
0.96150646  0.00791872
0.95804123  0.00862655
0.95443524  0.00936102
0.95069098  0.01012164
0.94681116  0.01090794
0.94279866  0.01171945
0.93865655  0.01255567
0.93438802  0.01341611
0.92999646  0.01430028
0.92548533  0.01520767
0.92085825  0.01613777
0.91611892  0.01709007
0.91127114  0.01806407
0.90631880  0.01905924
0.90126583  0.02007506
0.89611625  0.02111100
0.89087410  0.02216655
0.88554349  0.02324117
0.88012854  0.02433433
0.87463339  0.02544549
0.86906221  0.02657414
0.86341914  0.02771972
0.85770837  0.02888170
0.85193403  0.03005955
0.84610027  0.03125274
0.84021119  0.03246071
0.83427088  0.03368294
0.82828339  0.03491889
0.82225273  0.03616802
0.81618286  0.03742979
0.81007770  0.03870368
0.80394111  0.03998914
0.79777689  0.04128564
0.79158879  0.04259266
0.78538048  0.04390965
0.77915556  0.04523610
0.77291757  0.04657147
0.76666998  0.04791525
0.76041616  0.04926691
0.75415942  0.05062592
0.74790297  0.05199178
0.74164996  0.05336397
0.73540343  0.05474198
0.72916635  0.05612529
0.72294159  0.05751341
0.71673194  0.05890582
0.71054009  0.06030204
0.70436864  0.06170157
0.69822010  0.06310390
0.69209688  0.06450857
0.68600132  0.06591508
0.67993564  0.06732294
0.67390197  0.06873169
0.66790235  0.07014086
0.66193874  0.07154996
0.65601299  0.07295855
0.65012685  0.07436615
0.64428200  0.07577232
0.63848000  0.07717660
0.63272236  0.07857856
0.62701045  0.07997773
0.62134559  0.08137370
0.61572898  0.08276602
0.61016176  0.08415427
0.60464496  0.08553803
0.59917955  0.08691688
0.59376638  0.08829041
0.58840624  0.08965821
0.58309985  0.09101988
0.57784782  0.09237502
0.57265070  0.09372324
0.56750896  0.09506416
0.56242298  0.09639738
0.55739309  0.09772255
0.55241952  0.09903928
0.54750246  0.10034721
0.54264200  0.10164599
0.53783818  0.10293525
0.53309096  0.10421465
0.52840026  0.10548385
0.52376591  0.10674251
0.51918770  0.10799029
0.51466534  0.10922688
0.51019851  0.11045194
0.50578681  0.11166516
0.50142980  0.11286624
0.49712699  0.11405487
0.49287782  0.11523075
0.48868170  0.11639359
0.48453801  0.11754310
0.48044605  0.11867900
0.47640510  0.11980101
0.47241439  0.12090887
0.46847312  0.12200231
0.46458045  0.12308107
0.46073550  0.12414489
0.45693737  0.12519353
0.45318512  0.12622676
0.44947777  0.12724432
0.44581433  0.12824599
0.44219379  0.12923155
0.43861509  0.13020078
0.43507717  0.13115346
0.43157895  0.13208938
0.42811930  0.13300835
0.42469712  0.13391016
0.42131127  0.13479462
0.41796058  0.13566155
0.41464391  0.13651077
0.41136008  0.13734210
0.40810791  0.13815537
0.40488620  0.13895043
0.40169377  0.13972710
0.39852943  0.14048524
0.39539196  0.14122470
0.39228018  0.14194534
0.38919288  0.14264702
0.38612887  0.14332961
0.38308695  0.14399298
0.38006595  0.14463701
