# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07064
# Species         : Ptiliogonys_caudatus
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 96.40 mm
# Secondary1       : 75.60 mm
# Kipps Distance   : 21.70 mm
# Hand-Wing Index  : 22.30
# Tail Length      : 125.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.275
# Pointedness Index: 0.2251
# Efficiency Index : 0.0502
# Wing Loading Proxy: 0.0102
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1908  at x/c = 0.2692
# Max f/c          : 0.0588  at x/c = 0.3467
# Est. Reynolds    : 1.58e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009047
0.99866581  0.00021457
0.99781648  0.00037206
0.99683826  0.00056267
0.99572642  0.00078613
0.99447684  0.00104215
0.99308601  0.00133043
0.99155096  0.00165065
0.98986925  0.00200248
0.98803896  0.00238556
0.98605864  0.00279956
0.98392728  0.00324410
0.98164430  0.00371879
0.97920955  0.00422326
0.97662322  0.00475710
0.97388587  0.00531990
0.97099841  0.00591125
0.96796206  0.00653071
0.96477832  0.00717785
0.96144897  0.00785222
0.95797606  0.00855338
0.95436187  0.00928087
0.95060890  0.01003421
0.94671984  0.01081294
0.94269761  0.01161658
0.93854525  0.01244465
0.93426600  0.01329665
0.92986323  0.01417210
0.92534043  0.01507048
0.92070122  0.01599131
0.91594932  0.01693407
0.91108854  0.01789825
0.90612277  0.01888334
0.90105598  0.01988882
0.89589219  0.02091418
0.89063548  0.02195888
0.88528994  0.02302241
0.87985973  0.02410423
0.87434900  0.02520383
0.86876193  0.02632067
0.86310270  0.02745422
0.85737550  0.02860395
0.85158448  0.02976932
0.84573381  0.03094981
0.83982761  0.03214489
0.83386999  0.03335401
0.82786500  0.03457665
0.82181669  0.03581228
0.81572903  0.03706037
0.80960595  0.03832038
0.80345134  0.03959179
0.79726901  0.04087406
0.79106273  0.04216668
0.78483617  0.04346912
0.77859298  0.04478085
0.77233669  0.04610135
0.76607079  0.04743011
0.75979867  0.04876661
0.75352365  0.05011033
0.74724896  0.05146077
0.74097776  0.05281741
0.73471311  0.05417975
0.72845799  0.05554729
0.72221527  0.05691952
0.71598777  0.05829595
0.70977819  0.05967608
0.70358914  0.06105944
0.69742314  0.06244552
0.69128262  0.06383385
0.68516991  0.06522394
0.67908725  0.06661534
0.67303679  0.06800755
0.66702058  0.06940012
0.66104056  0.07079259
0.65509861  0.07218449
0.64919650  0.07357537
0.64333589  0.07496479
0.63751838  0.07635229
0.63174545  0.07773745
0.62601850  0.07911981
0.62033884  0.08049895
0.61470769  0.08187445
0.60912619  0.08324588
0.60359538  0.08461282
0.59811622  0.08597487
0.59268957  0.08733162
0.58731624  0.08868266
0.58199692  0.09002760
0.57673225  0.09136605
0.57152277  0.09269762
0.56636895  0.09402194
0.56127119  0.09533862
0.55622979  0.09664729
0.55124501  0.09794759
0.54631702  0.09923917
0.54144593  0.10052165
0.53663176  0.10179471
0.53187449  0.10305799
0.52717401  0.10431115
0.52253018  0.10555386
0.51794277  0.10678580
0.51341150  0.10800664
0.50893604  0.10921607
0.50451599  0.11041378
0.50015090  0.11159945
0.49584029  0.11277280
0.49158359  0.11393352
0.48738022  0.11508134
0.48322954  0.11621596
0.47913085  0.11733711
0.47508344  0.11844452
0.47108652  0.11953792
0.46713930  0.12061705
0.46324092  0.12168165
0.45939052  0.12273148
0.45558717  0.12376630
0.45182993  0.12478586
0.44811784  0.12578993
0.44444988  0.12677828
0.44082505  0.12775070
0.43724227  0.12870696
0.43370049  0.12964686
0.43019861  0.13057020
0.42673552  0.13147676
0.42331010  0.13236636
0.41992120  0.13323881
0.41656766  0.13409393
0.41324831  0.13493153
0.40996199  0.13575145
0.40670751  0.13655352
0.40348366  0.13733758
0.40028926  0.13810346
0.39712310  0.13885103
0.39398398  0.13958013
0.39087070  0.14029062
0.38778205  0.14098237
0.38471683  0.14165525
0.38167385  0.14230914
0.37865191  0.14294391
0.37564984  0.14355944
0.37266645  0.14415564
0.36970057  0.14473240
0.36675107  0.14528961
0.36381678  0.14582718
0.36089657  0.14634502
0.35798935  0.14684306
0.35509399  0.14732120
0.35220943  0.14777938
0.34933459  0.14821752
0.34646844  0.14863556
0.34360993  0.14903343
0.34075808  0.14941109
0.33791190  0.14976848
0.33507043  0.15010556
0.33223274  0.15042227
0.32939792  0.15071859
0.32656509  0.15099449
0.32373339  0.15124992
0.32090199  0.15148487
0.31807010  0.15169932
0.31523695  0.15189326
0.31240179  0.15206666
0.30956392  0.15221952
0.30672267  0.15235184
0.30387739  0.15246362
0.30102746  0.15255486
0.29817231  0.15262557
0.29531139  0.15267576
0.29244420  0.15270545
0.28957025  0.15271466
0.28668911  0.15270340
0.28380038  0.15267171
0.28090368  0.15261961
0.27799868  0.15254713
0.27508510  0.15245432
0.27216265  0.15234121
0.26923114  0.15220785
0.26629036  0.15205427
0.26334019  0.15188053
0.26038049  0.15168668
0.25741121  0.15147277
0.25443230  0.15123886
0.25144378  0.15098500
0.24844568  0.15071127
0.24543807  0.15041771
0.24242108  0.15010440
0.23939485  0.14977141
0.23635958  0.14941881
0.23331548  0.14904666
0.23026283  0.14865505
0.22720191  0.14824404
0.22413307  0.14781372
0.22105666  0.14736416
0.21797310  0.14689545
0.21488282  0.14640766
0.21178629  0.14590088
0.20868402  0.14537519
0.20557655  0.14483068
0.20246443  0.14426743
0.19934828  0.14368552
0.19622873  0.14308505
0.19310643  0.14246610
0.18998207  0.14182876
0.18685638  0.14117311
0.18373010  0.14049924
0.18060400  0.13980725
0.17747887  0.13909720
0.17435555  0.13836920
0.17123486  0.13762333
0.16811769  0.13685967
0.16500491  0.13607831
0.16189744  0.13527933
0.15879620  0.13446281
0.15570215  0.13362883
0.15261622  0.13277748
0.14953942  0.13190883
0.14647271  0.13102295
0.14341712  0.13011993
0.14037364  0.12919982
0.13734330  0.12826272
0.13432714  0.12730867
0.13132619  0.12633775
0.12834148  0.12535002
0.12537408  0.12434554
0.12242502  0.12332437
0.11949536  0.12228655
0.11658614  0.12123215
0.11369841  0.12016121
0.11083320  0.11907377
0.10799155  0.11796988
0.10517449  0.11684957
0.10238303  0.11571288
0.09961818  0.11455983
0.09688094  0.11339045
0.09417227  0.11220477
0.09149314  0.11100279
