# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09994
# Species         : Ramphastos_toco
# Flight Category : soaring
# 
# === Morphological Measurements ===
# Wing Length      : 242.20 mm
# Secondary1       : 186.70 mm
# Kipps Distance   : 54.10 mm
# Hand-Wing Index  : 22.40
# Tail Length      : 159.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.297
# Pointedness Index: 0.2234
# Efficiency Index : 0.0500
# Wing Loading Proxy: 0.0081
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1828  at x/c = 0.2692
# Max f/c          : 0.0585  at x/c = 0.3467
# Est. Reynolds    : 5.29e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009020
0.99866581  0.00021350
0.99781647  0.00036963
0.99683823  0.00055833
0.99572636  0.00077932
0.99447675  0.00103231
0.99308586  0.00131697
0.99155074  0.00163299
0.98986895  0.00198003
0.98803856  0.00235774
0.98605811  0.00276576
0.98392661  0.00320371
0.98164347  0.00367121
0.97920853  0.00416786
0.97662199  0.00469327
0.97388442  0.00524701
0.97099670  0.00582867
0.96796007  0.00643782
0.96477603  0.00707401
0.96144636  0.00773680
0.95797310  0.00842573
0.95435854  0.00914034
0.95060517  0.00988018
0.94671569  0.01064475
0.94269301  0.01143359
0.93854019  0.01224621
0.93426046  0.01308212
0.92985718  0.01394082
0.92533385  0.01482183
0.92069408  0.01572463
0.91594161  0.01664873
0.91108024  0.01759360
0.90611386  0.01855876
0.90104645  0.01954366
0.89588201  0.02054781
0.89062463  0.02157069
0.88527842  0.02261176
0.87984751  0.02367052
0.87433607  0.02474644
0.86874828  0.02583899
0.86308832  0.02694765
0.85736037  0.02807189
0.85156860  0.02921119
0.84571716  0.03036503
0.83981018  0.03153287
0.83385177  0.03271420
0.82784599  0.03390848
0.82179688  0.03511521
0.81570841  0.03633384
0.80958452  0.03756387
0.80342909  0.03880477
0.79724594  0.04005602
0.79103883  0.04131712
0.78481145  0.04258753
0.77856742  0.04386676
0.77231031  0.04515429
0.76604358  0.04644961
0.75977063  0.04775223
0.75349478  0.04906162
0.74721927  0.05037731
0.74094724  0.05169878
0.73468177  0.05302556
0.72842583  0.05435713
0.72218231  0.05569303
0.71595400  0.05703276
0.70974362  0.05837585
0.70355378  0.05972182
0.69738699  0.06107020
0.69124569  0.06242051
0.68513222  0.06377230
0.67904880  0.06512511
0.67299758  0.06647847
0.66698062  0.06783193
0.66099988  0.06918506
0.65505721  0.07053739
0.64915438  0.07188850
0.64329308  0.07323796
0.63747487  0.07458532
0.63170127  0.07593017
0.62597365  0.07727208
0.62029335  0.07861064
0.61466156  0.07994544
0.60907944  0.08127608
0.60354802  0.08260214
0.59806826  0.08392324
0.59264103  0.08523899
0.58726713  0.08654899
0.58194726  0.08785287
0.57668206  0.08915026
0.57147205  0.09044077
0.56631773  0.09172405
0.56121947  0.09299974
0.55617761  0.09426748
0.55119237  0.09552692
0.54626394  0.09677772
0.54139242  0.09801953
0.53657784  0.09925204
0.53182018  0.10047489
0.52711933  0.10168779
0.52247514  0.10289040
0.51788738  0.10408241
0.51335579  0.10526353
0.50888002  0.10643344
0.50445968  0.10759185
0.50009432  0.10873848
0.49578345  0.10987303
0.49152651  0.11099522
0.48732292  0.11210480
0.48317204  0.11320147
0.47907316  0.11428499
0.47502558  0.11535509
0.47102851  0.11641153
0.46708115  0.11745404
0.46318266  0.11848241
0.45933215  0.11949638
0.45552872  0.12049573
0.45177142  0.12148023
0.44805928  0.12244966
0.44439129  0.12340382
0.44076644  0.12434248
0.43718367  0.12526545
0.43364191  0.12617253
0.43014007  0.12706352
0.42667704  0.12793824
0.42325169  0.12879650
0.41986287  0.12963813
0.41650944  0.13046296
0.41319022  0.13127081
0.40990404  0.13206154
