# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Accipiter_erythrauchen
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 191.20 mm
# Secondary1: 132.40 mm
# Kipps Distance: 58.90 mm
# Hand-Wing Index: 30.80
# Tail Length: 154.80 mm
# Aspect Ratio: 1.444
# Pointedness Index: 0.3081
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1095
# Max Thickness Position: 0.3315
# Max Camber/Chord: 0.0561
# Max Camber Position: 0.3554
# Leading Edge Radius: 0.0316
# LE Droop: 0.0018
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.86e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00948644,0.05875866
UPPER,2,0.03794577,0.10426213
UPPER,3,0.07905369,0.13043699
UPPER,4,0.28842240,0.15901274
UPPER,5,0.33152000,0.16558237
UPPER,6,0.37461760,0.15463298
UPPER,7,0.37778400,0.12397466
UPPER,8,0.48536000,0.07833345
UPPER,9,0.88000000,0.03007311
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00948644,-0.03739377
LOWER,2,0.03794577,-0.01540713
LOWER,3,0.07905369,-0.03770584
LOWER,4,0.28842240,-0.03588654
LOWER,5,0.33152000,-0.05340557
LOWER,6,0.37461760,-0.02931690
LOWER,7,0.37778400,0.00791105
LOWER,8,0.48536000,0.01944565
LOWER,9,0.88000000,0.00964234
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
