# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Buteogallus_gundlachii
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 348.10 mm
# Secondary1: 235.60 mm
# Kipps Distance: 112.60 mm
# Hand-Wing Index: 32.40
# Tail Length: 190.00 mm
# Aspect Ratio: 1.478
# Pointedness Index: 0.3235
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1047
# Max Thickness Position: 0.3306
# Max Camber/Chord: 0.0558
# Max Camber Position: 0.3541
# Leading Edge Radius: 0.0312
# LE Droop: 0.0015
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 8.62e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00935886,0.05767317
UPPER,2,0.03743545,0.10127402
UPPER,3,0.07799051,0.12669608
UPPER,4,0.28758720,0.15419570
UPPER,5,0.33056000,0.16047911
UPPER,6,0.37353280,0.15000676
UPPER,7,0.37655200,0.12068418
UPPER,8,0.48408000,0.07671484
UPPER,9,0.88000000,0.02956501
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00935886,-0.03697945
LOWER,2,0.03743545,-0.01399706
LOWER,3,0.07799051,-0.03509206
LOWER,4,0.28758720,-0.03221215
LOWER,5,0.33056000,-0.04896791
LOWER,6,0.37353280,-0.02592874
LOWER,7,0.37655200,0.00967725
LOWER,8,0.48408000,0.01990718
LOWER,9,0.88000000,0.00974996
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
