# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Circus_macrosceles
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 420.90 mm
# Secondary1: 220.80 mm
# Kipps Distance: 201.70 mm
# Hand-Wing Index: 47.80
# Tail Length: 242.70 mm
# Aspect Ratio: 1.906
# Pointedness Index: 0.4792
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0913
# Max Thickness Position: 0.3213
# Max Camber/Chord: 0.0519
# Max Camber Position: 0.3418
# Leading Edge Radius: 0.0270
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.12e+05
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00809334,0.04856006
UPPER,2,0.03237337,0.08975330
UPPER,3,0.06744452,0.11346779
UPPER,4,0.27954840,0.13770126
UPPER,5,0.32132000,0.14317807
UPPER,6,0.36309160,0.13405005
UPPER,7,0.36469400,0.10849160
UPPER,8,0.47176000,0.06967166
UPPER,9,0.88000000,0.02702362
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00809334,-0.03237337
LOWER,2,0.03237337,-0.01104539
LOWER,3,0.06744452,-0.02906946
LOWER,4,0.27954840,-0.02477744
LOWER,5,0.32132000,-0.03938227
LOWER,6,0.36309160,-0.01930063
LOWER,7,0.36469400,0.01173463
LOWER,8,0.47176000,0.01939747
LOWER,9,0.88000000,0.00932327
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
