# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Anas_bahamensis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 205.50 mm
# Secondary1: 113.20 mm
# Kipps Distance: 92.30 mm
# Hand-Wing Index: 44.90
# Tail Length: 87.20 mm
# Aspect Ratio: 1.815
# Pointedness Index: 0.4491
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0978
# Max Thickness Position: 0.3231
# Max Camber/Chord: 0.0527
# Max Camber Position: 0.3441
# Leading Edge Radius: 0.0278
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 4.25e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00833540,0.05001242
UPPER,2,0.03334161,0.09370689
UPPER,3,0.06946169,0.11891257
UPPER,4,0.28106220,0.14464541
UPPER,5,0.32306000,0.15051330
UPPER,6,0.36505780,0.14073347
UPPER,7,0.36692700,0.11334994
UPPER,8,0.47408000,0.07219126
UPPER,9,0.88000000,0.02785556
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00833540,-0.03334161
LOWER,2,0.03334161,-0.01284522
LOWER,3,0.06946169,-0.03247414
LOWER,4,0.28106220,-0.02943562
LOWER,5,0.32306000,-0.04508335
LOWER,6,0.36505780,-0.02356772
LOWER,7,0.36692700,0.00968371
LOWER,8,0.47408000,0.01899152
LOWER,9,0.88000000,0.00926681
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
