# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Anas_georgica
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 205.60 mm
# Secondary1: 109.70 mm
# Kipps Distance: 97.00 mm
# Hand-Wing Index: 47.00
# Tail Length: 89.40 mm
# Aspect Ratio: 1.874
# Pointedness Index: 0.4718
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0961
# Max Thickness Position: 0.3218
# Max Camber/Chord: 0.0521
# Max Camber Position: 0.3424
# Leading Edge Radius: 0.0272
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 4.25e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00815567,0.04893403
UPPER,2,0.03262269,0.09236614
UPPER,3,0.06796393,0.11716048
UPPER,4,0.27996600,0.14247609
UPPER,5,0.32180000,0.14824302
UPPER,6,0.36363400,0.13863147
UPPER,7,0.36531000,0.11171912
UPPER,8,0.47240000,0.07122072
UPPER,9,0.88000000,0.02749769
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00815567,-0.03262269
LOWER,2,0.03262269,-0.01251234
LOWER,3,0.06796393,-0.03176835
LOWER,4,0.27996600,-0.02860954
LOWER,5,0.32180000,-0.04398802
LOWER,6,0.36363400,-0.02284261
LOWER,7,0.36531000,0.00983667
LOWER,8,0.47240000,0.01886288
LOWER,9,0.88000000,0.00918725
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
