# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Spatula_querquedula
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 188.20 mm
# Secondary1: 82.20 mm
# Kipps Distance: 105.60 mm
# Hand-Wing Index: 56.10
# Tail Length: 64.20 mm
# Aspect Ratio: 2.290
# Pointedness Index: 0.5611
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0886
# Max Thickness Position: 0.3163
# Max Camber/Chord: 0.0493
# Max Camber Position: 0.3351
# Leading Edge Radius: 0.0247
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 4.51e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00742170,0.04453022
UPPER,2,0.02968681,0.08621472
UPPER,3,0.06184753,0.10915379
UPPER,4,0.27521580,0.13258614
UPPER,5,0.31634000,0.13790055
UPPER,6,0.35746420,0.12904319
UPPER,7,0.35830300,0.10424259
UPPER,8,0.46512000,0.06672853
UPPER,9,0.88000000,0.02583014
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00742170,-0.02968681
LOWER,2,0.02968681,-0.01107910
LOWER,3,0.06184753,-0.02868227
LOWER,4,0.27521580,-0.02507483
LOWER,5,0.31634000,-0.03924660
LOWER,6,0.35746420,-0.01976041
LOWER,7,0.35830300,0.01035460
LOWER,8,0.46512000,0.01818242
LOWER,9,0.88000000,0.00878880
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
