# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Setopagis_whitelyi
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 155.70 mm
# Secondary1: 83.50 mm
# Kipps Distance: 72.20 mm
# Hand-Wing Index: 46.40
# Tail Length: 99.30 mm
# Aspect Ratio: 1.865
# Pointedness Index: 0.4637
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0982
# Max Thickness Position: 0.3222
# Max Camber/Chord: 0.0523
# Max Camber Position: 0.3429
# Leading Edge Radius: 0.0274
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.94e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00821523,0.04929136
UPPER,2,0.03286091,0.09354821
UPPER,3,0.06846023,0.11881095
UPPER,4,0.28027920,0.14459666
UPPER,5,0.32216000,0.15048809
UPPER,6,0.36404080,0.14066904
UPPER,7,0.36577200,0.11317571
UPPER,8,0.47288000,0.07194630
UPPER,9,0.88000000,0.02772833
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00821523,-0.03286091
LOWER,2,0.03286091,-0.01311680
LOWER,3,0.06846023,-0.03289359
LOWER,4,0.28027920,-0.03018241
LOWER,5,0.32216000,-0.04589289
LOWER,6,0.36404080,-0.02429098
LOWER,7,0.36577200,0.00909378
LOWER,8,0.47288000,0.01867784
LOWER,9,0.88000000,0.00914678
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
