# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Veles_binotatus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 148.80 mm
# Secondary1: 79.80 mm
# Kipps Distance: 69.00 mm
# Hand-Wing Index: 46.40
# Tail Length: 99.20 mm
# Aspect Ratio: 1.865
# Pointedness Index: 0.4637
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0984
# Max Thickness Position: 0.3222
# Max Camber/Chord: 0.0523
# Max Camber Position: 0.3429
# Leading Edge Radius: 0.0274
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.77e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00821524,0.04929144
UPPER,2,0.03286096,0.09367731
UPPER,3,0.06846034,0.11899686
UPPER,4,0.28027920,0.14483939
UPPER,5,0.32216000,0.15074631
UPPER,6,0.36404080,0.14090144
UPPER,7,0.36577200,0.11333580
UPPER,8,0.47288000,0.07201860
UPPER,9,0.88000000,0.02774898
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00821524,-0.03286096
LOWER,2,0.03286096,-0.01319943
LOWER,3,0.06846034,-0.03304335
LOWER,4,0.28027920,-0.03039931
LOWER,5,0.32216000,-0.04615111
LOWER,6,0.36404080,-0.02449239
LOWER,7,0.36577200,0.00898017
LOWER,8,0.47288000,0.01864169
LOWER,9,0.88000000,0.00913645
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
