# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Chalcostigma_olivaceum
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 81.40 mm
# Secondary1: 32.20 mm
# Kipps Distance: 49.10 mm
# Hand-Wing Index: 60.30
# Tail Length: 57.20 mm
# Aspect Ratio: 2.528
# Pointedness Index: 0.6032
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0895
# Max Thickness Position: 0.3138
# Max Camber/Chord: 0.0479
# Max Camber Position: 0.3318
# Leading Edge Radius: 0.0236
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.69e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00707853,0.04247118
UPPER,2,0.02831412,0.08544902
UPPER,3,0.05898775,0.10848658
UPPER,4,0.27302340,0.13200309
UPPER,5,0.31382000,0.13737170
UPPER,6,0.35461660,0.12842401
UPPER,7,0.35506900,0.10337047
UPPER,8,0.46176000,0.06576410
UPPER,9,0.88000000,0.02535817
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00707853,-0.02831412
LOWER,2,0.02831412,-0.01186945
LOWER,3,0.05898775,-0.02986502
LOWER,4,0.27302340,-0.02726584
LOWER,5,0.31382000,-0.04158215
LOWER,6,0.35461660,-0.02189723
LOWER,7,0.35506900,0.00852493
LOWER,8,0.46176000,0.01716799
LOWER,9,0.88000000,0.00839462
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
