# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Eulampis_holosericeus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 59.60 mm
# Secondary1: 20.30 mm
# Kipps Distance: 39.40 mm
# Hand-Wing Index: 66.00
# Tail Length: 34.00 mm
# Aspect Ratio: 2.936
# Pointedness Index: 0.6611
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0852
# Max Thickness Position: 0.3104
# Max Camber/Chord: 0.0458
# Max Camber Position: 0.3272
# Leading Edge Radius: 0.0220
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.59e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00660892,0.03965354
UPPER,2,0.02643569,0.08152538
UPPER,3,0.05507436,0.10347031
UPPER,4,0.27004800,0.12587334
UPPER,5,0.31040000,0.13098376
UPPER,6,0.35075200,0.12246639
UPPER,7,0.35068000,0.09861773
UPPER,8,0.45720000,0.06278715
UPPER,9,0.88000000,0.02422170
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00660892,-0.02643569
LOWER,2,0.02643569,-0.01122210
LOWER,3,0.05507436,-0.02832818
LOWER,4,0.27004800,-0.02573596
LOWER,5,0.31040000,-0.03936376
LOWER,6,0.35075200,-0.02062554
LOWER,7,0.35068000,0.00833354
LOWER,8,0.45720000,0.01647787
LOWER,9,0.88000000,0.00804555
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
