# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Phaethornis_philippii
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 56.80 mm
# Secondary1: 18.90 mm
# Kipps Distance: 37.80 mm
# Hand-Wing Index: 66.70
# Tail Length: 61.40 mm
# Aspect Ratio: 3.005
# Pointedness Index: 0.6655
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0861
# Max Thickness Position: 0.3100
# Max Camber/Chord: 0.0455
# Max Camber Position: 0.3266
# Leading Edge Radius: 0.0219
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.13e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00656497,0.03938980
UPPER,2,0.02625986,0.08176554
UPPER,3,0.05470805,0.10389737
UPPER,4,0.26968260,0.12648463
UPPER,5,0.30998000,0.13165113
UPPER,6,0.35027740,0.12304030
UPPER,7,0.35014100,0.09892996
UPPER,8,0.45664000,0.06282170
UPPER,9,0.88000000,0.02419492
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00656497,-0.02625986
LOWER,2,0.02625986,-0.01161470
LOWER,3,0.05470805,-0.02899317
LOWER,4,0.26968260,-0.02678825
LOWER,5,0.30998000,-0.04056558
LOWER,6,0.35027740,-0.02162174
LOWER,7,0.35014100,0.00765510
LOWER,8,0.45664000,0.01618135
LOWER,9,0.88000000,0.00794136
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
