# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Aethia_pusilla
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 94.40 mm
# Secondary1: 55.60 mm
# Kipps Distance: 37.70 mm
# Hand-Wing Index: 40.40
# Tail Length: 27.00 mm
# Aspect Ratio: 1.698
# Pointedness Index: 0.3994
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1038
# Max Thickness Position: 0.3258
# Max Camber/Chord: 0.0539
# Max Camber Position: 0.3477
# Leading Edge Radius: 0.0291
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.44e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00872700,0.05236201
UPPER,2,0.03490801,0.09771892
UPPER,3,0.07272501,0.12432976
UPPER,4,0.28341120,0.15147961
UPPER,5,0.32576000,0.15770812
UPPER,6,0.36810880,0.14732727
UPPER,7,0.37039200,0.11826088
UPPER,8,0.47768000,0.07488104
UPPER,9,0.88000000,0.02878653
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00872700,-0.03490801
LOWER,2,0.03490801,-0.01435387
LOWER,3,0.07272501,-0.03541512
LOWER,4,0.28341120,-0.03329955
LOWER,5,0.32576000,-0.04990892
LOWER,6,0.36810880,-0.02707104
LOWER,7,0.37039200,0.00822385
LOWER,8,0.47768000,0.01888456
LOWER,9,0.88000000,0.00932256
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
