# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Stercorarius_pomarinus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 350.80 mm
# Secondary1: 154.50 mm
# Kipps Distance: 196.10 mm
# Hand-Wing Index: 55.80
# Tail Length: 175.60 mm
# Aspect Ratio: 2.271
# Pointedness Index: 0.5590
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0860
# Max Thickness Position: 0.3165
# Max Camber/Chord: 0.0494
# Max Camber Position: 0.3354
# Leading Edge Radius: 0.0248
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 8.71e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00744158,0.04464948
UPPER,2,0.02976632,0.08499100
UPPER,3,0.06201316,0.10736156
UPPER,4,0.27537240,0.13022638
UPPER,5,0.31652000,0.13538386
UPPER,6,0.35766760,0.12678807
UPPER,7,0.35853400,0.10271984
UPPER,8,0.46536000,0.06608024
UPPER,9,0.88000000,0.02565848
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00744158,-0.02976632
LOWER,2,0.02976632,-0.01020748
LOWER,3,0.06201316,-0.02711970
LOWER,4,0.27537240,-0.02277879
LOWER,5,0.31652000,-0.03653206
LOWER,6,0.35766760,-0.01762131
LOWER,7,0.35853400,0.01160440
LOWER,8,0.46536000,0.01860994
LOWER,9,0.88000000,0.00891816
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
