# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ephippiorhynchus_senegalensis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 617.20 mm
# Secondary1: 362.80 mm
# Kipps Distance: 243.80 mm
# Hand-Wing Index: 40.20
# Tail Length: 280.80 mm
# Aspect Ratio: 1.701
# Pointedness Index: 0.3950
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0951
# Max Thickness Position: 0.3259
# Max Camber/Chord: 0.0539
# Max Camber Position: 0.3478
# Leading Edge Radius: 0.0292
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.89e+05
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00875533,0.05253198
UPPER,2,0.03502132,0.09339386
UPPER,3,0.07296109,0.11808639
UPPER,4,0.28351560,0.14331842
UPPER,5,0.32588000,0.14902280
UPPER,6,0.36824440,0.13951551
UPPER,7,0.37054600,0.11289510
UPPER,8,0.47784000,0.07247783
UPPER,9,0.88000000,0.02810679
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00875533,-0.03502132
LOWER,2,0.03502132,-0.01154086
LOWER,3,0.07296109,-0.03032533
LOWER,4,0.28351560,-0.02591133
LOWER,5,0.32588000,-0.04112300
LOWER,6,0.36824440,-0.02020696
LOWER,7,0.37054600,0.01211783
LOWER,8,0.47784000,0.02013873
LOWER,9,0.88000000,0.00968456
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
