# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Geotrygon_mystacea
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 162.00 mm
# Secondary1: 115.40 mm
# Kipps Distance: 46.60 mm
# Hand-Wing Index: 28.80
# Tail Length: 88.20 mm
# Aspect Ratio: 1.404
# Pointedness Index: 0.2877
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1120
# Max Thickness Position: 0.3327
# Max Camber/Chord: 0.0565
# Max Camber Position: 0.3570
# Leading Edge Radius: 0.0322
# LE Droop: 0.0022
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.10e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00965168,0.06015010
UPPER,2,0.03860673,0.10627549
UPPER,3,0.08043069,0.13263924
UPPER,4,0.28946640,0.16180786
UPPER,5,0.33272000,0.16853051
UPPER,6,0.37597360,0.15732610
UPPER,7,0.37932400,0.12595375
UPPER,8,0.48696000,0.07938579
UPPER,9,0.88000000,0.03042836
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00965168,-0.03793473
LOWER,2,0.03860673,-0.01608387
LOWER,3,0.08043069,-0.03900184
LOWER,4,0.28946640,-0.03763065
LOWER,5,0.33272000,-0.05555771
LOWER,6,0.37597360,-0.03090800
LOWER,7,0.37932400,0.00718699
LOWER,8,0.48696000,0.01933539
LOWER,9,0.88000000,0.00963984
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
