# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Geotrygon_saphirina
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 136.30 mm
# Secondary1: 96.50 mm
# Kipps Distance: 39.80 mm
# Hand-Wing Index: 29.20
# Tail Length: 63.10 mm
# Aspect Ratio: 1.412
# Pointedness Index: 0.2920
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1127
# Max Thickness Position: 0.3325
# Max Camber/Chord: 0.0564
# Max Camber Position: 0.3566
# Leading Edge Radius: 0.0321
# LE Droop: 0.0022
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.47e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00961727,0.05986359
UPPER,2,0.03846906,0.10646067
UPPER,3,0.08014388,0.13304481
UPPER,4,0.28925760,0.16235304
UPPER,5,0.33248000,0.16911546
UPPER,6,0.37570240,0.15784475
UPPER,7,0.37901600,0.12628678
UPPER,8,0.48664000,0.07950512
UPPER,9,0.88000000,0.03045176
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00961727,-0.03782106
LOWER,2,0.03846906,-0.01632332
LOWER,3,0.08014388,-0.03942223
LOWER,4,0.28925760,-0.03826553
LOWER,5,0.33248000,-0.05629866
LOWER,6,0.37570240,-0.03150311
LOWER,7,0.37901600,0.00681729
LOWER,8,0.48664000,0.01919422
LOWER,9,0.88000000,0.00959382
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
