# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Leucosarcia_melanoleuca
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 197.00 mm
# Secondary1: 133.30 mm
# Kipps Distance: 63.70 mm
# Hand-Wing Index: 32.30
# Tail Length: 133.00 mm
# Aspect Ratio: 1.478
# Pointedness Index: 0.3234
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1081
# Max Thickness Position: 0.3306
# Max Camber/Chord: 0.0558
# Max Camber Position: 0.3542
# Leading Edge Radius: 0.0312
# LE Droop: 0.0015
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 4.02e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00936253,0.05771520
UPPER,2,0.03745013,0.10301122
UPPER,3,0.07802111,0.12916241
UPPER,4,0.28763940,0.15741138
UPPER,5,0.33062000,0.16389869
UPPER,6,0.37360060,0.15308650
UPPER,7,0.37662900,0.12281236
UPPER,8,0.48416000,0.07768440
UPPER,9,0.88000000,0.02984493
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00936253,-0.03698813
LOWER,2,0.03745013,-0.01507714
LOWER,3,0.07802111,-0.03705340
LOWER,4,0.28763940,-0.03504564
LOWER,5,0.33062000,-0.05234514
LOWER,6,0.37360060,-0.02855832
LOWER,7,0.37662900,0.00820313
LOWER,8,0.48416000,0.01944453
LOWER,9,0.88000000,0.00961932
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
