# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Metriopelia_melanoptera
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 130.60 mm
# Secondary1: 80.50 mm
# Kipps Distance: 50.20 mm
# Hand-Wing Index: 38.40
# Tail Length: 83.30 mm
# Aspect Ratio: 1.622
# Pointedness Index: 0.3844
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1056
# Max Thickness Position: 0.3270
# Max Camber/Chord: 0.0544
# Max Camber Position: 0.3493
# Leading Edge Radius: 0.0295
# LE Droop: 0.0003
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.34e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00886462,0.05350774
UPPER,2,0.03545849,0.09934904
UPPER,3,0.07387186,0.12606617
UPPER,4,0.28445520,0.15364723
UPPER,5,0.32696000,0.15998257
UPPER,6,0.36946480,0.14942367
UPPER,7,0.37193200,0.11985876
UPPER,8,0.47928000,0.07579947
UPPER,9,0.88000000,0.02911669
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00886462,-0.03536249
LOWER,2,0.03545849,-0.01475071
LOWER,3,0.07387186,-0.03622055
LOWER,4,0.28445520,-0.03430113
LOWER,5,0.32696000,-0.05119537
LOWER,6,0.36946480,-0.02796580
LOWER,7,0.37193200,0.00793445
LOWER,8,0.47928000,0.01894158
LOWER,9,0.88000000,0.00937484
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
