# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ptilinopus_hernsheimi
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 124.00 mm
# Secondary1: 88.30 mm
# Kipps Distance: 35.70 mm
# Hand-Wing Index: 28.80
# Tail Length: 65.90 mm
# Aspect Ratio: 1.404
# Pointedness Index: 0.2879
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1136
# Max Thickness Position: 0.3327
# Max Camber/Chord: 0.0565
# Max Camber Position: 0.3570
# Leading Edge Radius: 0.0322
# LE Droop: 0.0022
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.19e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00965041,0.06014248
UPPER,2,0.03860165,0.10703443
UPPER,3,0.08042011,0.13373212
UPPER,4,0.28946640,0.16323467
UPPER,5,0.33272000,0.17004839
UPPER,6,0.37597360,0.15869219
UPPER,7,0.37932400,0.12689483
UPPER,8,0.48696000,0.07981080
UPPER,9,0.88000000,0.03054979
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00965041,-0.03792965
LOWER,2,0.03860165,-0.01656960
LOWER,3,0.08042011,-0.03988221
LOWER,4,0.28946640,-0.03890567
LOWER,5,0.33272000,-0.05707559
LOWER,6,0.37597360,-0.03209195
LOWER,7,0.37932400,0.00651912
LOWER,8,0.48696000,0.01912289
LOWER,9,0.88000000,0.00957912
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
