# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Treron_aromaticus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 156.80 mm
# Secondary1: 101.40 mm
# Kipps Distance: 55.30 mm
# Hand-Wing Index: 35.20
# Tail Length: 79.80 mm
# Aspect Ratio: 1.546
# Pointedness Index: 0.3527
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1071
# Max Thickness Position: 0.3289
# Max Camber/Chord: 0.0551
# Max Camber Position: 0.3518
# Leading Edge Radius: 0.0304
# LE Droop: 0.0010
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.97e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00912422,0.05570532
UPPER,2,0.03649688,0.10138621
UPPER,3,0.07603516,0.12785045
UPPER,4,0.28612560,0.15582612
UPPER,5,0.32888000,0.16225274
UPPER,6,0.37163440,0.15154171
UPPER,7,0.37439600,0.12155081
UPPER,8,0.48184000,0.07686194
UPPER,9,0.88000000,0.02952294
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00912422,-0.03620888
LOWER,2,0.03649688,-0.01497547
LOWER,3,0.07603516,-0.03675849
LOWER,4,0.28612560,-0.03483029
LOWER,5,0.32888000,-0.05196794
LOWER,6,0.37163440,-0.02840367
LOWER,7,0.37439600,0.00801385
LOWER,8,0.48184000,0.01919284
LOWER,9,0.88000000,0.00950119
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
