# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Treron_formosae
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 190.60 mm
# Secondary1: 122.50 mm
# Kipps Distance: 68.10 mm
# Hand-Wing Index: 35.80
# Tail Length: 111.80 mm
# Aspect Ratio: 1.556
# Pointedness Index: 0.3573
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1055
# Max Thickness Position: 0.3285
# Max Camber/Chord: 0.0550
# Max Camber Position: 0.3514
# Leading Edge Radius: 0.0303
# LE Droop: 0.0008
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.84e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00908233,0.05533396
UPPER,2,0.03632931,0.10035104
UPPER,3,0.07568606,0.12657411
UPPER,4,0.28581240,0.15418723
UPPER,5,0.32852000,0.16051796
UPPER,6,0.37122760,0.14996675
UPPER,7,0.37393400,0.12042338
UPPER,8,0.48136000,0.07629839
UPPER,9,0.88000000,0.02934321
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00908233,-0.03607731
LOWER,2,0.03632931,-0.01451179
LOWER,3,0.07568606,-0.03589428
LOWER,4,0.28581240,-0.03362423
LOWER,5,0.32852000,-0.05050616
LOWER,6,0.37122760,-0.02729350
LOWER,7,0.37393400,0.00858059
LOWER,8,0.48136000,0.01933197
LOWER,9,0.88000000,0.00953099
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
