# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Caracara_cheriway
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 386.00 mm
# Secondary1: 224.20 mm
# Kipps Distance: 164.80 mm
# Hand-Wing Index: 42.40
# Tail Length: 207.30 mm
# Aspect Ratio: 1.722
# Pointedness Index: 0.4269
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0961
# Max Thickness Position: 0.3246
# Max Camber/Chord: 0.0534
# Max Camber Position: 0.3461
# Leading Edge Radius: 0.0284
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 9.92e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00852515,0.05115090
UPPER,2,0.03410060,0.09343434
UPPER,3,0.07104292,0.11831622
UPPER,4,0.28236720,0.14373196
UPPER,5,0.32456000,0.14949875
UPPER,6,0.36675280,0.13988744
UPPER,7,0.36885200,0.11297575
UPPER,8,0.47608000,0.07228944
UPPER,9,0.88000000,0.02797558
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00852515,-0.03410060
LOWER,2,0.03410060,-0.01207125
LOWER,3,0.07104292,-0.03118825
LOWER,4,0.28236720,-0.02734945
LOWER,5,0.32456000,-0.04272755
LOWER,6,0.36675280,-0.02158266
LOWER,7,0.36885200,0.01109581
LOWER,8,0.47608000,0.01964323
LOWER,9,0.88000000,0.00950187
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
