# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ammoperdix_griseogularis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 126.20 mm
# Secondary1: 82.00 mm
# Kipps Distance: 42.00 mm
# Hand-Wing Index: 34.00
# Tail Length: 53.00 mm
# Aspect Ratio: 1.539
# Pointedness Index: 0.3328
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1090
# Max Thickness Position: 0.3296
# Max Camber/Chord: 0.0554
# Max Camber Position: 0.3528
# Leading Edge Radius: 0.0309
# LE Droop: 0.0012
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.41e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00926229,0.05677376
UPPER,2,0.03704918,0.10278727
UPPER,3,0.07718578,0.12944103
UPPER,4,0.28675200,0.15784890
UPPER,5,0.32960000,0.16438755
UPPER,6,0.37244800,0.15348979
UPPER,7,0.37532000,0.12297608
UPPER,8,0.48280000,0.07761221
UPPER,9,0.88000000,0.02977400
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00926229,-0.03668918
LOWER,2,0.03704918,-0.01547932
LOWER,3,0.07718578,-0.03771838
LOWER,4,0.28675200,-0.03613114
LOWER,5,0.32960000,-0.05356755
LOWER,6,0.37244800,-0.02959249
LOWER,7,0.37532000,0.00745988
LOWER,8,0.48280000,0.01909734
LOWER,9,0.88000000,0.00949340
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
