# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pternistis_clappertoni
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 176.40 mm
# Secondary1: 126.90 mm
# Kipps Distance: 42.60 mm
# Hand-Wing Index: 25.10
# Tail Length: 75.40 mm
# Aspect Ratio: 1.390
# Pointedness Index: 0.2415
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1145
# Max Thickness Position: 0.3349
# Max Camber/Chord: 0.0572
# Max Camber Position: 0.3599
# Leading Edge Radius: 0.0333
# LE Droop: 0.0030
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.47e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01000031,0.06298184
UPPER,2,0.04000123,0.10883285
UPPER,3,0.08333589,0.13504843
UPPER,4,0.29139780,0.16481571
UPPER,5,0.33494000,0.17168671
UPPER,6,0.37848220,0.16023504
UPPER,7,0.38217300,0.12817035
UPPER,8,0.48992000,0.08065916
UPPER,9,0.88000000,0.03088593
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01000031,-0.03910723
LOWER,2,0.04000123,-0.01663586
LOWER,3,0.08333589,-0.04012152
LOWER,4,0.29139780,-0.03902408
LOWER,5,0.33494000,-0.05734676
LOWER,6,0.37848220,-0.03215308
LOWER,7,0.38217300,0.00678261
LOWER,8,0.48992000,0.01941304
LOWER,9,0.88000000,0.00971182
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
