# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Heliopais_personatus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 239.50 mm
# Secondary1: 143.80 mm
# Kipps Distance: 95.80 mm
# Hand-Wing Index: 40.00
# Tail Length: 108.20 mm
# Aspect Ratio: 1.666
# Pointedness Index: 0.4000
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1008
# Max Thickness Position: 0.3260
# Max Camber/Chord: 0.0540
# Max Camber Position: 0.3480
# Leading Edge Radius: 0.0291
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 5.21e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00873600,0.05241600
UPPER,2,0.03494400,0.09631591
UPPER,3,0.07280000,0.12227891
UPPER,4,0.28362000,0.14878191
UPPER,5,0.32600000,0.15483182
UPPER,6,0.36838000,0.14474863
UPPER,7,0.37070000,0.11651573
UPPER,8,0.47800000,0.07413291
UPPER,9,0.88000000,0.02858655
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00873600,-0.03494400
LOWER,2,0.03494400,-0.01336618
LOWER,3,0.07280000,-0.03364245
LOWER,4,0.28362000,-0.03069872
LOWER,5,0.32600000,-0.04683182
LOWER,6,0.36838000,-0.02464882
LOWER,7,0.37070000,0.00963400
LOWER,8,0.47800000,0.01936355
LOWER,9,0.88000000,0.00946673
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
