# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Heliornis_fulica
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 141.50 mm
# Secondary1: 90.40 mm
# Kipps Distance: 51.30 mm
# Hand-Wing Index: 36.20
# Tail Length: 81.80 mm
# Aspect Ratio: 1.565
# Pointedness Index: 0.3625
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1069
# Max Thickness Position: 0.3283
# Max Camber/Chord: 0.0549
# Max Camber Position: 0.3510
# Leading Edge Radius: 0.0301
# LE Droop: 0.0008
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.60e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00904330,0.05501983
UPPER,2,0.03617322,0.10088414
UPPER,3,0.07536087,0.12748494
UPPER,4,0.28560360,0.15539487
UPPER,5,0.32828000,0.16180855
UPPER,6,0.37095640,0.15111909
UPPER,7,0.37362600,0.12118858
UPPER,8,0.48104000,0.07660732
UPPER,9,0.88000000,0.02941885
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00904330,-0.03594522
LOWER,2,0.03617322,-0.01498642
LOWER,3,0.07536087,-0.03673850
LOWER,4,0.28560360,-0.03487761
LOWER,5,0.32828000,-0.05198075
LOWER,6,0.37095640,-0.02846393
LOWER,7,0.37362600,0.00788025
LOWER,8,0.48104000,0.01908137
LOWER,9,0.88000000,0.00945269
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
