# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Spizocorys_obbiensis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 67.40 mm
# Secondary1: 58.40 mm
# Kipps Distance: 23.10 mm
# Hand-Wing Index: 28.30
# Tail Length: 36.70 mm
# Aspect Ratio: 1.154
# Pointedness Index: 0.3427
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1169
# Max Thickness Position: 0.3330
# Max Camber/Chord: 0.0566
# Max Camber Position: 0.3574
# Leading Edge Radius: 0.0313
# LE Droop: 0.0023
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.12e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00938610,0.05865658
UPPER,2,0.03754439,0.10886293
UPPER,3,0.07821748,0.13619186
UPPER,4,0.28972740,0.16642661
UPPER,5,0.33302000,0.17343792
UPPER,6,0.37631260,0.16175241
UPPER,7,0.37970900,0.12903297
UPPER,8,0.48736000,0.08081480
UPPER,9,0.88000000,0.03084987
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00938610,-0.03684239
LOWER,2,0.03754439,-0.01758968
LOWER,3,0.07821748,-0.04174791
LOWER,4,0.28972740,-0.04157555
LOWER,5,0.33302000,-0.06027237
LOWER,6,0.37631260,-0.03456424
LOWER,7,0.37970900,0.00516651
LOWER,8,0.48736000,0.01872160
LOWER,9,0.88000000,0.00947149
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
