# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Corvus_corone
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 323.90 mm
# Secondary1: 204.60 mm
# Kipps Distance: 119.60 mm
# Hand-Wing Index: 36.90
# Tail Length: 179.60 mm
# Aspect Ratio: 1.583
# Pointedness Index: 0.3692
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1015
# Max Thickness Position: 0.3279
# Max Camber/Chord: 0.0548
# Max Camber Position: 0.3505
# Leading Edge Radius: 0.0300
# LE Droop: 0.0006
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 7.82e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00898769,0.05454612
UPPER,2,0.03595074,0.09793216
UPPER,3,0.07489738,0.12348522
UPPER,4,0.28523820,0.15020578
UPPER,5,0.32786000,0.15629864
UPPER,6,0.37048180,0.14614388
UPPER,7,0.37308700,0.11771053
UPPER,8,0.48048000,0.07497168
UPPER,9,0.88000000,0.02892918
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00898769,-0.03576474
LOWER,2,0.03595074,-0.01333241
LOWER,3,0.07489738,-0.03371220
LOWER,4,0.28523820,-0.03054907
LOWER,5,0.32786000,-0.04679669
LOWER,6,0.37048180,-0.02445621
LOWER,7,0.37308700,0.01007000
LOWER,8,0.48048000,0.01972893
LOWER,9,0.88000000,0.00962584
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
