# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ampelion_rufaxilla
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 115.80 mm
# Secondary1: 82.80 mm
# Kipps Distance: 33.00 mm
# Hand-Wing Index: 28.50
# Tail Length: 80.40 mm
# Aspect Ratio: 1.399
# Pointedness Index: 0.2850
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1142
# Max Thickness Position: 0.3329
# Max Camber/Chord: 0.0565
# Max Camber Position: 0.3572
# Leading Edge Radius: 0.0322
# LE Droop: 0.0023
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00967453,0.06034719
UPPER,2,0.03869813,0.10745647
UPPER,3,0.08062110,0.13423583
UPPER,4,0.28962300,0.16388063
UPPER,5,0.33290000,0.17073188
UPPER,6,0.37617700,0.15931313
UPPER,7,0.37955500,0.12734063
UPPER,8,0.48720000,0.08003522
UPPER,9,0.88000000,0.03062186
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00967453,-0.03800813
LOWER,2,0.03869813,-0.01674947
LOWER,3,0.08062110,-0.04021834
LOWER,4,0.28962300,-0.03937313
LOWER,5,0.33290000,-0.05764313
LOWER,6,0.37617700,-0.03252188
LOWER,7,0.37955500,0.00630187
LOWER,8,0.48720000,0.01907126
LOWER,9,0.88000000,0.00956859
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
